"시점",국내총생산(명목 원화표시) (십억원),국내총생산(명목 달러표시) (억달러),국민총소득(명목 원화표시) (십억원),국민총소득(명목 달러표시) (억달러),요소비용국민소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),1인당 국내총생산(명목 원화표시) (만원),1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 원화표시) (만원),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 원화표시) (만원),1인당 가계총처분가능소득(명목 달러표시) (달러),국내총생산(실질성장률) (%),농림어업 (%),광공업 (%),(제조업) (%),전기 가스 및 수도사업 (%),건설업 (%),서비스업 (%),순생산물세 (%),국내총소득 (%),국민총소득 (%),최종소비지출(실질증감률) (%),민간 (%),정부 (%),총고정자본형성 (%),총고정자본형성(민간) (%),총고정자본형성(정부) (%),건설투자 (%),(건물건설) (%),(토목건설) (%),설비투자 (%),(기계류) (%),(운송장비) (%),지식재산생산물투자 (%),재화와 서비스의 수출 (%),(재화) (%),재화와 서비스의 수입 (%),(재화) (%),농림어업(생산구조-명목) (%),광공업 (%),(제조업) (%),전기 가스 및 수도사업 (%),건설업 (%),서비스업 (%),최종소비지출(지출구조-명목) (%),민간 (%),정부 (%),총고정자본형성 (%),재화와 서비스의 수출 (%),(공제)재화와 서비스의 수입 (%),피용자보수 (%),기업 및 재산소득 (%),고정자본소모 (%),생산 및 수입세 (공제)보조금 (%),가계 (%),기업 (%),정부 (%),피용자보수 (%),기업 및 재산소득 (%),고정자본소모 (%),생산 및 수입세 (공제)보조금 (%),국외순수취경상이전 (%),가계 (%),기업 (%),정부 (%),가계 (%),기업 (%),정부 (%),피용자보수비율 (%),실질 가계총처분가능소득 (십억원),총저축률 (%),민간 (%),(가계 및 비영리단체) (%),(기업) (%),정부 (%),국내총투자율 (%),(국내총고정투자율) (%),(가계순저축률) (%),수출입의 대 GNI 비율(명목) (%),총수출 (%),(재화) (%),(서비스) (%),총수입 (%),(재화) (%),(서비스) (%),GDP 디플레이터 (2020=100),(등락률) (%)
"2002",813225.4,6499.4,810312.9,6476.1,589680.2,674575.0,808376.4,477349.3,1706.9,13641.3,1700.7,13592.4,1001.9,8007.2,7.7,-3.1,9.2,9.2,8.5,3.8,8.5,5.4,8.4,8.8,8.7,9.1,6.4,7.9,9.4,0.4,6.7,16.6,-4.7,9.2,10.5,4.6,8.6,12.3,15.3,15.1,15.2,3.4,27.7,27.5,2.7,5.9,60.3,67.6,56.3,11.3,30.2,28.9,27.8,42.3,30.5,16.5,10.7,63.0,23.5,13.5,42.4,30.5,16.6,10.7,-0.2,59.1,20.0,20.9,64.6,20.0,15.4,58.1,694503.0,32.0,22.4,2.4,20.0,9.6,31.5,30.4,-1.6,59.5,30.1,24.9,4.1,29.4,22.8,5.1,72.195,3.0
"2003",868110.6,7283.5,865188.8,7259.0,630016.7,716733.7,862038.0,510078.4,1812.6,15208.0,1806.5,15156.8,1065.1,8935.8,3.1,-6.1,4.8,4.8,4.3,8.9,2.4,2.0,2.6,2.7,0.7,-0.2,4.9,5.6,4.4,12.0,8.8,12.7,3.4,1.5,5.0,-10.6,4.8,13.4,16.1,10.6,11.8,3.2,27.2,27.1,2.7,6.6,60.3,66.1,54.5,11.7,31.1,30.4,29.0,43.2,29.6,16.8,10.4,63.7,23.6,12.7,43.4,29.7,16.9,10.4,-0.4,59.2,19.5,21.3,64.8,19.5,15.7,59.3,717387.6,33.4,23.8,4.3,19.5,9.6,32.6,31.3,1.4,62.2,31.7,26.6,4.0,30.5,24.0,5.1,74.769,3.6
"2004",942885.3,8237.2,941310.7,8223.4,693140.6,780783.0,938670.4,553053.2,1961.0,17131.3,1957.7,17102.7,1150.2,10048.5,5.2,7.8,10.0,10.1,7.0,2.0,3.3,4.5,4.0,4.2,1.2,0.6,4.4,3.3,3.6,2.1,1.8,3.1,-0.2,3.9,7.2,-8.5,7.8,21.4,21.2,12.0,10.7,3.1,29.2,29.0,2.5,6.3,58.9,63.9,52.1,11.9,30.9,35.6,32.3,43.1,30.5,16.8,9.6,63.1,24.9,12.0,43.2,30.6,16.8,9.6,-0.3,58.9,21.0,20.1,64.9,21.0,14.1,58.5,753275.3,35.8,27.6,6.6,21.0,8.1,32.8,31.1,5.2,71.0,37.0,30.7,4.9,33.9,26.6,5.8,77.207,3.3
"2005",995175.5,9715.6,988413.2,9649.6,724754.9,817883.6,986001.6,578713.0,2065.3,20163.2,2051.3,20026.2,1201.0,11725.3,4.4,0.6,5.0,5.0,7.4,0.1,4.6,4.3,3.2,2.7,4.9,4.7,5.4,1.9,2.5,-1.2,0.3,-0.8,1.9,3.6,4.4,-0.1,4.0,7.7,9.0,8.0,7.0,2.8,28.9,28.7,2.4,6.2,59.8,65.1,52.8,12.3,30.5,34.1,32.0,44.1,29.2,17.0,9.7,63.2,24.2,12.6,44.2,29.3,17.1,9.7,-0.2,58.7,19.9,21.4,64.8,19.9,15.3,60.2,770840.8,34.2,25.3,5.4,19.9,9.0,33.0,30.7,3.3,70.0,35.7,29.8,4.5,34.3,26.4,5.9,78.085,1.1
"2006",1045663.2,10943.5,1042726.4,10912.8,762654.1,861429.1,1039417.6,606873.6,2158.8,22592.7,2152.7,22529.2,1252.9,13112.2,5.2,2.4,7.7,7.7,3.3,0.9,4.9,4.5,3.5,4.0,5.5,5.0,7.5,4.1,5.1,-0.8,1.0,1.2,0.6,8.9,6.9,18.1,5.2,12.4,13.8,12.6,12.9,2.6,28.4,28.2,2.4,6.0,60.6,66.4,53.6,12.8,30.5,34.4,33.9,44.5,28.6,17.1,9.8,63.4,23.6,12.9,44.7,28.7,17.1,9.8,-0.3,58.4,19.5,22.1,64.8,19.5,15.7,60.9,795480.0,33.2,23.9,4.5,19.4,9.3,33.2,30.7,1.8,71.9,36.1,30.2,4.3,35.9,28.1,6.0,77.958,-0.2
"2007",1134541.3,12209.9,1131778.4,12180.1,831507.1,940342.5,1129279.4,646151.2,2330.4,25080.0,2324.8,25019.0,1327.2,14283.7,5.8,5.1,7.8,7.9,4.1,2.6,5.9,2.3,5.5,5.6,5.6,5.4,6.3,5.0,5.4,3.0,1.4,-0.2,4.0,9.6,7.2,19.1,7.6,13.0,12.9,11.5,10.4,2.4,28.6,28.4,2.3,5.9,60.9,66.0,53.1,12.8,30.1,36.0,35.3,44.3,29.2,16.7,9.8,62.5,24.4,13.1,44.4,29.2,16.7,9.9,-0.2,57.2,19.9,22.9,63.8,19.9,16.3,60.3,830368.4,33.7,23.7,3.9,19.8,10.0,33.4,30.2,1.0,75.3,37.9,31.3,4.8,37.4,28.9,6.5,79.915,2.5
"2008",1202972.9,10910.4,1203266.1,10913.1,870076.5,988597.9,1203428.6,700537.8,2452.3,22241.3,2452.9,22246.8,1428.1,12952.0,3.0,6.6,3.3,3.3,5.0,-3.2,3.8,-0.6,0.1,0.4,2.3,1.7,4.7,-0.5,-0.6,0.4,-2.7,-4.3,-0.2,0.2,-1.4,6.3,5.5,7.9,6.4,3.4,3.2,2.2,28.8,28.6,1.5,5.5,62.0,66.7,53.3,13.4,30.9,45.8,46.2,44.2,28.1,17.9,9.8,62.8,24.6,12.5,44.2,28.1,17.9,9.8,0.0,58.2,20.1,21.7,65.1,20.1,14.8,61.1,861371.4,33.4,25.0,5.1,19.9,8.3,33.7,30.9,2.7,96.2,47.9,39.3,6.5,48.3,38.0,8.2,82.264,2.9
"2009",1255305.5,9834.7,1253437.6,9820.1,901739.2,1018519.0,1252379.8,720097.8,2545.9,19945.6,2542.1,19915.9,1460.4,11441.7,0.8,4.6,-1.7,-1.7,5.6,1.5,1.7,0.3,2.8,2.6,1.5,0.2,6.7,0.9,-3.8,24.6,3.6,-2.6,12.2,-6.5,-9.0,1.6,6.8,-0.6,0.1,-6.6,-6.9,2.3,28.9,28.7,1.9,5.4,61.5,66.5,52.5,14.0,30.9,43.5,39.6,44.0,27.9,18.7,9.4,62.0,25.3,12.7,44.0,28.0,18.7,9.4,-0.1,57.5,21.3,21.2,64.7,21.3,14.0,61.2,862399.9,33.3,26.2,5.1,21.1,7.2,29.6,31.0,2.7,86.9,45.3,38.0,5.6,41.6,31.9,7.7,85.145,3.5
"2010",1379460.2,11930.4,1381435.9,11947.5,1001865.5,1128390.1,1376236.4,765740.8,2783.7,24075.4,2787.7,24109.9,1545.3,13364.3,7.0,-3.6,13.9,14.0,4.6,-3.6,5.1,7.5,7.2,7.5,4.7,4.5,5.7,6.7,11.8,-13.6,-3.4,-0.9,-6.5,23.9,29.0,8.0,6.6,13.1,13.9,17.8,19.7,2.2,30.9,30.8,2.0,4.8,60.1,64.7,51.2,13.5,30.5,45.3,42.8,42.7,29.8,17.9,9.5,59.9,27.6,12.4,42.9,29.9,18.0,9.6,-0.4,55.6,23.7,20.6,62.7,23.7,13.6,58.9,894698.6,35.1,28.1,4.8,23.2,7.1,32.9,30.5,2.7,91.9,47.3,39.6,5.6,44.6,35.1,7.6,87.460,2.7
"2011",1448575.6,13072.5,1457173.3,13150.1,1051774.3,1184566.0,1453121.6,810350.0,2900.8,26178.2,2918.0,26333.5,1622.8,14644.4,3.7,-1.0,5.1,5.2,1.4,-4.8,3.8,4.2,1.2,1.7,3.1,3.1,2.9,1.9,3.3,-5.1,-2.8,-1.6,-4.4,6.1,6.0,6.7,7.2,15.6,17.3,14.6,17.8,2.3,31.8,31.6,1.7,4.6,59.7,65.9,52.1,13.7,30.6,51.3,50.4,43.3,28.9,18.4,9.4,60.4,27.2,12.4,43.4,29.0,18.5,9.4,-0.3,55.8,23.0,21.2,63.0,23.0,14.0,60.0,912852.9,34.3,26.8,4.4,22.4,7.5,33.2,30.5,2.1,105.0,53.2,45.5,5.5,51.7,42.8,7.3,88.575,1.3
"2012",1504674.1,13352.6,1519751.8,13486.4,1093581.5,1229226.6,1515204.6,845264.7,2997.4,26598.8,3027.4,26865.4,1683.8,14942.1,2.5,-0.5,1.7,1.7,2.7,-0.4,3.4,2.0,2.6,3.0,2.3,1.7,4.7,-0.3,0.2,-2.8,-3.3,-1.0,-6.2,0.6,2.6,-6.7,6.3,6.0,5.3,2.6,2.2,2.3,31.5,31.3,1.8,4.6,59.9,66.3,52.3,14.0,29.9,52.0,49.5,43.5,28.5,18.8,9.2,60.7,27.3,12.0,43.6,28.6,18.9,9.3,-0.3,55.8,23.2,21.0,63.2,23.2,13.6,60.4,930716.0,34.2,27.1,4.7,22.4,7.1,31.0,29.6,2.6,104.3,53.9,45.6,5.9,50.4,41.5,7.5,89.719,1.3
"2013",1570938.2,14345.9,1580503.9,14433.3,1142875.7,1280565.8,1577843.9,882257.4,3115.2,28447.9,3134.1,28621.1,1749.5,15976.7,3.3,4.2,3.5,3.5,-1.3,4.4,3.5,1.1,4.3,3.9,2.5,1.8,4.9,2.4,2.1,4.2,6.3,11.9,-1.5,-4.2,-5.9,2.8,5.2,4.0,4.1,1.9,1.5,2.2,31.5,31.3,2.0,4.7,59.6,65.8,51.5,14.3,29.2,49.2,44.9,44.1,28.2,18.8,8.9,61.0,27.2,11.8,44.1,28.3,18.8,8.9,-0.2,55.9,23.2,20.9,63.5,23.2,13.3,61.0,960569.8,34.5,27.8,5.3,22.5,6.7,29.8,29.1,3.7,97.2,51.0,43.4,5.6,46.2,37.6,7.1,90.686,1.1
"2014",1638484.8,15556.9,1646049.1,15628.7,1189695.9,1332691.0,1642669.3,926680.2,3228.8,30656.0,3243.7,30797.6,1826.1,17338.2,3.2,5.1,3.3,3.3,3.5,1.9,3.0,4.4,3.6,3.5,2.6,2.1,4.3,3.6,5.4,-6.3,1.6,6.3,-5.9,5.8,5.0,8.6,5.0,2.1,1.2,1.4,0.4,2.1,30.8,30.7,2.4,4.8,59.9,65.6,51.1,14.5,29.2,45.8,41.1,44.8,27.4,18.8,8.9,61.6,26.7,11.7,44.9,27.5,18.9,8.9,-0.2,56.4,22.8,20.8,64.3,22.8,12.9,62.0,996426.8,34.6,28.3,6.1,22.2,6.3,29.7,29.1,5.0,90.0,47.5,39.9,5.7,42.4,34.0,6.9,91.639,1.1
"2015",1740776.0,15384.8,1745962.1,15430.6,1264294.0,1416721.8,1741717.5,988356.0,3412.3,30157.5,3422.5,30247.3,1937.4,17122.4,2.9,-0.3,1.7,1.8,6.7,6.1,3.1,3.7,6.7,6.5,2.9,2.6,3.9,5.3,5.3,5.0,7.5,9.7,3.5,4.8,4.6,5.5,0.8,0.0,-0.6,1.9,0.5,2.1,30.3,30.2,2.7,5.1,59.8,64.1,49.8,14.3,29.2,41.0,34.4,45.1,27.3,18.6,9.0,61.9,26.3,11.8,45.2,27.4,18.7,9.0,-0.2,56.7,22.6,20.7,64.6,22.6,12.8,62.3,1052663.3,35.9,29.6,7.5,22.0,6.3,29.3,29.2,7.5,78.1,42.5,35.6,5.3,35.6,27.4,6.9,94.598,3.2
"2016",1833026.6,15795.1,1839390.5,15850.0,1332598.7,1494841.8,1834251.4,1015405.5,3578.9,30839.2,3591.3,30946.2,1982.5,17083.4,3.2,-6.6,2.1,2.1,-0.4,10.7,3.4,4.4,4.6,4.6,3.1,2.8,4.3,6.8,6.8,6.9,10.3,17.3,-3.0,3.1,2.4,5.4,4.3,2.5,1.9,5.4,4.0,1.9,30.1,29.9,2.8,5.5,59.8,63.7,49.2,14.4,29.9,38.1,31.8,44.9,27.6,18.5,9.1,61.1,27.0,12.0,45.0,27.6,18.5,9.1,-0.3,55.4,23.3,21.4,63.3,23.3,13.4,62.0,1067290.4,36.4,29.4,6.8,22.6,7.0,30.0,29.8,6.5,72.8,39.7,32.9,5.1,33.1,24.9,6.8,96.549,2.1
"2017",1934233.9,17104.4,1941716.5,17170.6,1406715.4,1577031.4,1935277.5,1046674.9,3765.9,33301.7,3780.5,33430.5,2037.8,18020.6,3.4,1.2,4.2,4.3,5.7,6.6,2.8,2.7,3.2,3.2,3.1,2.9,3.7,9.9,11.2,2.3,7.6,12.8,-4.5,15.4,19.4,2.3,6.9,2.5,4.2,7.9,7.5,1.9,30.6,30.5,2.4,5.8,59.4,63.5,49.0,14.6,31.7,38.8,34.3,44.6,27.9,18.4,9.1,60.1,27.7,12.2,44.7,28.0,18.5,9.1,-0.3,54.1,23.9,22.0,62.1,23.9,14.0,61.5,1078905.2,36.5,29.1,5.9,23.2,7.4,31.9,31.7,5.0,76.1,40.5,34.2,4.5,35.6,27.1,7.1,98.498,2.0
"2018",2006974.5,18240.2,2014588.5,18309.4,1453820.7,1628018.5,2007352.8,1093458.4,3890.6,35359.6,3905.4,35493.7,2119.7,19264.9,3.2,-0.8,3.3,3.4,-1.2,-2.1,4.2,1.2,2.0,2.0,3.8,3.3,5.4,-2.0,-2.7,2.8,-4.2,-5.1,-1.6,-2.2,-4.6,6.8,4.2,3.8,2.8,1.6,1.9,1.7,30.3,30.2,2.0,5.7,60.2,64.6,49.4,15.1,30.5,39.5,35.3,45.3,26.9,18.8,9.0,60.7,27.1,12.2,45.5,27.0,18.9,9.0,-0.4,54.5,22.7,22.9,62.9,22.7,14.5,62.8,1111481.7,35.5,27.7,5.7,22.0,7.7,31.2,30.5,4.6,78.1,41.3,34.5,4.8,36.8,28.2,6.9,99.056,0.6
"2019",2040594.3,17506.1,2057204.1,17648.6,1469967.6,1648030.4,2051307.9,1141898.9,3942.0,33818.5,3974.1,34093.7,2205.9,18924.5,2.3,2.9,0.5,0.5,3.8,-1.7,3.8,0.7,0.2,0.6,3.3,2.4,6.4,-2.1,-4.3,11.6,-1.3,-3.8,5.4,-6.3,-9.1,3.2,2.7,-0.2,-1.5,-2.0,-2.7,1.6,28.7,28.6,2.0,5.8,61.8,66.2,50.1,16.1,30.1,37.0,34.4,46.7,24.7,19.6,8.9,61.9,25.7,12.3,46.9,24.8,19.7,9.0,-0.3,55.7,21.8,22.5,64.6,21.8,13.6,65.4,1152541.4,34.2,27.6,6.6,21.1,6.6,31.0,30.0,5.8,74.9,39.2,31.6,5.2,35.7,27.0,7.1,98.438,-0.6
"2020",2058466.5,17443.9,2075410.3,17587.5,1460954.8,1648918.5,2072253.6,1181885.9,3971.1,33651.9,4003.8,33928.9,2280.0,19321.5,-0.7,-6.7,-2.0,-2.0,5.7,-0.4,-0.4,1.1,0.1,0.1,-2.2,-4.6,5.2,2.8,2.6,3.6,1.7,0.3,5.0,4.3,5.4,1.1,3.0,-1.7,0.1,-3.3,0.2,1.7,28.1,28.0,2.4,5.8,62.0,64.8,47.8,17.0,31.0,34.6,30.9,47.5,22.9,20.4,9.2,62.0,25.6,12.5,47.5,23.0,20.4,9.2,-0.2,57.0,22.8,20.1,66.5,22.8,10.7,67.4,1181885.9,35.6,32.4,10.3,22.1,3.3,31.3,30.8,11.4,68.6,36.6,29.6,4.7,32.1,24.8,5.8,100.000,1.6
"2021",2221912.9,19415.2,2245326.5,19619.8,1571793.3,1780892.1,2240839.7,1224043.6,4291.9,37503.1,4337.2,37898.3,2364.4,20660.3,4.6,3.4,6.5,6.5,1.7,-0.9,4.3,5.1,3.6,3.8,4.2,3.7,5.6,4.3,6.0,-4.5,-0.2,3.1,-7.8,10.2,13.2,0.8,6.5,10.8,10.9,10.2,12.5,1.8,28.7,28.6,1.8,5.6,62.0,64.1,47.1,17.0,31.5,39.3,36.0,46.2,23.8,20.5,9.5,60.1,27.0,12.9,46.3,23.8,20.5,9.5,-0.2,54.6,23.7,21.6,64.1,23.7,12.2,66.0,1193764.5,36.4,31.7,8.6,23.1,4.8,32.2,31.2,9.1,79.2,41.8,33.1,5.9,37.4,29.3,6.3,103.181,3.2
"2022",2323781.5,17986.6,2351837.0,18203.8,1622715.8,1840003.0,2349203.9,1288946.8,4497.1,34808.8,4551.4,35229.1,2494.5,19307.6,2.7,0.8,2.4,2.5,3.5,0.9,3.8,-2.3,-0.7,-0.5,4.2,4.2,4.0,-0.2,1.2,-7.7,-3.5,-0.7,-10.7,-0.3,1.9,-7.8,7.8,3.9,3.9,4.2,4.7,1.6,28.9,28.8,0.8,5.7,63.1,66.7,49.0,17.6,31.9,45.3,45.3,46.9,22.1,21.7,9.4,60.2,26.9,13.0,46.9,22.1,21.7,9.4,-0.1,54.9,22.6,22.6,64.6,22.6,12.8,68.0,1203572.6,34.1,28.9,6.9,22.0,5.1,33.0,31.6,6.3,94.8,48.0,37.9,6.9,46.8,37.3,7.5,105.046,1.8
"2023",2401189.4,18394.1,2443318.1,18716.9,1696928.0,1894840.8,2438286.4,1316228.8,4643.3,35569.9,4724.8,36194.0,2545.3,19497.9,1.4,-2.6,1.7,1.7,-2.9,3.1,2.1,-4.4,1.6,2.2,1.6,1.8,1.3,1.4,1.2,2.9,1.5,3.1,-2.8,1.1,1.6,-1.0,1.7,3.6,2.9,3.5,-0.3,1.5,27.7,27.6,1.9,5.9,63.0,67.5,49.9,17.6,32.1,41.5,41.2,47.0,22.5,22.2,8.3,60.5,27.3,12.2,47.1,22.5,22.3,8.3,-0.2,54.0,24.1,21.9,63.8,24.1,12.1,67.7,1189961.4,33.5,29.0,5.5,23.4,4.6,31.8,31.6,4.0,87.3,44.7,34.4,6.4,42.7,32.6,7.9,107.042,1.9
"2024",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,4.0,4.0,5.0,-2.6,1.6,1.6,3.9,0.0,1.3,1.1,1.7,-0.6,-1.2,3.1,-2.7,0.0,0.0,1.8,0.0,0.0,0.7,6.9,6.3,2.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0
