"통계분류(1)",통계분류(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,비즈니스 전문 활동,오락,유흥,K-POP/한류스타 관련 공연장 및 드라마/영화 촬영지 방문,뷰티/미용관광,연수교육연구,연극 뮤지컬 발레 등 공연 관람,치료/건강검진,지역 축제 참여,국제회의,스포츠/레포츠 참가,스포츠/레포츠 관람,기타
"월별",8월,93.3,80.4,58.7,43.6,25.3,24.7,5.4,1.3,13.6,6.2,22.5,9.5,15.9,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,356,61.5,28.7,32,25.8,16,8.1,9.8,1.1,3.9,1.1,0.8,1.4,4.5,2.2,0.8,0.3,61.8,1735,80.6,54.5,57.6,58.6,40.4,33.1,7.6,4.5,1.4,8.5,8.1,6.8,24.6,0.9,3.7,25.9,78.8,73.4,48.7,38.8,24,14.8,11.9,15.8,12.3,12.8,9.7,8,4.2,4.7,3.9,2.8,3,3,3.6
"월별",9월,92,76.6,62.8,45.5,22.9,23.7,3.8,0.4,15.5,3.1,19.1,8.6,18.5,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,58.2,30.4,31.7,29.4,16.3,10.8,4.9,1,5.2,1.3,1.3,2.9,8.2,6.9,1,1.3,52.3,1942,80.4,55,54.9,55.5,35.9,32,3.8,6.6,1.4,9.3,6.6,5.3,24.4,0.9,4.4,31.8,77.5,73.2,52,39.6,24.6,14.7,17.7,13,11.7,8.5,12.3,6.8,3.4,4.4,3.5,3,2,2.5,3
"월별",10월,92.6,74.7,61,49.1,24.5,22.9,3.4,0.6,21.8,4,19.7,10,15.4,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,526,48.5,24.9,27.2,20.7,10.8,10.1,8.2,1,5.3,1.9,0.8,2.5,3.6,3.8,0.2,1.1,65,2000,80.6,59.7,51.1,50.3,31,26.9,3.2,6.5,1.3,13.5,10,3.6,19.4,0.7,5.2,27.7,76.6,71.6,59.8,47.4,24.4,16.5,16,13.4,11.8,9.9,9.8,4,5.4,3.8,3.4,5.4,1.9,1.9,1.3
"월별",11월,93.5,77.7,60.7,45.4,20.2,22.7,4,0.6,13.6,3.2,17.4,8.7,17.3,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,802,55.4,30.8,28.8,25.3,14.6,12.8,10.8,0.7,4.1,1.2,2.1,1.5,7.5,3.9,1.1,1.1,60.7,1933,81.9,63.7,51,53.2,30.6,27.6,5.5,3.8,1.1,7.2,7.4,2.8,21.4,1,4.4,25.6,81.3,79,55.5,40.8,20.4,14.1,13.2,13.4,13.6,10.1,10.5,4.6,5,4.1,2.3,2.8,1.9,1.4,2.1
"월별",12월,92.5,77.5,62.8,40.3,21.3,22.5,4.2,0.8,13.8,11.8,24.3,9.2,15.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478,62.1,29.1,35.6,29.7,20.3,12.8,20.3,2.9,6.9,5.2,2.9,5.2,10.5,5.9,1,2.3,47.7,1513,83.9,67.8,45.9,44.7,23.3,22.7,4.5,3.2,1.4,5,5.9,6.4,21.1,1.6,4.7,25.1,79.9,77.5,52.5,38.7,22,13.2,15.9,16.3,14.1,10.3,12.3,4.9,4.8,4.9,5.6,2.3,5.2,1.8,2.8
"분기",1분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,470,48.1,22.8,18.3,13.4,5.1,5.1,8.5,0,6,0.2,0.2,1.1,2.6,4,0.4,0.2,69.8,1312,65.2,41.8,37.2,30.6,18.4,13.6,9.1,1.5,4.6,2.4,1.4,4.9,11.1,2.3,1.7,52.1,76.5,68,41.9,36.4,21.6,16.2,16.1,17.7,11.5,10.3,9.6,5.1,4.1,3.8,3.5,3.2,4.9,1.5,2.3
"분기",2분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,792,51.1,29.4,25,18.3,9.7,7.6,17.3,1.1,2.9,1.3,1.4,1.9,5.3,6.2,0.5,1.5,63.5,4440,72.9,51.3,52.6,50.6,31.2,27,5,4,1.8,6.3,5.1,9.4,19,1.1,2.9,38.6,78.9,73.2,52.2,41.9,24.1,17.5,17.3,14.4,11.7,10.4,9,4.8,4.4,4,3.9,4.2,2.5,1.8,2.1
"분기",3분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,908,57.7,29.7,30.7,24.3,15.5,8.7,9,0.9,5,1.4,1.7,2.1,7.2,5.4,0.7,1.1,59.5,5327,79.4,52,56.1,56.8,39,32.6,8.3,5.3,1.2,9.1,7.2,6.3,25.9,0.9,4.1,31.3,77.8,73.3,49.4,38.8,24.7,15.3,14.5,15.4,12.2,13,10.3,7,4,3.9,3.7,3.1,2.5,3.2,3.2
"분기",4분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1806,55.1,28.6,30.1,25.1,15,12,12.6,1.4,5.2,2.5,1.9,2.8,7.1,4.4,0.8,1.4,58.5,5446,82,63.4,49.6,49.8,28.7,26,4.4,4.6,1.3,8.9,7.9,4.1,20.6,1,4.8,26.2,79.1,75.8,56.2,42.6,22.3,14.7,15,14.3,13.1,10.1,10.8,4.5,5.1,4.2,3.7,3.6,2.9,1.7,2
"국가",일본,91.8,88.3,27.2,22.3,5.1,9.9,1.4,1.5,15.3,2.1,13.9,12.1,15.6,1.4,87,41.4,23,4.6,2.3,0,0,1.1,2.3,0,1.1,4.6,1.1,82.8,0,295,43.4,15.3,5.1,1.7,0.3,0,1.7,0,2.4,0.3,0,0.7,0.3,1.4,0.3,0.3,93.9,1793,78.3,71.4,13,10.6,4.7,3,3.2,0.6,3,9.7,6.1,0.9,10.4,0.1,2.5,32.5,85.8,88.3,31.1,20.7,7.1,5,12,6,14.5,15.4,16.1,2,3.2,3.7,0.9,0.4,0.7,0.8,2.4
