"국적별(1)",국적별(2),2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
"국적별(1)",국적별(2),계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타
"아시아주",말레이시아,16913,14389,78,15,152,2279,29516,26818,92,11,552,2043,25294,22778,84,3,177,2252,31993,29408,115,10,37,2423,27380,24621,105,13,58,2583,16138,13445,130,10,79,2474,12275,9549,91,15,127,2493,12913,9614,105,12,739,2443,29347,26542,128,21,227,2429,37050,34366,106,16,43,2519,30623,27871,103,28,88,2533
"아시아주",싱가포르,14036,12289,117,8,27,1595,15282,13518,92,15,200,1457,38849,37013,180,5,46,1605,32481,30684,138,8,25,1626,37306,35399,149,11,65,1682,34134,32353,132,13,59,1577,14068,12300,116,14,60,1578,17295,15374,99,15,255,1552,26006,24258,111,27,29,1581,40841,39014,138,19,19,1651,43582,41856,116,27,40,1543
"아시아주",몽골,12465,10304,67,232,1036,826,10036,6533,71,165,2152,1115,10606,8126,61,280,1373,766,9456,8193,51,262,325,625,10768,9035,52,257,738,686,12578,10557,77,189,1100,655,12415,9235,70,184,1665,1261,12964,7042,102,171,3856,1793,14415,9683,83,271,3022,1356,12472,11129,68,312,373,590,11398,9256,69,328,908,837
"아시아주",우즈베키스탄,5059,575,499,9,968,3008,6121,524,452,-,1842,3303,4766,522,407,3,1443,2391,4048,662,431,0,207,2748,3910,762,537,3,246,2362,3929,771,487,2,291,2378,4936,1050,402,1,689,2794,6738,857,246,1,2096,3538,7293,791,335,5,2845,3317,4501,870,379,6,201,3045,4414,931,464,5,263,2751
"아시아주",미얀마,5151,746,16,2,155,4232,5507,794,22,13,591,4087,5787,974,33,13,551,4216,5353,1302,30,15,71,3935,6448,1059,18,34,463,4874,6269,887,26,26,424,4906,6168,876,24,16,214,5038,8049,855,30,33,704,6427,7513,1278,20,29,727,5459,6967,1755,36,33,41,5102,6540,1607,27,19,90,4797
"아시아주",GCC,2160,1772,42,15,48,283,2194,1807,33,30,119,205,1034,745,30,12,80,167,4399,4062,38,32,57,210,3636,3296,39,9,49,243,5606,5273,46,44,50,193,5384,5130,40,27,43,144,3430,3112,51,7,122,138,2990,2720,52,9,100,109,3689,3477,59,17,41,95,3957,3698,39,20,78,122
"아시아주",카자흐스탄,3907,2453,14,4,151,1285,3812,1910,24,16,497,1365,5450,3992,24,3,228,1203,4409,3189,20,4,29,1167,4558,3356,20,10,40,1132,4338,2925,16,12,77,1308,5134,3651,20,1,106,1356,6120,3285,18,12,868,1937,4832,2838,17,9,285,1683,5008,3643,15,10,24,1316,4116,2800,17,18,76,1205
"아시아주",튀르키예,2186,974,20,27,52,1113,2116,948,12,8,167,981,3289,1962,12,17,76,1222,6541,5259,8,21,20,1233,3862,2555,17,25,54,1211,4716,3532,10,10,61,1103,4248,2971,13,13,103,1148,4489,3003,20,14,264,1188,4147,2868,15,52,93,1119,4545,3377,20,9,22,1117,3321,2198,12,18,64,1029
"아시아주",캄보디아,3642,1135,11,39,88,2369,3874,1222,8,48,110,2486,4156,1149,4,60,37,2906,6270,2576,4,114,10,3566,5304,1347,5,289,15,3648,2791,962,7,64,19,1739,3735,1006,9,95,47,2578,3189,746,9,101,149,2184,3171,1358,14,230,42,1527,4536,1667,6,156,12,2695,3573,1585,9,140,20,1819
"아시아주",스리랑카,2301,152,26,5,32,2086,2313,160,24,1,85,2043,2435,175,51,4,117,2088,1971,298,29,16,12,1616,2753,361,58,3,19,2312,1977,333,30,3,32,1579,2375,368,43,1,25,1938,2942,331,29,5,125,2452,2786,549,55,13,124,2045,2007,416,57,3,15,1516,1984,321,38,6,16,1603
"아시아주",방글라데시,1655,183,68,19,175,1210,2311,139,56,25,524,1567,2017,114,52,17,355,1479,1608,247,95,51,39,1176,1975,287,98,65,54,1471,1420,248,83,65,59,965,2174,196,72,33,143,1730,3008,233,79,63,565,2068,2592,327,82,70,463,1650,1766,351,115,36,46,1218,1735,357,106,46,78,1148
"아시아주",파키스탄,1212,219,171,10,134,678,1613,215,176,4,378,840,1241,189,156,5,214,677,1177,315,183,29,53,597,1259,364,185,33,40,637,1236,395,152,30,52,607,1472,430,238,20,133,651,1759,329,220,9,385,816,1603,471,218,45,230,639,1134,454,203,22,60,395,1139,404,155,27,62,491
"아시아주",이스라엘,455,417,7,2,4,25,386,334,3,3,19,27,1072,1001,6,16,6,43,1647,1582,7,6,2,50,1564,1511,6,4,6,37,918,867,4,8,6,33,1129,1070,6,5,4,44,1242,1147,3,7,36,49,1632,1560,9,19,5,39,2811,2743,6,12,2,48,1363,1301,5,12,5,40
"아시아주",이란,180,71,37,1,24,47,212,66,29,1,73,43,499,382,52,2,30,33,289,189,47,6,9,38,344,249,21,16,11,47,328,228,39,2,23,36,320,188,53,1,27,51,704,491,42,5,111,55,435,298,39,8,34,56,279,182,35,6,12,44,287,191,29,8,21,38
"아시아주",아시아 기타,7047,1285,492,111,349,4810,7859,1340,607,180,1250,4482,8799,1649,516,212,1839,4583,9630,2805,599,220,63,5943,7983,1883,670,379,140,4911,6521,1783,641,271,356,3470,7518,1952,606,291,387,4282,10191,2193,591,259,3137,4011,9120,2198,690,397,1034,4801,8532,2722,984,332,113,4381,8551,2311,629,464,199,4948
"미주",소계,80547,54893,461,2961,504,21728,81912,56096,318,2482,2217,20799,154163,124460,383,4199,303,24818,159909,133069,351,2699,232,23558,157877,128750,385,3403,746,24593,181262,153032,359,3810,652,23409,155900,126792,321,4131,461,24195,140091,106448,420,3591,3024,26608,149342,118378,408,3041,351,27164,191544,160220,326,3167,231,27600,143531,115020,340,3047,942,24182
"미주",미국,61754,41299,340,2878,240,16997,62607,42206,226,2419,1506,16250,119955,96895,290,4110,190,18470,122728,102397,254,2600,157,17320,122694,99757,275,3326,558,18778,151721,129522,265,3699,438,17797,120874,97896,238,4048,261,18431,102057,76222,285,3469,2055,20026,109695,86051,281,2938,195,20230,141152,117442,226,3021,167,20296,108982,86644,231,2905,738,18464
"미주",캐나다,13400,9558,40,34,35,3733,13679,9817,23,44,145,3650,23062,18866,29,50,18,4099,24852,20708,37,25,20,4062,24823,20665,34,28,55,4041,20378,16349,32,46,44,3907,23899,19636,31,33,38,4161,22742,18179,31,31,193,4308,22871,18086,41,31,25,4688,28986,24132,34,40,16,4764,18965,14867,30,56,76,3936
"미주",브라질,1855,1269,58,11,51,466,1664,1129,54,4,107,370,3014,2416,47,0,26,525,3524,2924,41,7,15,537,3025,2372,51,5,22,575,2441,1862,43,24,34,478,2696,2184,38,11,30,433,2438,1734,77,37,115,475,2759,2161,57,21,26,494,4174,3629,41,17,8,479,3107,2543,56,38,32,438
