"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타
"월별",11월,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1125,64.7,38,34.9,29.3,20.6,49.8,17.4,13.2,26,8.5,3.1,3.1,1.9,3.2,2.7,1.2,3.1,2039,82.2,63.4,51.8,53.3,31.4,25.1,28.3,22.8,8.1,12.7,8.3,3.1,4.5,8.1,5.2,1,1.1
"월별",12월,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1690,81.9,36.3,59.6,53.5,46.7,18.5,38.3,33.7,59.5,19.3,8.4,11.2,7.3,8.2,8.1,0.4,2.3,2027,85.4,65.4,52.6,50.3,32.8,20.5,30.6,29.1,20.7,13.6,10.9,11.3,10.9,8.4,7.9,1.4,1.2
"분기",1분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1171,64.6,40.2,36.3,24.5,14.9,46.3,12.5,11.1,26,10.8,3.7,4.2,2,3,2.4,0.9,4.3,2055,74.2,47.5,43.6,36.1,26.3,40.7,19.5,17.7,27.5,14.6,4.8,8.3,3.1,3.2,4.5,1.7,3.8
"분기",2분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1847,70.8,43.5,45.3,34.1,24.5,38.3,21.2,19.2,42,11.6,3.3,6.1,3,4,3.4,0.5,1.9,5555,76.6,53.9,56.6,51.6,35,32.7,30.9,24.2,18,12.3,9.6,12,8.8,6.5,5.1,0.9,1.6
"분기",3분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1588,69.8,41.5,41,31.2,23.7,43.6,15.3,14.3,31.2,11.4,3.4,5.4,2.3,3.5,2.8,0.8,3.4,5826,80.3,53,57.5,56.9,40,30.4,33.8,27.5,12.7,13.4,10.4,7.6,7.3,7.9,5.2,0.9,1.2
"분기",4분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3529,71.7,36.2,46.4,39.9,31.9,36.5,26.7,22,40,13.3,5.6,7,4.5,5.1,5.3,0.7,3,6107,82.8,62.8,51.8,51.2,31.7,24.4,28.5,23.8,10.8,12.4,10.9,6.1,7.3,8.8,6.1,1,1.2
"국가",일본,135,54.1,39.3,19.3,9.6,7.4,64.4,6.7,14.8,20,5.9,5.9,2.2,0.7,4.4,0,1.5,458,57.9,29.5,15.1,9.2,6.6,73.6,5.7,5.7,18.1,8.5,1.3,1.7,0.4,2.6,2,1.3,1.7,1962,79.9,71.9,15.7,12.4,6.2,30.6,4.7,12.6,9.4,13.1,10.6,1.4,1.4,6.9,3.5,0.2,2.8
"국가",중국,515,75.3,72.8,41.4,14.8,9.9,21.2,8.7,12.8,47.6,10.3,5.4,8,2.7,4.5,0.4,0,2574,79.1,67.5,36.6,16.7,14.7,19.3,11.5,11.6,61.8,14.7,4.7,5.1,2.3,2.5,4.7,0.7,1.3,2005,86.2,80.9,47.6,21,20.3,20.2,14.5,15.7,56.1,16.9,12.4,11.4,8.8,5.8,7.8,0.2,1
"국가",홍콩,1,100,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,8,87.5,50,25,37.5,25,12.5,12.5,37.5,75,12.5,0,0,0,12.5,0,0,0,219,90.4,76.3,45.7,36.5,23.7,16.4,15.5,25.6,7.3,10,16,8.2,3.2,6.8,4.6,0.5,0.5
"국가",싱가포르,10,50,20,20,20,10,80,0,10,10,10,20,0,0,0,0,0,256,80.9,50.4,60.5,52.7,24.2,26.6,21.5,15.6,0.8,3.9,4.3,6.3,1.6,4.3,1.2,0.8,1.2,2070,90.6,72.1,70.1,53.7,26.2,16.6,27.7,24,3.1,9.9,6.3,6.2,1.9,6,2.3,0.2,0.4
