표측1,표측2,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
표측1,표측2,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계
표측1,표측2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2.월별,7.7월,,0.3,0.9,4.7,25.5,68.6,4.6,90.3,,,,"1,650.00",0.7,2.2,7.7,20.8,68.6,,,89.4,,100,246,0,3.3,8.9,32.1,55.7,,,87.8,,100,,,,,,,,,,,,,0.6,2.7,10.7,48.1,37.9,,,86,,100,,0.6,2.8,15,48.4,33.3,,,81.7,,100,"1,039.00",0.3,2.4,10,47.6,39.7,,,87.3,,100,"1,183.00",0,3.3,16,52.1,28.6,,,80.7,0,0,584,0.2,2.2,9.5,39.1,49,,,88.1,0,0,"1,124.00",0.2,2.2,11.3,61.1,25.2,,,86.3,0,0
2.월별,8.8월,,0.3,1.8,6.8,30.9,60.2,4.5,87.2,,,,"1,735.00",0.9,3.1,7,19,70,,,89,,100,356,0.3,1.7,8.7,25.8,63.5,,,89.3,,100,,,,,,,,,,,,,1.1,2.3,14.9,43.6,38.1,,,81.7,,100,,1,1.8,12.6,46,38.7,,,84.6,,100,"1,147.00",0.2,2.8,9.2,46.5,41.3,,,87.8,,100,"1,154.00",0.4,4,14,48.8,32.8,,,81.6,0,0,"1,001.00",0.4,2.2,11.7,44.5,41.2,,,85.7,0,0,"1,213.00",0.1,1.2,11.1,60.9,26.6,,,87.5,0,0
2.월별,9.9월,,0.1,1.3,6.6,30.3,61.6,4.5,88,,,,"1,942.00",0.8,2.1,7.4,22,67.8,,,89.8,,100,306,1,2.6,10.8,28.1,57.5,,,85.6,,100,,,,,,,,,,,,,0.2,3.5,14,45.7,36.5,,,82.3,,100,,0.7,2.5,11.1,47.7,38,,,85.8,,100,"1,122.00",0.5,3,11.3,48,37.1,,,85.1,,100,"1,046.00",0.6,3.7,12.1,53.2,30.5,,,83.7,0,0,"1,153.00",0.1,3.6,14.2,45.9,36.2,,,82.1,0,0,"1,051.00",0,2.5,9.7,57.2,30.5,,,87.7,0,0
2.월별,10.10월,,0.3,1,7.5,31.9,59.3,4.5,87.2,,,,"2,000.00",1,2.4,5.6,19.5,71.7,,,91.2,,100,526,0.4,1.7,6.5,22.2,69.2,,,91.4,,100,,,,,,,,,,,,,0.6,2.2,10.1,49.6,37.6,,,87.2,,100,,0.7,2,12.1,49,36.1,,,85.2,,100,"1,221.00",0.2,2.8,11.1,48,37.8,,,85.8,,100,"1,103.00",0.3,2.1,13,47,37.6,,,84.6,0,0,"1,333.00",0.2,3.3,9.4,46.6,40.4,,,87.1,0,0,"1,133.00",0.3,2.4,13.3,57.4,26.7,,,84,0,0
2.월별,11.11월,,0,1.2,7.8,31.9,59,4.5,87.2,,,,"1,933.00",0.8,1.7,5.3,19,73.2,,,92.1,,100,802,1.1,0.7,6.2,19.7,72.2,,,91.9,,100,,,,,,,,,,,,,1,2.9,11.2,44.8,40,,,84.9,,100,,0.6,2.3,12.3,44.9,39.8,,,84.7,,100,"1,146.00",0.2,2.3,10.6,50,36.9,,,86.9,,100,906,0.5,1.4,12.2,50.5,35.5,,,85.9,0,0,"1,128.00",0.3,1.2,12.8,46.3,39.5,,,85.7,0,0,972,0.2,2.8,12.3,57.1,27.6,,,84.7,0,0
2.월별,12.12월,,0.3,0.5,5.5,28,65.6,4.6,89.5,,,,"1,513.00",0.3,1.7,6.5,22.2,69.3,,,91.5,,100,478,0.4,2.1,6.3,23.4,67.8,,,91.2,,100,,,,,,,,,,,,,0.3,1.6,11.2,48.2,38.7,,,86.9,,100,,0.8,3.2,12.9,47.2,35.9,,,83.1,,100,"1,195.00",0.2,2.3,10.8,46.3,40.4,,,86.8,,100,937,0.4,2.4,11.7,48.3,37.2,,,85.5,0,0,"1,109.00",0.4,1.8,9.7,47.9,40.2,,,88,0,0,951,0.2,3.5,12.8,50.9,32.6,,,83.5,0,0
3.분기,1.1분기,,0.4,1,6,26.1,66.5,4.6,89.3,,,,"1,312.00",0.5,1.7,7.7,25.2,64.9,,,90.1,,100,470,0.6,3.2,15.5,29.4,51.3,,,80.6,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.분기,2.2분기,,0.3,1.3,6.4,27,65.1,4.6,88.8,,,,"4,440.00",0.4,2,6.8,20.7,70,,,90.7,,100,792,0.4,3.2,10.4,34.7,51.4,,,86.1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.분기,3.3분기,,0.2,1.4,6.1,29,63.3,4.5,88.5,,,,"5,327.00",0.8,2.4,7.4,20.7,68.8,,,89.4,,100,908,0.4,2.4,9.5,28.3,59.4,,,87.7,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.분기,4.4분기,,0.2,0.9,7,30.7,61.1,4.5,87.9,,,,"5,446.00",0.7,1.9,5.7,20.1,71.5,,,91.6,,100,"1,806.00",0.7,1.4,6.3,21.4,70.2,,,91.6,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.국가,1.일본,,0,0.9,5.9,24.6,68.6,4.6,90.3,,,,"1,793.00",0.2,1,4.5,14.7,79.6,,,94.3,,100,295,0.7,3.4,20.7,35.3,40,,,75.3,,100,87,1.1,6.9,32.2,34.5,25.3,,,59.8,,100,,1.2,3.6,13.1,33.5,48.6,,,82.2,,100,,1.8,6.5,14.8,33,44,,,77,,100,"2,615.00",0.4,3.4,10.6,38,47.6,,,85.6,,100,"1,763.00",0.3,1.9,12,46.9,38.9,,,85.8,0,0,"2,007.00",0.3,2.5,12.4,46.1,38.7,,,84.7,0,0,"2,180.00",0.3,2.3,14.1,48.6,34.7,,,83.3,0,0
4.국가,2.중국,,0.1,0.5,4.7,33.4,61.3,4.6,88.8,,,,841,0,1.1,11.4,41.4,46.1,,,87.5,,100,745,0.1,2.1,8.2,45.6,43.9,,,89.5,,100,79,0,3.8,5.1,73.4,17.7,,,91.1,,100,,0.4,2.7,13.7,55.7,27.5,,,83.2,,100,,0.3,1.5,11.8,60.6,25.8,,,86.4,,100,"4,585.00",0,1.9,11.6,61.5,25,,,86.5,,100,"6,020.00",0,3.3,13.8,58.2,24.8,,,82.9,0,0,"6,092.00",0.2,2.9,11.8,56,29.2,,,85.2,0,0,"5,379.00",0.1,2.5,11.6,71.2,14.7,,,85.9,0,0
4.국가,3.홍콩,,0,0.8,7.6,36.9,54.7,4.5,86.4,,,,210,0,0,6.2,32.9,61,,,93.8,,100,2,0,0,0,0,100,,,100,,100,,,,,,,,,,,,,0,2.2,12,61.1,24.6,,,85.7,,100,,0.4,1.2,13.5,58.9,26.1,,,85,,100,743,0.2,2.1,12.8,53.5,31.4,,,84.9,,100,499,0.4,1.5,14.9,49.9,33.4,,,83.3,0,0,574,0.2,1.8,12.4,49.7,35.8,,,85.5,0,0,536,0.6,1.5,10.6,52.2,35,,,87.2,0,0
4.국가,4.싱가포르,,0.1,0.9,7.1,37.8,54.1,4.4,86.2,,,,"2,044.00",0.2,1,3.9,26,68.8,,,94.8,,100,245,0.4,1.6,4.9,30.2,62.9,,,93.1,,100,8,0,0,0,25,75,,,100,,100,,0,0.5,7.7,42.9,48.9,,,91.8,,100,,1,1.8,8.7,41.4,47.1,,,88.5,,100,228,0.7,0.9,9.8,45,43.5,,,88.5,,100,158,0.8,0.8,5.9,41.7,50.8,,,92.5,0,0,164,0.9,0.6,4.4,39.1,55,,,94.1,0,0,181,0,1.4,9.4,45,44.2,,,89.2,0,0
