기준년월,광역지자체,대분류,지출액,전년도 지출액
2024,전국,의료업,1.68177136E8,0.0
2024,전국,관광총소비,9.255179312E9,6.911780091E9
2024,전국,호텔,2.242328335E9,1.810363056E9
2024,전국,콘도,5.7055636E7,5.6044078E7
2024,전국,캠핑장/펜션,4236062.0,355733.0
2024,전국,기타숙박,8.33994438E8,7.79266731E8
2024,전국,여행업,1.208781E7,9329458.0
2024,전국,육상운송,3.5038606E7,2.551409E7
2024,전국,수상운송,1307993.0,1339724.0
2024,전국,항공운송,2.3288573E7,1.4870087E7
2024,전국,렌터카,3.2870078E7,2.6503041E7
2024,전국,면세점,7.37425515E8,5.05811771E8
2024,전국,관광기념품,1.0695924E8,1.00393576E8
2024,전국,레저용품쇼핑,1.79446609E8,1.23181189E8
2024,전국,대형쇼핑몰,2.478751974E9,1.771846524E9
2024,전국,카지노,4.77227083E8,3.86935008E8
2024,전국,관광유원시설,1.9111448E7,1.2686949E7
2024,전국,골프장,3.2648458E7,2.4982911E7
2024,전국,스키장,757025.0,253039.0
2024,전국,기타레저,324986.0,413978.0
2024,전국,문화서비스,3.1727715E7,1.8328792E7
2024,전국,식음료,1.78041459E9,1.243360357E9
