"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기후/뚜렷한 사계절,이미용 서비스,숙박시설/편리한 교통,친구 친지 방문,휴가 시간,템플스테이 태권도 등 한국전통 문화 체험,기타,계,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,휴가 시간,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계
"국가",기타,15.2,10.4,13.7,11,5.1,0.9,0,0.5,0.5,0.3,0.5,1.4,0.6,24,11,1.1,3.9,100,22.5,7.3,24.4,9.7,7.8,0.3,0.8,0,2.2,0.5,0.5,18.3,5.5,100,11,0,0,9.1,18.2,0,0,0,0,0,0,72.7,100,101,19.8,8.9,8.9,11.9,4,1,3,4,1,0,0,1,36.6,100,1220,33.3,6.6,18.6,10.1,4.8,4.1,2.3,2.8,0.1,1,0.4,1.1,14.9,100
"성별",남성,29.1,18.9,5,11.3,1.8,1.7,1.6,0.7,1.9,1.3,0.7,0.7,0.7,17.7,3.8,0.9,2.3,100,32.8,18.6,9.1,14.1,2.8,1.8,3.6,0.5,1,3.2,0.9,7.9,3.6,100,74,13.5,10.8,4.1,4.1,0,1.4,2.7,2.7,1.4,0,59.5,100,393,24.9,8.1,4.1,9.2,0.8,1.5,2.5,2.5,0.5,0.8,1,0.5,43.5,100,3169,37.6,10.5,11.7,9.8,1.6,4,2.1,2.9,0.5,1.4,1,1.1,15.9,100
"성별",여성,30.9,26.2,3.6,9,5.5,0.9,2,0.3,1.5,0.9,0.6,0.9,0.5,12.2,2.5,0.6,1.7,100,33.7,24.4,5.6,10.6,7.6,1,3.4,1.6,0.4,1.9,0.9,6.3,2.6,100,94,4.3,4.3,7.4,4.3,2.1,1.1,0,1.1,1.1,1.1,73.4,100,535,22.1,12.9,4.5,12.7,2.1,1.7,1.9,1.1,1.9,0.7,0.4,0.6,37.6,100,6419,36.1,19.5,9.4,8.5,7.6,2,2.6,1.5,1.2,0.7,0.6,0.5,9.7,100
"연령",15~19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",20대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,15.1,5.7,7.5,7.5,0,1.9,3.8,1.9,1.9,0,54.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",30대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,4.3,8.7,8.7,4.3,2.2,0,0,0,0,2.2,69.6,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",40대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,7.4,7.4,7.4,3.7,0,3.7,0,0,0,0,70.4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",50대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,6.9,6.9,0,0,3.4,0,0,6.9,3.4,0,72.4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",60대 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,9.1,0,0,0,0,0,0,0,0,90.9,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",15~20세,30.5,22,3.3,5.7,10.3,3.8,2.1,0.2,1.2,0.8,0.3,0.5,0.5,11.8,5.1,0.5,1.5,100,33.2,29.1,5,4.6,12,2.6,2.8,1.4,1.1,0.7,0.4,6.4,0.8,100,-,-,-,-,-,-,-,-,-,-,-,-,-,49,34.7,10.2,6.1,16.3,6.1,4.1,2,2,0,0,0,0,18.4,100,474,35.9,14.1,11.2,9.7,8.9,2.3,4.9,2.3,1.1,1.7,0.4,0.6,7,100
"연령",21~30세,32.6,26.2,3.4,7.8,5.2,1.2,2,0.5,1.5,1.2,0.7,0.7,0.6,11.6,3.1,0.6,1.1,100,36.9,22.2,5.1,9.7,8.3,1.4,3.4,1.6,0.6,1.6,0.9,6.6,1.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,259,26.3,11.2,5.8,14.7,2.7,1.9,3.1,1.2,0.8,0.4,0.8,0.4,30.9,100,4100,37.9,18.1,9.7,7.7,7.3,3.2,3.1,1.4,1,0.9,0.9,0.5,8.3,100
"연령",31~40세,30,28.5,4.2,10.5,2.7,0.6,2.4,0.5,1.4,1,0.4,1.1,0.6,10.8,2.4,0.8,2,100,32.2,26.5,6.2,11.8,4.2,1.3,3.4,1,0.7,2.1,1,7.2,2.4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,255,25.5,14.5,4.3,8.6,1.2,1.6,3.5,3.5,2,1.2,0.4,0.8,32.9,100,2309,40.2,15.9,8.8,9.3,4,2.6,1.8,2.4,1,1,0.6,0.9,11.5,100
"연령",41~50세,31.3,20,3.6,12,3.7,1.3,1.1,0.6,1.5,1.3,0.9,1,1,14.2,3,0.9,2.7,100,33.4,22.8,7.2,13.2,4.7,0.9,2.9,0.8,0.6,2.9,0.5,6.9,3.2,100,-,-,-,-,-,-,-,-,-,-,-,-,-,130,24.6,11.5,0,11.5,0.8,0.8,1.5,0.8,3.1,0.8,0.8,0.8,43.1,100,1266,34.5,18.3,9.9,9.7,4.1,2.3,1.7,2.2,1.6,0.9,0.6,0.8,13.3,100
"연령",51~60세,26.2,18.6,5.4,12.6,3,1,1.5,0.3,2.3,0.9,0.7,0.8,0.5,19.6,3.1,0.8,2.7,100,31.5,18.3,7.4,16.4,3.8,1.2,3.6,1.1,0.5,3.2,0.9,7.2,5,100,-,-,-,-,-,-,-,-,-,-,-,-,-,149,11.4,8.7,5.4,9.4,0,2,0,0.7,0.7,0.7,1.3,0,59.7,100,972,31.8,14,13,9.2,4.3,1.5,2,2.2,0.8,1,0.9,0.8,18.5,100
"연령",61세 이상,25.4,11.2,6.2,8.6,3.2,1.7,2,0.5,1.7,0.6,0.7,0.5,0.3,32.8,1.3,0.4,2.8,100,21,13.6,19.3,12.8,3.4,0.7,5.2,0.8,0.7,6,1.3,6.2,9.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,86,19.8,2.3,3.5,8.1,0,0,0,1.2,0,1.2,0,1.2,62.8,100,467,24,9,13.9,14.1,1.5,1.3,1.1,3,0,0.6,0.9,0.9,29.8,100
"방한목적",여가/위락/휴식,30.3,23.6,4.1,9.8,4.2,1.2,1.9,0.4,1.6,1.1,0.6,0.8,0.6,14.2,3,0.7,1.9,100,35.7,23.1,7,11.7,6.8,1.3,3.4,1.3,0.6,2,0.9,5.2,1.1,100,26,11.5,19.2,19.2,19.2,7.7,0,3.8,3.8,3.8,0,11.5,100,270,40,17.4,7.8,14.4,4.8,3.3,1.5,2.2,3.3,1.5,1.1,0,2.6,100,7256,40.8,19.4,10.1,9.6,7.2,3,2.8,1.5,1.1,1,0.8,0.4,2.3,100
"방한목적",친구/친지방문,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.7,18.6,5.9,12.3,0.7,1.2,3.6,0.9,0.8,4.4,0.6,17.1,14.2,100,142,7.7,4.9,3.5,1.4,0,1.4,0.7,1.4,0.7,0.7,77.5,100,658,16.4,8.2,2.9,9.9,0.2,0.9,2.4,1.5,0.5,0.5,0.5,0.8,55.5,100,2332,23.8,7.7,10.1,6.8,0.7,1.5,1.4,3.3,0.5,0.8,0.6,1.7,41.2,100
"방한횟수",1회,28.5,18.8,6.6,13.5,4,1.4,2.4,0.5,1.7,1.5,0.7,0.6,0.8,11.5,4.3,0.9,2.4,100,30.1,18.4,10.5,14.2,5.2,1.4,4.2,0.7,0.7,2.6,1.2,8.1,2.7,100,25,8,8,24,4,0,4,0,0,0,0,52,100,276,21.7,10.9,8.3,12.7,2.5,1.1,1.8,1.8,0.7,0.7,0.4,0,37.3,100,4726,34.6,11.8,14.9,10.2,6.1,2.9,3.2,2.1,0.6,0.9,0.9,0.6,11.4,100
"방한횟수",2회,31.8,23.2,3.1,9.8,3.6,1.2,1.8,0.5,2,0.8,0.7,0.9,0.5,14.9,2.5,0.9,1.9,100,33.5,21.3,5.4,13.3,6.5,1.4,3.6,1.5,0.5,2.2,0.7,6.9,3.2,100,30,23.3,3.3,0,6.7,0,0,6.7,6.7,3.3,0,50,100,182,26.9,8.2,1.6,10.4,1.6,1.6,2.2,1.1,1.6,1.1,1.6,1.1,40.7,100,1684,38.6,18.6,7.9,9.2,4.3,2.6,2,1.8,1.1,1,0.8,0.9,11.1,100
"방한횟수",3회,34.2,29.1,1.4,6.7,2.5,0.5,1.5,0.3,2.2,0.8,0.9,1.3,0.4,15.1,1.6,0.8,0.8,100,38.5,24.9,3.8,12.1,5.1,0.4,1.8,1.8,0.7,2.5,0.4,5.5,2.5,100,27,0,14.8,7.4,3.7,0,3.7,0,0,3.7,3.7,63,100,111,27.9,10.8,4.5,9.9,0.9,3.6,0.9,0,2.7,0.9,0.9,0,36.9,100,928,39.5,21.9,5.5,8.6,4.3,1.7,2.3,2.2,1.1,0.8,0.4,0.8,11,100
"방한횟수",4회 이상,30.7,29.8,1.5,4.7,5.6,1.2,1.2,0.4,1.1,0.6,0.4,1,0.5,18.1,1.4,0.2,1.5,100,36.8,28.8,2.9,6.6,7.3,1.3,2.7,1.6,0.5,2,0.6,5.4,3.5,100,86,5.8,5.8,2.3,3.5,2.3,0,0,1.2,0,0,79.1,100,359,21.2,12.3,2.5,10.9,0.8,1.4,2.8,2.5,1.1,0.6,0.3,0.8,42.9,100,2250,38.2,22.8,3.7,6,6.1,2.5,1.4,1.8,1.7,1,0.4,0.8,13.4,100
"여행형태",개별여행,28.9,23.8,3.7,8.7,3.8,1.2,1.7,0.5,1.6,0.7,0.5,1,0.5,18,2.9,0.6,1.7,100,32.3,22.7,6.4,11.3,6.4,1.3,3,1.5,0.6,2.4,0.7,7.9,3.5,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여행형태",Air-tel Tour,46.6,25,2.9,4.2,10.4,0.8,1.6,0,1.7,0.9,0.3,0.3,0.3,2.9,1.4,0.1,0.8,100,54.4,22.3,2.2,2.2,9.3,0.8,2.7,1,0.3,1,0.4,2.9,0.4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여행형태",단체여행,27,21.3,6.9,19.6,2.2,1.3,2.9,0.4,2,2.9,1.4,0.3,1.2,1.4,4.2,1.5,3.7,100,27.1,21.2,10.9,18.9,2.1,1.6,5.7,0.1,0.7,3.2,1.9,4.5,2.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"입국과정",자가격리포함,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,417,23.5,11.5,3.8,11.8,1.2,1.2,3.8,2.4,2.2,0.7,0.7,0.2,36.9,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"입국과정",자가격리미포함,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,511,23.1,10.4,4.7,10.8,1.8,2,0.8,1.2,0.6,0.8,0.6,0.8,42.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
