"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기후/뚜렷한 사계절,이미용 서비스,숙박시설/편리한 교통,친구 친지 방문,휴가 시간,템플스테이 태권도 등 한국전통 문화 체험,기타,계,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,휴가 시간,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계
"월별",8월,31.7,22,3.8,8,9.2,1.5,1.5,0.4,1.9,0.8,0,1,0.3,12.3,3.5,1,0.9,100,37.8,18.6,7.3,9.2,3.5,1.5,4.6,1.1,0.7,4.2,1.7,7.2,2.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,97,11.3,9.3,6.2,8.2,0,2.1,0,0,0,1,0,0,61.9,100,1099,33.9,13.9,14.3,7.4,4.5,3,3.3,2.1,0.7,1,1.4,0.1,14.5,100
"월별",9월,30.8,24,4.1,7.3,3.1,1.6,2,0.2,1.3,0.7,0.3,0.8,0.4,18.8,2.6,0.7,1.2,100,32.5,23.7,8.3,13.6,4.4,0.8,4.3,1,0.3,1.8,0.5,6.7,2,100,-,-,-,-,-,-,-,-,-,-,-,-,-,121,14.9,11.6,4.1,6.6,0,1.7,0,1.7,2.5,0,0.8,0.8,55.4,100,1195,38.7,16.3,10.5,9.6,5.4,2.9,2.4,1.3,1.3,0.8,1.2,0.5,9,100
"월별",10월,33.1,23.1,3.7,12.9,3,0.8,2.4,0.1,1.4,0.9,0.8,0.3,0.1,14,1.7,0.6,1,100,27.5,20.3,8,15.5,11.5,0.8,3.4,0.9,0.6,2.3,0.3,6,2.9,100,-,-,-,-,-,-,-,-,-,-,-,-,-,121,15.7,6.6,4.1,11.6,0,1.7,0.8,0.8,0,0.8,0.8,1.7,55.4,100,1356,35.6,17.8,8.4,8.8,13,2.9,2.9,1.5,0.9,0.9,0.6,0.4,6.3,100
"월별",11월,28.9,26,4.7,11.1,3.9,0.9,1.6,0.3,1.2,0.4,0.8,0.6,0.5,15.4,2.7,0.5,0.4,100,32.8,25,6.3,11.4,4.8,0.8,4,1.4,0.2,1.7,0.8,7,3.6,100,-,-,-,-,-,-,-,-,-,-,-,-,-,213,26.3,15,5.2,10.3,3.3,1.4,1.9,2.3,0.9,0.5,0.5,0.9,31.5,100,1351,44,18.1,10.2,7.9,4.6,2.1,1.9,1.2,1,0.5,0.6,0.5,7.3,100
"월별",12월,30.9,23,4,12.6,4.3,0.7,1.8,0.1,1.2,0.5,1.6,1.1,0.6,12.3,3.6,0.5,1.3,100,33.6,21.3,6,13.3,4.5,0.7,3.3,1,1.9,1.6,0.8,9.7,2.3,100,-,-,-,-,-,-,-,-,-,-,-,-,-,140,35,13.6,4.3,13.6,4.3,3.6,2.1,2.1,0,2.1,1.4,0,17.9,100,1053,44.8,19.5,6.5,10.7,4.9,2.1,1.7,1.6,0.7,0.9,1,0.9,4.6,100
"분기",1분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,23,12.2,5.4,10.8,0,1.4,2.7,5.4,0,1.4,0,0,37.8,100,493,24.5,15.8,6.7,9.5,2.2,1,1.8,3.9,1,1.4,0.4,0.6,31,100
"분기",2분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,30.6,5.8,0.8,14,0,0,8.3,0.8,4.1,0,0,0,35.5,100,2278,32.4,16.2,10.5,8.7,3.8,2.9,2.6,2.6,0.9,1.1,0.4,1.1,16.6,100
"분기",3분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,259,14.7,10,5,9.3,0.4,1.5,0,0.8,1.9,0.4,0.8,0.4,54.8,100,3057,36.1,14.7,12.4,8.8,4.9,3,2.8,1.8,1.1,0.9,1.1,0.4,11.9,100
"분기",4분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,474,26.2,12.4,4.6,11.6,2.7,2.1,1.7,1.9,0.4,1.1,0.8,0.8,33.5,100,3760,41.2,18.4,8.5,9,7.7,2.4,2.2,1.4,0.9,0.8,0.7,0.6,6.1,100
"국가",일본,42.4,20.6,2.7,3.7,8.8,2.2,0.9,0.4,2,1.5,0.1,0.5,0.7,10.4,0.8,0.3,1.9,100,50.4,19.3,1.7,3.6,9.8,1.8,1.3,1.4,0.5,1.5,1,6.5,1.2,100,22,9.1,0,0,4.5,4.5,0,0,0,0,0,81.8,100,11,36.4,0,0,0,0,0,0,0,0,0,9.1,0,54.5,100,1142,37.4,22.6,1.7,1.5,14.8,3.9,2,0.9,2.3,0.7,0.6,0.6,11,100
