"국적별(1)",국적별(2),2022.01,2022.01,2022.01,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2022.09,2022.09,2022.09,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.07,2023.07,2023.07,2023.07,2023.07,2023.07,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.10,2023.10,2023.10,2023.10,2023.10,2023.10,2023.11,2023.11,2023.11,2023.11,2023.11,2023.11,2023.12,2023.12,2023.12,2023.12,2023.12,2023.12,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
"국적별(1)",국적별(2),계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타
"아시아주",인도네시아,4550,1294,1,1,70,3184,4425,1026,8,8,711,2672,4234,1214,13,6,163,2838,4331,1314,18,43,48,2908,5643,2160,25,83,57,3318,8265,3035,24,165,128,4913,8998,4007,44,251,157,4539,10035,3735,63,82,1095,5060,9344,4842,67,134,242,4059,14750,10146,92,272,74,4166,14299,9730,97,331,81,4060,17876,14585,95,149,110,2937,12838,8320,64,86,190,4178,14156,8754,87,109,901,4305,18520,12504,158,161,202,5495,23281,16958,154,117,59,5993,22531,14032,115,374,124,7886,21914,12610,157,216,108,8823,17934,11258,141,304,264,5967,18538,9338,159,255,1225,7561,16843,10505,178,318,260,5582,30343,17976,174,544,145,11504,25643,16402,216,503,161,8361,27708,18945,147,273,118,8225,19274,10840,104,103,255,7972,19466,9863,132,86,980,8405,26105,12223,175,101,290,13316,38924,23677,254,170,102,14721,31739,16244,233,357,132,14773,29137,13480,224,411,189,14833,22818,10142,232,329,284,11831,24303,7524,179,306,1445,14849,27238,12252,216,404,327,14039,34338,20654,256,409,94,12925,29100,17189,288,261,157,11205
"아시아주",태국,1108,173,16,22,34,863,1492,276,25,21,281,889,1452,234,24,15,71,1108,3664,2581,51,19,26,987,8772,7281,41,27,111,1312,16822,15045,44,68,90,1575,16808,14375,57,72,59,2245,11056,8710,52,70,455,1769,13315,11199,75,90,129,1822,34428,31421,123,103,36,2745,29316,25755,78,109,97,3277,41026,37694,62,58,114,3098,25823,22188,58,64,127,3386,28142,24152,61,191,361,3377,43084,38953,67,345,158,3561,54431,50612,74,216,54,3475,31597,27154,86,659,110,3588,25023,21097,70,500,114,3242,20184,16277,73,419,127,3288,17379,12968,70,383,420,3538,23684,19464,73,608,170,3369,46482,42202,112,403,63,3702,30164,26583,68,350,102,3061,33449,29579,83,115,123,3549,20516,16117,76,103,134,4086,22347,17604,74,246,391,4032,33518,28658,102,287,217,4254,43074,38540,109,388,56,3981,28723,24114,120,506,128,3855,20150,15932,91,513,181,3433,18056,13682,81,434,145,3714,16775,11036,72,402,465,4800,18868,13582,93,559,170,4464,40167,35236,120,411,53,4347,28920,23455,100,427,149,4789
"아시아주",베트남,2318,615,27,2,503,1171,5002,279,33,3,2797,1890,5096,357,66,0,2865,1808,4041,472,108,29,990,2442,6429,722,241,51,1152,4263,12884,4534,626,84,2721,4919,18867,7224,708,80,5003,5852,24670,9221,628,136,5951,8734,22784,10195,698,341,3785,7765,32010,21853,864,340,1328,7625,27313,17191,801,334,1414,7573,23647,12203,491,231,2688,8034,21621,9424,278,22,4206,7691,28828,6377,456,61,11159,10775,34929,18313,557,105,6428,9526,40640,28227,589,239,1414,10171,29422,16793,565,230,2059,9775,35848,21175,577,200,4622,9274,38402,23431,544,199,4317,9911,39540,20534,424,206,4907,13469,36665,21688,395,372,4600,9610,46026,32644,679,708,1325,10670,37039,26368,545,448,1651,8027,31728,17386,393,203,5388,8358,21397,10446,334,41,2634,7942,39674,14293,247,44,11902,13188,48721,23072,409,168,9573,15499,53338,34213,355,224,1284,17262,38778,21551,305,189,2473,14260,47323,29154,368,435,5317,12049,45282,27398,319,283,5172,12110,47019,24827,308,293,5704,15887,44680,22599,235,355,7482,14009,48535,33556,440,455,1505,12579,40504,24478,359,392,3312,11963
"아시아주",인도,2871,977,133,21,56,1684,3249,885,146,6,284,1928,3303,972,198,2,135,1996,3114,848,431,13,34,1788,4250,1168,726,31,67,2258,5160,1782,1057,25,76,2220,6656,2695,1439,37,87,2398,7159,2895,1357,18,397,2492,7227,3109,1514,50,179,2375,7968,3852,1642,35,50,2389,8253,3113,2097,52,78,2913,5619,2526,1156,29,75,1833,4481,1394,1056,36,159,1836,4664,1217,1188,18,428,1813,8427,2708,1611,17,206,3885,9722,3761,1679,26,35,4221,10783,4262,1949,62,70,4440,11503,3841,1705,69,98,5790,11052,3938,1757,72,141,5144,11083,3498,1773,44,444,5324,11002,4077,1809,57,148,4911,19370,8571,2291,76,81,8351,11477,3819,2048,42,92,5476,9207,3058,1344,24,103,4678,9842,2037,1526,49,178,6052,9447,1886,1460,33,560,5508,16443,4422,2198,47,216,9560,17698,5441,2318,51,58,9830,18216,5514,2474,75,80,10073,17693,4917,1982,81,142,10571,14336,3431,1857,32,164,8852,15734,3874,2124,72,521,9143,17071,5307,2200,61,231,9272,16591,5739,2101,78,78,8595,12927,4207,2279,61,146,6234
"아시아주",말레이시아,557,131,24,1,28,373,987,76,38,1,529,343,624,103,48,0,74,399,1280,803,36,0,16,425,2432,1858,33,1,31,509,3415,2689,40,1,38,647,3799,2915,57,3,52,772,4826,3318,48,10,598,852,6354,5252,68,1,95,938,12349,11160,71,2,11,1105,13113,11788,82,4,35,1204,20713,19231,70,3,54,1355,11058,9354,67,8,128,1501,16486,14448,55,9,464,1510,23569,21693,79,6,167,1624,25679,23955,81,8,20,1615,21544,19642,95,7,53,1747,15799,13854,72,7,57,1809,11356,9295,73,11,128,1849,15522,12877,62,8,688,1887,21867,19833,57,12,131,1834,33321,30817,97,11,56,2340,30565,28379,97,12,58,2019,33106,30798,90,12,67,2139,16913,14389,78,15,152,2279,29516,26818,92,11,552,2043,25294,22778,84,3,177,2252,31993,29408,115,10,37,2423,27380,24621,105,13,58,2583,16138,13445,130,10,79,2474,12275,9549,91,15,127,2493,12913,9614,105,12,739,2443,29347,26542,128,21,227,2429,37050,34366,106,16,43,2519,30623,27871,103,28,88,2533
"아시아주",싱가포르,1345,993,53,7,5,287,1489,956,71,1,182,279,2450,2018,90,2,12,328,3805,3381,152,3,3,266,6776,6043,224,5,16,488,10462,9549,264,3,9,637,7832,6747,237,13,15,820,7567,6182,309,5,217,854,14862,13621,310,5,23,903,24761,23306,471,1,7,976,33212,31319,444,6,21,1422,50711,48860,405,0,33,1413,13316,11591,249,6,38,1432,12173,10484,273,6,224,1186,34337,32525,430,13,32,1337,31144,29560,314,19,15,1236,30557,28700,241,40,58,1518,35377,33638,161,13,47,1518,13348,11547,131,35,48,1587,15070,13107,120,10,276,1557,26929,25145,137,25,38,1584,34710,32798,210,24,34,1644,44456,42723,146,20,53,1514,56397,54572,147,8,47,1623,14036,12289,117,8,27,1595,15282,13518,92,15,200,1457,38849,37013,180,5,46,1605,32481,30684,138,8,25,1626,37306,35399,149,11,65,1682,34134,32353,132,13,59,1577,14068,12300,116,14,60,1578,17295,15374,99,15,255,1552,26006,24258,111,27,29,1581,40841,39014,138,19,19,1651,43582,41856,116,27,40,1543
"아시아주",몽골,628,162,6,42,182,236,1174,152,7,46,624,345,1304,264,13,65,613,349,1018,418,19,117,156,308,1161,453,23,151,269,265,3864,2813,42,161,504,344,5892,4079,43,132,872,766,8749,4824,71,133,2053,1668,8915,6278,60,185,1678,714,8002,7109,30,270,196,397,9986,8903,37,246,413,387,11977,10516,32,178,885,366,12585,11179,45,179,594,588,10000,8365,41,164,975,455,12412,10051,47,240,1541,533,9909,9056,38,190,188,437,10009,8808,41,235,403,522,13187,11615,51,192,745,584,11114,8958,43,130,1094,889,11767,7691,83,175,2270,1548,11809,8601,57,258,2172,721,10364,8820,62,313,391,778,10984,9498,56,282,470,678,11076,9083,36,252,1113,592,12465,10304,67,232,1036,826,10036,6533,71,165,2152,1115,10606,8126,61,280,1373,766,9456,8193,51,262,325,625,10768,9035,52,257,738,686,12578,10557,77,189,1100,655,12415,9235,70,184,1665,1261,12964,7042,102,171,3856,1793,14415,9683,83,271,3022,1356,12472,11129,68,312,373,590,11398,9256,69,328,908,837
"아시아주",우즈베키스탄,1003,21,84,7,262,629,1575,20,66,-,670,819,1510,104,37,10,161,1198,1454,34,45,17,80,1278,2275,47,33,7,135,2053,3152,625,52,9,289,2177,3997,803,64,30,504,2596,5781,840,119,10,2022,2790,5377,828,108,4,1709,2728,3761,893,130,0,276,2462,3541,841,265,0,173,2262,2769,596,142,2,285,1744,3819,530,168,8,762,2351,4644,491,166,-,1491,2496,4289,671,216,3,969,2430,3285,653,178,3,130,2321,3567,906,220,0,172,2269,3823,953,247,2,233,2388,4655,1221,348,3,528,2555,5935,906,308,7,1388,3326,5967,900,338,2,1779,2948,4680,1088,461,3,247,2881,4129,899,468,2,195,2565,3687,718,329,1,342,2297,5059,575,499,9,968,3008,6121,524,452,-,1842,3303,4766,522,407,3,1443,2391,4048,662,431,0,207,2748,3910,762,537,3,246,2362,3929,771,487,2,291,2378,4936,1050,402,1,689,2794,6738,857,246,1,2096,3538,7293,791,335,5,2845,3317,4501,870,379,6,201,3045,4414,931,464,5,263,2751
"아시아주",미얀마,5215,1460,1,1,36,3717,4291,1023,2,-,149,3117,4781,1213,4,0,199,3365,4728,1211,8,-,33,3476,5613,1330,10,-,64,4209,5275,1121,26,5,169,3954,6654,1620,47,5,94,4888,6619,1297,19,11,365,4927,5959,1298,41,27,331,4262,7206,1961,55,29,44,5117,5472,1623,25,49,75,3700,4144,1675,17,6,292,2154,3209,850,40,3,123,2193,3271,668,38,9,348,2208,5248,984,49,13,442,3760,4162,995,60,22,35,3050,4450,837,42,25,230,3316,4771,863,39,19,261,3589,4991,825,54,32,113,3967,5523,738,30,22,465,4268,5266,1000,55,64,610,3537,5215,1079,39,56,56,3985,4795,989,39,57,362,3348,5816,880,21,26,408,4481,5151,746,16,2,155,4232,5507,794,22,13,591,4087,5787,974,33,13,551,4216,5353,1302,30,15,71,3935,6448,1059,18,34,463,4874,6269,887,26,26,424,4906,6168,876,24,16,214,5038,8049,855,30,33,704,6427,7513,1278,20,29,727,5459,6967,1755,36,33,41,5102,6540,1607,27,19,90,4797
"아시아주",GCC,268,81,23,12,20,132,395,114,23,37,100,121,363,67,36,123,18,119,345,228,35,6,9,67,897,720,60,24,24,69,1187,1069,17,9,12,80,1827,1582,36,28,32,149,1972,1529,30,22,127,264,1698,1472,22,10,28,166,2058,1824,23,12,27,172,3164,2684,24,61,38,357,1702,1432,31,2,43,194,1145,813,32,2,83,215,1276,970,28,9,98,171,2195,1878,18,21,77,201,2230,1962,10,9,32,217,3090,2698,22,33,61,276,3187,2818,13,64,48,244,4127,3803,17,31,55,221,2768,2272,16,7,122,351,2522,2190,19,21,48,244,3065,2653,32,50,64,266,3119,2750,16,18,77,258,2305,2012,22,9,33,229,2160,1772,42,15,48,283,2194,1807,33,30,119,205,1034,745,30,12,80,167,4399,4062,38,32,57,210,3636,3296,39,9,49,243,5606,5273,46,44,50,193,5384,5130,40,27,43,144,3430,3112,51,7,122,138,2990,2720,52,9,100,109,3689,3477,59,17,41,95,3957,3698,39,20,78,122
