"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타
"분기",3분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,338,13.3,12.4,3.8,8.9,0.3,1.5,0.9,0.6,1.5,0.3,0.6,0.3,55.6,3104,35.9,14.7,12.3,8.8,4.8,2.9,2.8,1.8,1.2,0.9,1.1,0.5,12.3
"분기",4분기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,24.7,12.6,4.8,11.2,2.4,2,2.2,1.8,0.5,1.1,0.9,0.7,35.1,3804,41.1,18.3,8.5,9.1,7.7,2.4,2.2,1.4,0.9,0.8,0.7,0.6,6.2
"국가",일본,33,6.1,0,0,3,3,0,0,0,0,0,0,0,87.9,26,30.8,7.7,0,3.8,0,0,3.8,0,0,0,3.8,0,50,1155,37.3,22.4,1.6,1.5,14.6,3.9,2,0.9,2.3,0.7,0.6,0.6,11.5
"국가",중국,164,19.5,23.8,1.2,5.5,0,0,6.7,1.2,1.2,0,2.4,0,38.4,297,19.2,22.6,1.7,16.8,0,0,11.8,0,1.3,0.3,0.3,0,25.9,324,34,24.1,4.9,9.6,0.9,0,3.4,0.3,2.5,0.9,1.2,1.2,17
"국가",홍콩,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,155,52.9,27.7,0.6,6.5,4.5,0.6,2.6,0.6,0,0,1.9,0.6,1.3
"국가",싱가포르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,44.2,18.2,3.9,16.6,3.3,3.3,1.1,1.1,0.6,2.8,1.1,0,3.9,1650,43,30.4,3.2,10.7,2.6,2.1,1.7,1.5,0.3,1.3,0.5,0.3,2.2
"국가",대만,2,50,0,0,0,0,0,0,0,0,0,0,0,50,12,33.3,16.7,16.7,0,0,0,8.3,0,8.3,0,0,0,16.7,489,45.6,23.7,5.1,8.2,7,0,2.5,1,0.2,0.4,1.2,0.6,4.5
"국가",태국,8,12.5,0,0,0,0,0,0,0,0,0,0,0,87.5,23,21.7,39.1,4.3,21.7,0,0,0,4.3,4.3,0,0,0,4.3,449,48.1,26.7,3.3,7.6,4.9,0.4,1.3,1.8,1.6,0,0.4,0,3.8
"국가",말레이시아,6,50,0,0,16.7,16.7,0,0,0,0,0,0,0,16.7,5,40,40,0,20,0,0,0,0,0,0,0,0,0,232,34.5,23.3,9.5,20.3,2.6,1.7,0.9,1.3,0.9,1.3,0,0.9,3
"국가",호주,6,16.7,0,0,0,0,0,0,0,0,0,0,0,83.3,4,25,25,0,25,0,0,0,0,0,0,0,0,25,290,34.5,10.7,14.1,6.9,6.6,4.8,2.1,1.7,1.7,0.7,0.3,0.3,15.5
