"행정구역별(1)","시점",계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"행정구역별(1)","시점",소계,소계,소계,소계,국악,국악,양악,양악,연극,연극,무용,무용,혼합,혼합
"행정구역별(1)","시점",활동건수 (건),활동건수 (건),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회)
"광주광역시","2019",114.0,36.7,77.3,229.8,7.2,10.2,37.1,39.8,19.5,159.2,3.9,5.8,9.5,14.8
"광주광역시","2020",41.6,16.6,25.0,80.8,1.7,1.7,11.9,12.6,7.0,51.6,1.1,1.8,3.2,13.1
"광주광역시","2021",62.5,24.8,37.7,69.9,3.9,7.4,22.4,25.2,6.5,27.7,3.0,3.8,2.0,5.8
"광주광역시","2022",110.7,42.1,68.6,112.2,8.0,8.6,30.4,32.4,9.3,47.2,2.7,5.3,18.2,18.7
"대전광역시","2015",65.5,23.0,42.5,282.8,2.7,2.9,22.6,24.3,12.8,248.9,2.5,4.0,2.0,2.7
"대전광역시","2016",65.9,24.0,41.9,308.0,2.8,3.1,21.2,24.0,11.5,272.5,2.5,3.9,3.9,4.5
"대전광역시","2017",81.7,26.9,54.8,309.2,3.0,3.1,26.2,28.2,16.5,265.2,2.4,4.3,6.7,8.5
"대전광역시","2018",86.2,27.3,58.9,331.1,1.7,1.8,30.9,33.8,18.4,279.9,2.2,4.0,5.7,11.5
"대전광역시","2019",106.0,30.6,75.4,346.2,6.3,7.1,35.3,37.9,20.9,283.1,2.1,3.2,10.8,14.8
"대전광역시","2020",31.5,6.6,24.9,113.9,2.2,2.5,15.8,16.7,3.6,89.1,0.8,0.8,2.5,4.9
"대전광역시","2021",68.9,16.6,52.3,137.7,4.3,4.4,30.4,31.7,11.4,93.3,2.2,3.0,4.0,5.3
"대전광역시","2022",102.8,32.6,70.2,232.3,5.3,5.5,38.9,42.1,17.3,172.1,3.6,4.3,5.1,8.3
"울산광역시","2015",77.7,31.1,46.6,203.7,2.9,3.0,22.9,30.9,16.0,160.1,3.2,3.9,1.6,5.8
"울산광역시","2016",60.1,18.2,42.0,182.1,3.3,3.3,21.2,22.6,12.0,150.1,3.5,3.8,1.9,2.3
"울산광역시","2017",68.3,19.3,49.0,68.9,3.4,3.6,23.1,23.9,10.3,27.9,2.5,3.4,9.7,10.1
"울산광역시","2018",70.2,22.2,48.0,73.6,1.5,2.4,21.2,21.7,12.9,33.5,1.6,1.6,10.9,14.5
"울산광역시","2019",70.4,21.8,48.6,69.3,2.5,2.6,18.3,18.5,16.6,35.1,3.8,4.2,7.4,9.0
"울산광역시","2020",30.1,11.7,18.4,26.7,1.1,1.1,10.5,11.5,4.1,10.4,1.6,1.9,1.1,1.7
"울산광역시","2021",56.7,20.9,35.8,88.2,2.3,2.7,17.8,18.6,9.6,58.6,2.9,4.5,3.0,3.7
"울산광역시","2022",64.9,31.3,33.6,61.8,0.8,1.2,20.0,22.2,7.9,32.5,2.3,3.2,2.6,2.7
"세종특별자치시","2015",27.5,10.7,16.8,27.4,2.0,9.1,9.1,10.7,4.6,6.6,0.5,0.5,0.5,0.5
"세종특별자치시","2016",49.0,11.5,37.4,48.6,9.1,9.9,7.8,7.8,4.5,9.9,2.1,2.1,14.0,18.9
"세종특별자치시","2017",42.8,10.7,32.1,40.0,3.2,3.2,7.5,10.4,9.3,13.9,1.4,1.4,10.7,11.1
"세종특별자치시","2018",46.8,10.5,36.3,48.4,3.5,3.5,7.0,7.3,13.7,25.1,1.6,1.6,10.5,10.8
"세종특별자치시","2019",55.2,12.0,43.2,60.2,1.8,2.1,7.0,7.3,15.9,31.4,2.3,2.3,16.1,17.0
"세종특별자치시","2020",22.8,4.5,18.3,23.3,1.7,2.0,7.6,7.6,3.9,8.1,1.1,1.1,3.9,4.5
"세종특별자치시","2021",41.4,13.2,28.2,33.3,2.4,2.4,15.3,15.3,4.3,9.4,3.0,3.0,3.2,3.2
"세종특별자치시","2022",71.3,18.8,52.5,78.4,5.0,5.2,24.6,25.3,13.3,36.6,4.2,5.0,5.5,6.3
"경기도","2015",30.8,11.8,19.0,65.0,1.0,2.1,10.0,11.6,5.9,41.8,0.9,1.2,1.2,8.3
"경기도","2016",30.9,10.9,19.9,96.9,1.3,13.2,8.5,9.3,7.4,61.9,1.1,4.5,1.6,8.0
"경기도","2017",31.3,11.3,19.9,92.3,0.9,6.8,8.6,9.5,6.9,53.2,1.0,13.1,2.4,9.8
"경기도","2018",35.5,13.0,22.5,96.9,0.9,1.1,8.9,10.1,9.1,67.4,0.9,4.6,2.7,13.7
"경기도","2019",45.0,12.5,32.5,107.5,1.4,10.2,11.9,13.4,14.5,66.2,1.4,2.7,3.2,14.9
"경기도","2020",12.8,6.2,6.6,25.5,0.5,0.6,3.3,3.9,1.6,18.6,0.3,0.4,0.9,2.0
"경기도","2021",25.9,11.7,14.2,67.2,1.0,1.5,6.4,9.1,4.2,48.9,1.0,3.9,1.5,3.8
"경기도","2022",31.6,11.9,19.7,74.3,1.3,1.4,8.8,17.4,7.2,49.4,1.1,4.1,1.3,1.9
"강원특별자치도","2015",76.4,30.1,46.3,118.1,7.4,19.3,20.0,27.6,13.7,58.8,2.9,3.3,2.3,9.1
