"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"서울특별시","2021",121,852331,-,-,-,-,2,70633,1,2275,1,4065,2,88150,-,-,74,585687,-,-,-,-,41,101521,-,-
"서울특별시","2022",126,988918,-,-,-,-,2,70633,1,2275,2,10035,2,88150,-,-,75,691878,-,-,-,-,44,125947,-,-
"서울특별시","2023",128,998429,-,-,-,-,2,70633,1,2275,2,10035,2,88150,-,-,77,701389,-,-,-,-,44,125947,-,-
"부산광역시","2005",9,187952,1,15923,0,0,1,16800,0,0,0,0,0,0,0,0,7,155229,-,-,-,-,-,-,-,-
"부산광역시","2006",10,199851,1,15923,0,0,1,16800,0,0,0,0,0,0,0,0,8,167128,-,-,-,-,-,-,-,-
"부산광역시","2007",11,201191,1,15923,0,0,1,16800,0,0,0,0,0,0,0,0,9,168468,-,-,-,-,-,-,-,-
"부산광역시","2008",11,201188,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,9,168466,-,-,-,-,-,-,-,-
"부산광역시","2009",14,203150,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,12,170428,-,-,-,-,-,-,-,-
"부산광역시","2010",14,203150,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,12,170428,-,-,-,-,-,-,-,-
"부산광역시","2011",14,315507,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,12,282785,-,-,-,-,-,-,-,-
