"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"가구소득","100~200만원 미만",2021,319,273,248,211,68,84,191,29,1141,490,348,454,487,770,896,820,170
"가구소득","100~200만원 미만",2022,370,315,161,242,94,99,153,35,1304,855,422,797,563,909,1034,1068,330
"가구소득","100~200만원 미만",2023,336,379,200,259,63,120,239,11,1510,869,360,887,782,1562,1146,1273,363
"가구소득","200~300만원 미만",2018,821,1589,546,979,326,542,391,202,3618,4821,1284,2873,2204,2904,3503,3213,1404
"가구소득","200~300만원 미만",2019,1601,2118,742,1659,396,569,509,141,5168,3795,1904,3049,2559,3328,3319,3493,1369
"가구소득","200~300만원 미만",2020,844,920,360,837,218,291,377,109,4414,1947,889,2020,1541,2165,1801,2258,644
"가구소득","200~300만원 미만",2021,542,1064,372,694,176,274,494,180,4784,1990,968,2088,1814,2194,2321,2883,800
"가구소득","200~300만원 미만",2022,678,947,463,827,180,231,315,200,3861,2509,910,2209,1597,2713,2851,2514,1035
"가구소득","200~300만원 미만",2023,713,1279,406,587,223,405,621,124,4180,2627,954,2572,2126,3510,2332,3238,904
"가구소득","300~400만원 미만",2018,1286,2985,524,1546,476,696,480,130,5592,7230,1654,4022,2786,5177,3232,4741,2626
"가구소득","300~400만원 미만",2019,2757,3147,979,1916,635,1062,810,221,6751,7245,2216,4116,3509,5172,5314,5884,2229
"가구소득","300~400만원 미만",2020,1562,1714,734,1271,346,589,593,247,6096,3368,1384,3426,2739,3847,3506,4645,1728
"가구소득","300~400만원 미만",2021,1162,1633,767,1355,269,592,716,180,6492,3914,1612,3160,2830,4071,4626,4674,1692
"가구소득","300~400만원 미만",2022,1459,1871,702,1388,205,729,767,206,7443,4643,1829,3500,2946,4306,4245,4703,1880
"가구소득","300~400만원 미만",2023,1530,2277,828,1571,358,647,809,231,6228,4897,1673,3629,3458,4953,4953,5348,1834
"가구소득","400~500만원 미만",2018,1641,4455,796,1747,313,1145,628,114,4539,8061,1791,4048,3248,4806,4178,5659,2781
"가구소득","400~500만원 미만",2019,3063,3801,847,2680,581,1041,675,219,8255,8498,2044,5734,4437,5304,5436,5602,2882
"가구소득","400~500만원 미만",2020,1514,1872,403,1625,281,395,517,213,7052,4333,1609,3337,2601,3437,2742,3663,1934
"가구소득","400~500만원 미만",2021,1487,1494,613,1129,181,443,689,187,7466,3811,1664,3351,2517,4104,4152,4288,1810
"가구소득","400~500만원 미만",2022,1372,2168,499,1463,198,540,646,187,8360,4723,1653,3788,2628,3950,3884,5207,2122
"가구소득","400~500만원 미만",2023,1741,1935,645,1294,233,617,705,165,7898,6124,1994,3561,2898,3780,4349,4012,1965
"가구소득","500~600만원 미만",2018,1850,2967,669,1663,376,675,425,41,5888,9953,1303,4301,3016,4846,4569,4968,2836
"가구소득","500~600만원 미만",2019,2162,2915,800,1932,590,677,844,203,6683,7787,1756,4055,3468,4602,4111,3616,2299
"가구소득","500~600만원 미만",2020,1332,1489,217,1758,273,518,404,121,7639,4366,1274,2732,1939,2457,2359,2652,1671
"가구소득","500~600만원 미만",2021,1678,1806,477,1612,244,419,511,100,9208,5944,1393,2956,2120,3447,3064,3896,2239
"가구소득","500~600만원 미만",2022,2119,2494,487,2135,246,522,898,262,10826,6377,1784,4120,2862,4069,4801,4233,2719
"가구소득","500~600만원 미만",2023,1897,2567,534,2345,174,607,622,276,9795,8214,2201,4210,2734,4462,4736,5368,2480
"가구소득","600만원 이상",2018,1260,3715,303,1870,160,355,401,29,4698,8158,1223,2348,2097,3267,4181,4331,3203
"가구소득","600만원 이상",2019,2163,2457,602,1720,398,495,354,167,6143,6709,1748,2702,2574,3561,3145,2965,2185
"가구소득","600만원 이상",2020,1656,1415,345,1311,184,468,386,241,6933,5969,1394,2473,1612,2401,2068,2183,2019
"가구소득","600만원 이상",2021,2330,2104,389,2280,187,478,604,146,11502,7076,1506,3237,1915,2780,4015,3032,3862
"가구소득","600만원 이상",2022,3544,3142,552,3488,332,652,1019,148,13832,12551,2650,4947,3138,4920,5287,5435,5610
"가구소득","600만원 이상",2023,3159,3398,722,3613,441,1067,806,332,16402,14646,3169,5686,3762,5053,6656,6772,4710
"가구소득","무응답",2018,73,171,35,-,14,23,-,-,141,302,95,41,73,64,106,277,89
