지점명,지점번호,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
의령군,263,13.2,20,7.5,1355,72.4,2223.1,,,1014.5,1016.2,1.3
함양군,264,12.8,19.5,7.1,1325.1,73.1,2175.4,,,998.4,1016.4,1.3
진도군,268,13.9,18.6,9.6,1374.7,,,,,,,2.2
봉화,271,10,17.2,3.7,1175.6,69.5,2197.8,,,978.1,1015.8,1.3
영주,272,11.7,17.6,6.2,1334,64.9,2279.9,,,991.1,1016,2.5
문경,273,11.9,17.8,6.6,1294.9,64.6,2221,,,995.8,1016.3,1.8
청송군,276,11.2,18.2,5.4,967.2,69.7,2129.2,,,991.7,1016.4,1.4
영덕,277,13.1,18.3,8.5,1112.2,64.9,2382.4,,,1011.5,1016.6,2.7
의성,278,11.6,19.2,5.1,1011.2,67.9,2174.3,,,1006.8,1016.4,1.2
구미,279,13.1,19.2,7.8,1113.1,65.1,2204.1,,,1010.9,1016.5,1.5
영천,281,12.8,19.2,7.1,1085.9,64.3,2213.4,,,1005.3,1016.4,1.8
경주시,283,13.4,19.6,8,1121.2,66.9,2261.7,,,1011.7,1016.2,2.5
경주시,283,13.4,19.6,8,1121.2,66.9,2261.7,,,1011.7,1016.2,2.5
거창,284,12,18.9,6,1294.7,68.3,2288.6,,,989.8,1016.5,1.3
합천,285,13.2,20.1,7.5,1289.9,65.1,2189.7,,,1012.6,1016.5,1.3
밀양,288,13.6,20.3,7.9,1226.6,66.4,2236.9,,,1014.9,1016.4,1.4
산청,289,13,19.3,7.8,1556.2,64.9,2199,,,1000.2,1016.9,1.7
거제,294,14.4,19.1,10.2,1930.3,65.2,2216,,,1011.1,1015.8,1.7
남해,295,14.3,19.3,10.1,1921.2,65.4,2328.4,,,1011.2,1016.8,1.6
강남,400,13.6,18,9.9,1320.9,,,,,,,1.7
서초,401,13.7,18.5,9.7,1305.1,,,,,,,1.4
강동,402,12.9,18.1,8.4,1328.9,,,,,,,1.5
송파,403,13.9,18.4,9.9,1294.1,,,,,,,1.7
강서,404,12.9,17.4,9.1,1226.9,,,,,,,1.7
양천,405,13.7,18.2,10,1207.7,,,,,,,1.5
도봉,406,12.4,17.9,7.5,1472.6,,,,,,,1.1
노원,407,12,17.9,6.6,1361.9,,,,,,,1.5
동대문,408,13.7,18.3,9.7,1357,,,,,,,1.8
중랑,409,13.6,18,9.6,1345.5,,,,,,,2.1
기상청,410,13.4,17.8,9.6,1278.6,,,,,,,1.5
마포,411,13.5,17.9,9.8,1272.7,,,,,,,2.3
서대문,412,12.4,17.8,8.2,1234.4,,,,,,,1.6
광진,413,13.5,18.1,9.6,1307.3,,,,,,,1.8
성북,414,12.6,17.1,8.6,1385,,,,,,,1.6
용산,415,13.6,18.1,9.8,1236.9,,,,,,,1.8
은평,416,12.3,17.4,7.7,1224.5,,,,,,,1.7
금천,417,13.4,17.5,9.9,1267.5,,,,,,,1.9
중구,419,11.9,16.7,8.2,1117.3,,,,,,,2.2
성동,421,13.7,17.9,10.1,1269,,,,,,,2.2
구로,423,12.8,17.7,8.6,1258.1,,,,,,,1.9
강북,424,13.5,18.1,9.5,1440.2,,,,,,,1.7
남현,425,12.4,17.2,8.1,1432.8,,,,,,,1.3
부천,433,13.3,17.7,9.6,1205,,,,,,,1.3
안양,434,13.1,17.3,9.4,1294.9,,,,,,,2.2
광명,437,13.6,17.8,10,1288.8,,,,,,,2
군포,438,13.3,17.8,9.5,1327.6,,,,,,,1.5
김포,441,11.9,16.8,7.6,1160.5,,,,,,,1.7
하남,444,12.6,18.1,7.8,1110.6,,,,,,,0.9
의왕,445,11.9,16.9,7.3,1314,,,,,,,1.1
포천,504,11.4,17.8,5.8,1368.2,,,,,,,1.3
가평조종,505,10.2,16.9,4.4,1374.8,,,,,,,1.2
영등포,510,13.8,18.2,10.3,1227.8,,,,,,,1.6
인천연수,512,12.8,17.5,8.7,1085.4,,,,,,,1.8
안성,516,12.5,18.2,7.5,1194.9,,,,,,,1.3
간성,517,12,16.6,7.5,1401.9,,,,,,,1.8
평창,526,10.2,16.8,4.7,1182.9,,,,,,,1.2
의정부,532,11.7,17.5,6.6,1456.2,,,,,,,1.1
횡성,536,11.1,18,5.5,1331.5,,,,,,,1.2
고양,540,11.9,18,6.6,1156.4,,,,,,,1.3
남양주,541,11.5,18,5.7,1358.4,,,,,,,1.1
안산,545,11.6,17.6,6.2,1103.8,,,,,,,1.7
경기광주,546,11.7,17.6,6.8,1308.1,,,,,,,1.6
여주,548,11.6,17.8,6.4,1173,,,,,,,1.3
용인,549,11.6,17.7,6.3,1291.9,,,,,,,1.3
오산,550,12.2,18.1,7.4,1204.4,,,,,,,1.3
평택,551,12.9,18.2,8,1144.3,,,,,,,1.7
화천,555,10.5,17.7,4.9,1257.9,,,,,,,1.1
양구,556,10,17.3,4.5,1167,,,,,,,1.1
시흥,565,12.7,17.5,8.4,1122.6,,,,,,,1.7
구리,569,12.6,17.9,8,1330,,,,,,,1.4
금곡,570,11.8,16.9,7.5,1136.2,,,,,,,1.3
화성,571,12.3,17.4,8,1102.2,,,,,,,1.4
성남,572,13.1,18.1,8.6,1274.8,,,,,,,1.3
과천,590,12.4,17.9,7.6,1313.1,,,,,,,1.7
진부령,595,8.7,13.6,4.5,1564.5,,,,,,,3
양주,598,11.2,17.5,5.5,1316.9,,,,,,,1.3
단양,601,11.7,17.9,6.6,1049.9,,,,,,,0.9
진천,602,11.7,18.1,6.4,1234.2,,,,,,,1.2
괴산,603,11.3,17.9,5.7,1286.7,,,,,,,1.1
옥천,604,12.1,18.4,6.8,1199.3,,,,,,,1.1
세종연서,611,11.8,18.4,6.6,1204.9,,,,,,,1.3
공주,612,12.5,18.7,7.3,1292.6,,,,,,,1.3
서천,614,12.5,17.9,7.9,1175.8,,,,,,,1.8
논산,615,12.5,18.8,7.2,1211.8,,,,,,,1.5
당진,616,12,17.4,7.4,1165.5,,,,,,,2
청양,618,11.7,17.9,6,1291.4,,,,,,,1.2
음성,619,11,18,5.1,1220.8,,,,,,,1.4
증평,623,11.8,18.3,6.3,1153.2,,,,,,,1.2
태안,627,12.8,17.4,8.9,1157.2,,,,,,,1.9
예산,628,12.5,18.2,7.6,1158.2,,,,,,,1.9
아산,634,12.5,17.9,7.9,1132.9,,,,,,,1.9
계룡,636,11.7,18.2,5.8,1401.6,,,,,,,1.1
오월드,642,13.6,19.1,8.9,1340.5,,,,,,,1.2
세천,643,12.2,18.4,6.9,1239.8,,,,,,,1.1
장동,648,12.5,18.5,7.3,1245.3,,,,,,,1
부평,649,12.1,18,7,1142.6,,,,,,,0.8
