,포지션,회사명,지역명,경력,링크
333,[신입] 백엔드 엔지니어 (Python),엘리스,서울 강남구 , 신입-경력 3년,/wd/162405
334,AI 데이터 사이언티스트,레디포스트,서울 강남구 , 경력 2-5년,/wd/262130
335,[ETL/AI] Data Engineer,디써클,서울 마포구 , 경력 3-9년,/wd/237885
336,백엔드 개발자,밀리의서재,서울 마포구 , 경력 5-12년,/wd/222891
337,Machine Learning Engineer(LLM Application),엘박스,서울 강남구 , 경력 3-10년,/wd/233546
338,Vision AI Engineer,메딜리티,서울 강남구 , 경력 3년 이상,/wd/262320
339,[이미지/비디오 생성형 AI] Research Engineer (전문연구요원),이너버즈,서울 강남구 , 신입,/wd/263463
340,Research Scientist,에어스메디컬,서울 강남구 , 신입,/wd/258011
341,Software Engineer (전문연 가능),렛서,서울 강남구 , 경력 3년 이상,/wd/232917
342,데이터 엔지니어 (3년이상),웅진,서울 중구 , 경력 3-14년,/wd/263446
343,Back-End 개발자,브이씨,서울 강남구 , 경력 5-10년,/wd/263410
344,AI연구소 시니어 연구원,룰루랩(lululab),서울 강남구 , 경력 10년 이상,/wd/261991
345,데이터 엔지니어 (Data Engineer),라플라스테크놀로지스,경기 성남시 , 경력 5-10년,/wd/156626
346,[전문연구요원/병역특례] 디지털 헬스케어 분야 데이터 분석 전문가,렉스소프트,서울 관악구 , 신입 이상,/wd/263385
347,AI 엔지니어(3년 이상),피아스페이스,서울 서초구 , 경력 3년 이상,/wd/263064
348,AI 엔지니어(AI engineer),인딥에이아이,서울 강남구 , 경력 3-10년,/wd/261274
349,주니어 AI 엔지니어,피아스페이스,서울 서초구 , 경력 1년 이상,/wd/263066
350,데이터 엔지니어(DW),카카오페이증권(kakaopay증권),경기 성남시 , 경력 7-15년,/wd/227528
351,[아이디어스/텀블벅] Data Engineer (1년 이상),백패커,서울 서초구 , 경력 1-5년,/wd/262087
352,AI Researcher,아하랩스,경기 성남시 , 경력 2-10년,/wd/239073
353,글로벌 빅데이터 플랫폼 BI 대시보드 기획/운영 (Data Analysis),펑타이그레이터차이나(피티코리아),서울 강남구 , 경력 3-15년,/wd/249518
