기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
2018,아시아,우즈베키스탄,기타,34465.0,33687.0,2.3
2018,아시아,우즈베키스탄,전체,82984.0,75928.0,9.3
2018,아시아,미얀마,관광,18933.0,17436.0,8.6
2018,아시아,미얀마,상용,129.0,155.0,-16.8
2018,아시아,미얀마,공용,989.0,892.0,10.9
2018,아시아,미얀마,유학연수,820.0,712.0,15.2
2018,아시아,미얀마,기타,50223.0,50711.0,-1.0
2018,아시아,미얀마,전체,71094.0,69906.0,1.7
2018,아시아,GCC,관광,26525.0,24931.0,6.4
2018,아시아,GCC,상용,340.0,427.0,-20.4
2018,아시아,GCC,공용,379.0,385.0,-1.6
2018,아시아,GCC,유학연수,1161.0,1348.0,-13.9
2018,아시아,GCC,기타,974.0,966.0,0.8
2018,아시아,GCC,전체,29379.0,28057.0,4.7
2018,아시아,카자흐스탄,관광,37227.0,32105.0,16.0
2018,아시아,카자흐스탄,상용,118.0,87.0,35.6
2018,아시아,카자흐스탄,공용,37.0,45.0,-17.8
2018,아시아,카자흐스탄,유학연수,1705.0,1550.0,10.0
2018,아시아,카자흐스탄,기타,13772.0,10700.0,28.7
2018,아시아,카자흐스탄,전체,52859.0,44487.0,18.8
2018,아시아,튀르키예,관광,16463.0,14814.0,11.1
2018,아시아,튀르키예,상용,172.0,143.0,20.3
2018,아시아,튀르키예,공용,690.0,721.0,-4.3
2018,아시아,튀르키예,유학연수,643.0,536.0,20.0
2018,아시아,튀르키예,기타,11590.0,11058.0,4.8
2018,아시아,튀르키예,전체,29558.0,27272.0,8.4
2018,아시아,캄보디아,관광,11052.0,8119.0,36.1
2018,아시아,캄보디아,상용,495.0,423.0,17.0
2018,아시아,캄보디아,공용,1034.0,886.0,16.7
2018,아시아,캄보디아,유학연수,645.0,584.0,10.4
2018,아시아,캄보디아,기타,20169.0,20783.0,-3.0
2018,아시아,캄보디아,전체,33395.0,30795.0,8.4
2018,아시아,스리랑카,관광,3428.0,3377.0,1.5
2018,아시아,스리랑카,상용,780.0,817.0,-4.5
2018,아시아,스리랑카,공용,107.0,186.0,-42.5
2018,아시아,스리랑카,유학연수,304.0,325.0,-6.5
2018,아시아,스리랑카,기타,13282.0,12973.0,2.4
2018,아시아,스리랑카,전체,17901.0,17678.0,1.3
2018,아시아,방글라데시,관광,3147.0,2866.0,9.8
2018,아시아,방글라데시,상용,1661.0,1858.0,-10.6
2018,아시아,방글라데시,공용,982.0,668.0,47.0
2018,아시아,방글라데시,유학연수,1088.0,889.0,22.4
2018,아시아,방글라데시,기타,9273.0,7802.0,18.9
2018,아시아,방글라데시,전체,16151.0,14083.0,14.7
2018,아시아,파키스탄,관광,4272.0,3325.0,28.5
2018,아시아,파키스탄,상용,3436.0,3585.0,-4.2
2018,아시아,파키스탄,공용,247.0,388.0,-36.3
2018,아시아,파키스탄,유학연수,1830.0,1468.0,24.7
2018,아시아,파키스탄,기타,4403.0,4335.0,1.6
2018,아시아,파키스탄,전체,14188.0,13101.0,8.3
2018,아시아,이스라엘,관광,14467.0,12760.0,13.4
2018,아시아,이스라엘,상용,85.0,74.0,14.9
2018,아시아,이스라엘,공용,0.0,2.0,-100.0
2018,아시아,이스라엘,유학연수,81.0,84.0,-3.6
2018,아시아,이스라엘,기타,695.0,587.0,18.4
2018,아시아,이스라엘,전체,15328.0,13507.0,13.5
2018,아시아,이란,관광,2656.0,3250.0,-18.3
2018,아시아,이란,상용,1792.0,3290.0,-45.5
2018,아시아,이란,공용,125.0,190.0,-34.2
2018,아시아,이란,유학연수,333.0,407.0,-18.2
2018,아시아,이란,기타,1721.0,2331.0,-26.2
2018,아시아,이란,전체,6627.0,9468.0,-30.0
2018,아시아,기타,관광,29313.0,23784.0,23.2
2018,아시아,기타,상용,5024.0,5909.0,-15.0
2018,아시아,기타,공용,2446.0,2442.0,0.2
2018,아시아,기타,유학연수,2568.0,2137.0,20.2
2018,아시아,기타,기타,28167.0,25387.0,11.0
2018,아시아,기타,전체,67518.0,59659.0,13.2
2018,아메리카,연도대륙,관광,953155.0,831669.0,14.6
2018,아메리카,연도대륙,상용,5011.0,5623.0,-10.9
