항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:22,00:14,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
아시아나항공,OZ988,PVG(푸동),00:05,01:50,01:34,화물,지연,정비 사유 접속 지연,NaN
카타르항공,QR8982,DOH(도하),00:35,01:04,00:45,화물,지연,항공기 연결(도착지연),NaN
산동항공,SC4617,TAO(청도),01:05,02:19,02:06,여객,지연,항공기 연결(도착지연),NaN
마스에어,M73228,WUX(수난 슈오팡 국제공항),01:35,02:43,02:24,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
아틀라스화물항공,5Y555,JFK(뉴욕),02:05,02:20,02:03,화물,지연,NaN,NaN
칼리타항공,K4626,LAX(로스앤젤레스),02:10,08:05,07:54,화물,지연,항공기 연결(도착지연),NaN
칼리타항공,K4810,LAX(로스앤젤레스),02:30,11:47,11:38,화물,지연,항공기 연결(도착지연),NaN
칼리타항공,K4925,TAO(청도),02:45,05:33,05:26,NaN,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:20,05:42,05:31,여객,지연,NaN,NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,07:16,07:06,여객,지연,정비 사유 접속 지연,NaN
진에어,LJ132,BKI(코타키나발루),05:10,05:47,05:39,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:45,06:18,06:07,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:31,06:20,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),05:50,07:08,06:56,여객,지연,NaN,NaN
제주항공,7C4206,CNX(치앙마이),05:50,06:28,06:16,여객,지연,NaN,NaN
칼리타항공,K4961,NGB(닝보),05:55,11:17,11:10,NaN,지연,항공기 연결(도착지연),NaN
대한항공,KE316,PVG(푸동),05:55,06:23,06:13,화물,지연,NaN,NaN
제주항공,7C2108,HKG(홍콩),06:00,07:13,07:04,여객,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,07:18,07:08,여객,지연,항공기 연결(도착지연),NaN
아에로멕시코,AM090,MEX(멕시코시티),06:00,06:51,06:43,여객,지연,NaN,NaN
티웨이항공,TW122,SGN(호찌민),06:05,07:34,07:23,여객,지연,NaN,NaN
비엣젯항공,VJ926,HPH(카트비),06:15,07:59,07:48,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4967,NGB(닝보),06:30,07:37,07:28,NaN,지연,항공기 연결(도착지연),NaN
진에어,LJ702,HKG(홍콩),06:30,07:12,07:04,여객,지연,"공항, 관제 사유 접속 지연",NaN
티웨이항공,TW176,CEB(세부),06:35,06:56,06:47,여객,지연,NaN,NaN
베트남항공,VN408,SGN(호찌민),06:40,07:05,06:53,여객,지연,항공기 연결(도착지연),NaN
베트남항공,VN430,DAD(다낭),06:40,07:10,06:58,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
아시아나항공,OZ283,SFO(샌프란시스코),06:50,07:46,07:37,화물,지연,항공기 연결(도착지연),NaN
제주항공,7C2406,CEB(세부),06:55,07:27,07:17,여객,지연,NaN,NaN
대한항공,KE652,BKK(수안나폼(방콕)),06:55,07:12,07:00,여객,지연,NaN,NaN
이스타항공,ZE594,DAD(다낭),06:55,08:04,07:53,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
에어서울,RS512,DAD(다낭),07:05,09:35,09:23,여객,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ736,SGN(호찌민),07:10,07:36,07:26,여객,지연,NaN,NaN
스카이 앙코르 항공,ZA215,PNH(프놈펜),07:15,08:01,07:50,여객,지연,NaN,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,07:58,07:49,여객,지연,NaN,NaN
아시아나항공,OZ948,PVG(푸동),07:25,09:19,09:01,화물,지연,정비 사유 접속 지연,NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:30,08:18,여객,지연,"공항, 관제 사유 접속 지연",NaN
티웨이항공,TW158,CXR(깜라인(나트랑)),07:30,07:51,07:41,여객,지연,NaN,NaN
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:53,08:37,화물,지연,NaN,NaN
제주항공,7C4410,TAG(팡라로),07:50,08:15,08:04,여객,지연,NaN,NaN
세부퍼시픽항공,5J186,MNL(마닐라),07:55,08:15,08:07,여객,지연,"공항시설(주기장 부족, 혼잡 등)",NaN
대한항공,KE468,CXR(깜라인(나트랑)),07:55,08:30,08:20,여객,지연,기장 요청에 따른 정비,NaN
아시아나항공,OZ398,SIN(싱가포르),07:55,09:33,09:15,화물,지연,항공기 연결(도착지연),NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:13,08:02,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
진에어,LJ082,DAD(다낭),08:00,10:03,09:51,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2904,DAD(다낭),08:05,09:40,09:30,여객,지연,NaN,NaN
에어서울,RS530,CXR(깜라인(나트랑)),08:10,12:10,12:00,여객,지연,정비 사유 접속 지연,NaN
진에어,LJ044,TAG(팡라로),08:15,08:38,08:31,여객,지연,"공항, 관제 사유 접속 지연",NaN
가루다인도네시아,GA878,CGK(자카르타(수카르노 하타) 국제 공항),08:30,08:46,08:35,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
티웨이항공,TW128,DAD(다낭),08:35,09:53,09:42,여객,지연,NaN,NaN
제주항공,7C3403,SPN(사이판),08:35,09:18,09:08,여객,지연,NaN,NaN
에어부산,BX7145,TAG(팡라로),08:35,08:56,08:45,여객,지연,NaN,NaN
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:01,08:51,여객,지연,NaN,NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,09:14,09:04,여객,지연,NaN,NaN
유피에스화물항공,5X11,SDF(루이즈빌),08:55,09:26,09:06,화물,지연,화물 연결,NaN
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,09:58,09:46,여객,지연,NaN,NaN
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:35,09:56,09:44,여객,지연,NaN,NaN
칼리타항공,K4867,EHU(어저우화후),09:40,15:17,15:08,NaN,지연,항공기 연결(도착지연),NaN
독일항공,LH718,MUC(뮌헨),09:55,10:08,09:57,여객,지연,항공기 연결(도착지연),NaN
카타르항공,QR862,DOH(도하),09:55,16:02,15:50,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE362,HAN(노이바이(하노이)),10:00,10:35,10:18,화물,지연,NaN,NaN
타이에어아시아엑스,XJ700,BKK(수안나폼(방콕)),10:05,11:55,11:47,여객,지연,항공기 연결(도착지연),NaN
천진항공화물,HT3843,LYI(린이),10:30,11:23,11:14,화물,지연,화물 연결,NaN
아시아나항공,OZ390,HAN(노이바이(하노이)),10:35,19:16,19:07,화물,지연,항공기 연결(도착지연),NaN
제주항공,7C4176,PQC(푸꾸옥),10:45,11:28,11:18,여객,지연,NaN,NaN
원통화물항공,YG9051,WNZ(원저우),10:55,:,:,화물,취소,기타(항공기 정비 관련),NaN
