항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y555,JFK(뉴욕),00:05,03:25,03:15,화물,지연,항공기 연결(도착지연),NaN
카타르항공,QR8982,DOH(도하),00:05,00:26,00:16,화물,지연,항공기 연결(도착지연),
대한항공,KE9204,LAX(로스앤젤레스),00:25,01:49,01:37,화물,지연,항공기 연결(도착지연),
에어로로직,3S580,LEJ(라이프치히),00:25,00:51,00:43,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ934,HAN(노이바이(하노이)),00:55,01:09,00:59,화물,지연,정비 사유 접속 지연,
아틀라스화물항공,5Y8170,LAX(로스앤젤레스),00:55,02:47,02:40,화물,지연,항공기 연결(도착지연),
에어마카오,NX826,MFM(마카오),03:00,03:30,03:21,여객,지연,"운항통제(항로변경, 회항, 항공기 교체)",
폴라에어카고,PO224,CVG(신시내티),03:35,20:35,:,화물,취소,기타(지연코드 외),
카고룩스 이탈리아,C87112,MXP(밀라노),04:20,13:03,12:55,화물,지연,항공기 연결(도착지연),
제주항공,7C2306,MNL(마닐라),04:20,04:42,04:33,여객,지연,,
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,05:27,05:17,여객,지연,항공기 연결(도착지연),
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,09:00,08:51,여객,지연,정비 사유 접속 지연,
대한항공,KE012,LAX(로스앤젤레스),05:00,05:22,05:17,여객,지연,,
비엣젯항공,VJ880,DAD(다낭),05:00,05:22,05:10,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ746,HKG(홍콩),05:10,06:19,06:10,여객,지연,,
대한항공,KE8252,JFK(뉴욕),05:20,10:16,09:57,화물,지연,기타(접속 관련),
필리핀항공,PR466,MNL(마닐라),05:20,06:03,05:53,여객,지연,항공기 연결(도착지연),
대한항공,KE178,HKG(홍콩),05:25,06:29,06:20,여객,지연,,
베트남항공,VN416,HAN(노이바이(하노이)),05:50,06:38,06:27,여객,지연,[기상]기타 기상 악화,
아시아나항공,OZ734,HAN(노이바이(하노이)),05:50,06:25,06:15,여객,지연,[기상]기타 기상 악화,
대한항공,KE180,HKG(홍콩),06:00,06:51,06:40,여객,지연,[기상]기타 기상 악화,
제주항공,7C2108,HKG(홍콩),06:00,07:00,06:52,여객,지연,,
진에어,LJ722,MFM(마카오),06:25,07:20,07:13,여객,지연,항공기 연결(도착지연),
베트남항공,VN408,SGN(호찌민),06:40,07:06,06:54,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
이스타항공,ZE594,DAD(다낭),06:55,07:35,07:25,여객,지연,ATFM(항공로 공표 수용능력 저하),
에어서울,RS512,DAD(다낭),07:05,08:54,08:42,여객,지연,,
티웨이항공,TW118,HKG(홍콩),07:05,08:36,08:25,여객,지연,,
아시아나항공,OZ762,CGK(자카르타(수카르노 하타) 국제 공항),07:10,07:41,07:29,여객,지연,,
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:29,07:17,여객,지연,,
아시아나항공,OZ740,PNH(프놈펜),07:10,07:44,07:32,여객,지연,,
말레이시아항공,MH066,KUL(쿠알라룸푸르),07:10,11:33,11:25,여객,지연,항공기 결함,
제주항공,7C2804,HAN(노이바이(하노이)),07:30,08:25,08:14,여객,지연,,
진에어,LJ088,CXR(깜라인(나트랑)),07:30,07:58,07:53,여객,지연,항공기 연결(도착지연),
대한항공,KE314,HKG(홍콩),07:35,10:53,10:35,화물,지연,ATFM(항공로 공표 수용능력 저하),
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:33,08:17,화물,지연,,
유피에스화물항공,5X196,ANC(앵커리지),07:55,13:20,13:13,화물,지연,[기상]출발공항 시정 악화(운고 포함),
제주항공,7C2904,DAD(다낭),08:05,09:19,09:08,여객,지연,,
폴라에어카고,PO212,LAX(로스앤젤레스),08:15,08:44,08:27,화물,지연,[기상]기타 기상 악화,
페덱스화물항공,FX5926,MEM(멤피스),08:15,10:20,10:38,화물,지연,승무원 교체(운항 또는 승무원 전체),
대한항공,KE320,CAN(광저우),08:25,10:12,09:55,화물,지연,,
