항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
칼리타항공,K4624,LAX(로스앤젤레스),00:05,00:28,00:21,화물,지연,NaN,NaN.1
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,01:26,01:17,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ948,PVG(푸동),00:20,01:01,00:52,화물,지연,"공항, 관제 사유 접속 지연",
대한항공,KE854,PEK(베이징),00:45,05:02,04:51,여객,지연,"공항, 관제 사유 접속 지연",
에어서울,RS704,NRT(도쿄/나리타),00:55,01:15,01:06,여객,지연,"공항, 관제 사유 접속 지연",
이스타항공,ZE872,PVG(푸동),03:30,03:47,03:41,여객,지연,항공기 연결(도착지연),
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),
제주항공,7C2306,MNL(마닐라),04:20,05:07,04:59,여객,지연,,
대한항공,KE624,MNL(마닐라),04:35,05:47,05:39,여객,지연,정비 사유 접속 지연,
비엣젯항공,VJ880,DAD(다낭),05:00,05:35,05:25,여객,지연,항공기 연결(도착지연),
대한항공,KE696,KTM(카트만두),05:15,05:52,05:45,여객,지연,,
비엣젯항공,VJ962,HAN(노이바이(하노이)),05:30,06:31,06:20,여객,지연,항공기 교체(기술적 결함),
카고룩스항공,CV7223,LUX(룩셈부르크 핀델 공항),05:30,12:44,12:25,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ864,SGN(호찌민),05:45,07:11,06:59,여객,지연,항공기 연결(도착지연),
제주항공,7C4206,CNX(치앙마이),05:50,06:14,06:04,여객,지연,,
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:08,05:58,여객,지연,항공기 연결(도착지연),
대한항공,KE316,PVG(푸동),05:55,07:45,07:36,화물,지연,,
비엣젯항공,VJ878,DAD(다낭),06:00,06:59,06:47,여객,지연,항공기 연결(도착지연),
제주항공,7C2108,HKG(홍콩),06:00,06:50,06:41,여객,지연,,
아틀라스화물항공,5Y8791,JFK(뉴욕),06:15,07:32,07:24,,지연,항공기 연결(도착지연),
폴란드항공,LO97,WAW(바르샤바),06:20,07:31,07:21,여객,지연,항공기 정비(정비 스케줄 지연),
티웨이항공,TW170,BKI(코타키나발루),06:30,07:01,06:51,여객,지연,,
아시아나항공,OZ796,FRA(프랑크푸르트),06:35,07:07,06:58,화물,지연,,
아시아나항공,OZ752,SIN(싱가포르),06:40,07:28,07:18,여객,지연,항공기 연결(도착지연),
제주항공,7C2508,BKI(코타키나발루),06:45,07:48,07:40,여객,지연,,
아시아나항공,OZ285,SFO(샌프란시스코),06:50,11:27,11:18,화물,지연,기타(접속 관련),
이스타항공,ZE594,DAD(다낭),06:55,09:01,08:52,여객,지연,항공기 연결(도착지연),
제주항공,7C2406,CEB(세부),06:55,08:14,08:03,여객,지연,,
타이항공,TG656,BKK(수안나폼(방콕)),06:55,07:13,07:02,여객,지연,화물 연결,
대한항공,KE652,BKK(수안나폼(방콕)),06:55,07:37,07:28,여객,지연,,
아시아나항공,OZ626,SPN(사이판),06:55,07:19,07:11,여객,지연,,
마스에어,M73926,WUX(수난 슈오팡 국제공항),06:55,07:53,07:53,,지연,화물 연결,
에어서울,RS512,DAD(다낭),07:05,07:30,07:19,여객,지연,,
아시아나항공,OZ740,PNH(프놈펜),07:10,08:09,07:55,여객,지연,,
말레이시아항공,MH066,KUL(쿠알라룸푸르),07:10,15:09,14:46,여객,지연,항공기 교체(기술적 결함),
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:34,07:23,여객,지연,,
아시아나항공,OZ762,CGK(자카르타(수카르노 하타) 국제 공항),07:10,08:10,07:59,여객,지연,기타(접속 관련),
아시아나항공,OZ736,SGN(호찌민),07:10,07:44,07:32,여객,지연,,
제주항공,7C4304,VTE(비엔티안),07:20,08:21,08:11,여객,지연,,
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:28,08:15,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE314,HKG(홍콩),07:35,10:13,09:54,화물,지연,,
티웨이항공,TW124,SGN(호찌민),07:35,08:33,08:22,여객,지연,,
제주항공,7C2408,CEB(세부),07:40,08:01,07:51,여객,지연,,
제주항공,7C4410,TAG(팡라로),07:50,08:11,08:01,여객,지연,,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:12,08:04,여객,지연,항공기 연결(도착지연),
제주항공,7C2904,DAD(다낭),08:05,09:49,09:37,여객,지연,,
에어인천,KJ212,CTU(청두(성도)),08:05,08:24,08:13,화물,지연,수화물 조업지연,
아시아나항공,OZ574,TAS(타슈켄트),08:15,09:01,08:46,여객,지연,,
대한항공,KE320,CAN(광저우),08:25,08:50,08:32,화물,지연,,
에티오피안항공,ET3672,OSL(오슬로),08:35,14:28,14:18,화물,지연,항공기 연결(도착지연),
칼리타항공,K4961,NGB(닝보),08:35,19:59,19:50,,지연,항공기 연결(도착지연),
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:57,09:46,여객,지연,,
대한항공,KE9986,EVN(예레반),08:45,09:33,09:24,여객,지연,,
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,10:25,10:15,여객,지연,,
대한항공,KE542,OSL(오슬로),08:55,10:18,10:01,화물,지연,,
페덱스화물항공,FX5434,MEM(멤피스),08:55,09:14,08:55,화물,지연,기타(접속 관련),
칼리타항공,K4865,EHU(어저우화후),09:05,11:41,11:32,,지연,항공기 연결(도착지연),
아시아나항공,OZ552,IST(이스탄불),09:20,09:50,09:35,여객,지연,,
대한항공,KE328,CGO(정저우),09:25,10:37,10:20,화물,지연,,
폴란드항공,LO2001,BUD(부다페스트),09:30,10:59,10:49,여객,지연,ATFM(항공로 공표 수용능력 저하),
