항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:45,00:34,여객,지연,항공기 연결(도착지연),NaN
에티오피안항공,ET673,NRT(도쿄/나리타),00:05,00:40,00:26,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE854,PEK(베이징),00:45,02:04,01:56,여객,지연,[기상]출발공항 지상조업(악기상),NaN
아틀라스화물항공,5Y8350,MIA(마이애미),00:45,21:45,:,화물,취소,기타(지연코드 외),NaN
중국남방항공,CZ339,HAK(하이커우),01:00,01:25,01:13,여객,지연,항공기 연결(도착지연),NaN
마스에어,M73629,HGH(항저우),01:30,04:47,04:40,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
아틀라스화물항공,5Y8252,LAX(로스앤젤레스),01:55,21:55,:,화물,취소,기타(지연코드 외),NaN
아틀라스화물항공,5Y8045,SHJ(샤지),02:30,03:09,02:55,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:40,04:34,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ394,SGN(호찌민),04:00,07:26,07:20,화물,지연,항공기 연결(도착지연),NaN
유나이티드항공,UA805,SFO(샌프란시스코),04:20,05:30,05:22,여객,지연,항공기 정비(계획되지 않은 정비),NaN
제주항공,7C2306,MNL(마닐라),04:20,06:23,06:16,여객,지연,"공항, 관제 사유 접속 지연",NaN
베트남항공,VN440,CXR(깜라인(나트랑)),04:30,05:16,05:12,여객,지연,항공기 연결(도착지연),NaN
유피에스화물항공,5X99,SDF(루이즈빌),04:50,05:27,05:20,화물,지연,항공기 연결(도착지연),NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,05:35,05:29,여객,지연,기내식(배송 또는 탑재 지연),NaN
비엣젯항공,VJ880,DAD(다낭),05:00,05:24,05:19,여객,지연,항공기 연결(도착지연),NaN
필리핀항공,PR466,MNL(마닐라),05:20,06:34,06:26,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:12,06:05,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4206,CNX(치앙마이),05:50,06:40,06:33,여객,지연,NaN,NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:44,07:38,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:50,06:22,06:17,여객,지연,NaN,NaN
에어서울,RS582,TAG(팡라로),05:50,06:47,06:39,여객,지연,NaN,NaN
대한항공,KE170,MFM(마카오),06:00,06:16,06:06,여객,지연,"공항, 관제 사유 접속 지연",NaN
제주항공,7C2108,HKG(홍콩),06:00,07:07,07:01,여객,지연,NaN,NaN
아에로멕시코,AM090,MEX(멕시코시티),06:00,06:17,06:09,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:15,06:38,06:30,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ702,HKG(홍콩),06:30,07:43,07:34,여객,지연,"공항, 관제 사유 접속 지연",NaN
필리핀항공,PR472,TAG(팡라로),06:30,07:15,07:09,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE616,CEB(세부),06:30,08:27,08:17,여객,지연,[기상]출발공항 지상조업(악기상),NaN
아시아나항공,OZ796,FRA(프랑크푸르트),06:35,08:11,08:06,화물,지연,[기상]항공로 또는 대체공항,NaN
티웨이항공,TW176,CEB(세부),06:35,08:22,08:15,여객,지연,NaN,NaN
베트남항공,VN408,SGN(호찌민),06:40,07:15,07:07,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2508,BKI(코타키나발루),06:45,07:21,07:14,여객,지연,NaN,NaN
대한항공,KE652,BKK(수안나폼(방콕)),06:55,07:18,07:11,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
