항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
유피에스화물항공,5X173,ANC(앵커리지),00:05,00:39,00:28,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ988,PVG(푸동),00:05,00:24,00:22,화물,지연,NaN,NaN
내셔널 항공,N8664,CAN(광저우),00:45,:,:,NaN,취소,항공기 정비(계획되지 않은 정비),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,02:07,01:57,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ191,KIX(간사이),01:00,02:12,01:49,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,04:05,03:57,여객,지연,항공기 연결(도착지연),NaN
에어로로직,3S582,LEJ(라이프치히),01:25,02:02,01:43,화물,지연,NaN,NaN
대한항공,KE164,DYG(장가계),03:40,03:56,03:47,여객,지연,NaN,NaN
아틀라스화물항공,5Y8350,MIA(마이애미),03:45,20:45,:,화물,취소,기타(지연코드 외),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:24,04:15,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:20,05:30,05:25,여객,지연,NaN,NaN
카고룩스 이탈리아,C87736,MXP(밀라노),04:25,21:39,21:20,화물,지연,항공기 연결(도착지연),NaN
유피에스화물항공,5X99,SDF(루이즈빌),04:35,05:11,04:59,화물,지연,항공기 연결(도착지연),NaN
피치항공,MM809,HND(하네다),04:40,05:13,05:05,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ704,MNL(마닐라),05:00,05:32,05:18,여객,지연,NaN,NaN
비엣젯항공,VJ864,SGN(호찌민),05:25,07:04,06:53,여객,지연,항공기 연결(도착지연),NaN
베트남항공,VN416,HAN(노이바이(하노이)),05:30,05:48,05:40,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
아시아나항공,OZ756,DAD(다낭),05:30,06:02,05:53,여객,지연,NaN,NaN
아틀라스화물항공,5Y8793,JFK(뉴욕),05:30,07:24,07:17,NaN,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ211,SFO(샌프란시스코),05:30,06:25,06:15,여객,지연,NaN,NaN
대한항공,KE616,CEB(세부),05:35,06:46,06:41,여객,지연,NaN,NaN
유나이티드항공,UA805,SFO(샌프란시스코),05:40,06:05,05:55,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE644,SIN(싱가포르),05:45,06:24,06:16,여객,지연,NaN,NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:31,06:21,여객,지연,NaN,NaN
델타항공,DL27,ATL(애틀랜타),05:45,06:16,06:08,여객,지연,항공기 정비(정비 스케줄 지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,08:12,08:02,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),05:50,06:11,06:02,여객,지연,NaN,NaN
진에어,LJ132,BKI(코타키나발루),05:55,06:30,06:20,여객,지연,"공항, 관제 사유 접속 지연",NaN
제주항공,7C2108,HKG(홍콩),05:55,07:20,07:09,여객,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,07:11,07:01,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ926,HPH(카트비),06:00,07:51,07:40,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE626,MNL(마닐라),06:00,07:12,07:04,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ588,BRU(브뤼셀),06:15,08:02,07:53,화물,지연,NaN,NaN
이스타항공,ZE512,BKK(수안나폼(방콕)),06:20,06:53,06:42,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ044,TAG(팡라로),06:25,06:55,06:47,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE476,SGN(호찌민),06:35,07:58,07:48,여객,지연,운송(PO) 사유 접속 지연,NaN
아시아나항공,OZ708,CRK(클라크 국제공항),06:45,07:04,06:55,여객,지연,NaN,NaN
티웨이항공,TW118,HKG(홍콩),06:50,07:31,07:23,여객,지연,NaN,NaN
