항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아시아나항공,OZ988,PVG(푸동),00:05,01:41,01:32,화물,지연,항공기 연결(도착지연),NaN
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),01:00,09:39,09:25,화물,지연,항공기 연결(도착지연),
실크웨이웨스트항공,7L9921,GYD(헤이다르 알리예프),01:00,14:52,14:30,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ968,HKG(홍콩),01:05,17:33,17:24,화물,지연,항공기 연결(도착지연),
내셔널 항공,N8599,HKG(홍콩),01:05,16:27,16:16,,지연,항공기 정비(정비 스케줄 지연),
칼리타항공,K4852,LAX(로스앤젤레스),01:30,12:08,11:59,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ285,SFO(샌프란시스코),02:15,08:22,08:16,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ241,SEA(시애틀),03:00,04:08,03:59,화물,지연,항공기 연결(도착지연),
대한항공,KE8288,ORD(시카고),03:05,06:13,06:08,화물,지연,기타(지연코드 외),
제주항공,7C2306,MNL(마닐라),04:10,04:35,04:29,여객,지연,,
아시아나항공,OZ203,LAX(로스앤젤레스),04:20,07:22,07:11,여객,지연,기체손상(지상운항 중),
폴라에어카고,PO224,CVG(신시내티),04:20,20:20,:,화물,취소,기타(지연코드 외),
아시아나항공,OZ211,SFO(샌프란시스코),04:30,09:03,08:53,여객,지연,기체손상(지상운항 중),
아틀라스화물항공,5Y8791,JFK(뉴욕),04:30,07:01,06:54,,지연,항공기 연결(도착지연),
티웨이항공,TW132,VTE(비엔티안),05:00,06:33,06:24,여객,지연,,
폴라에어카고,PO927,LAX(로스앤젤레스),05:25,21:25,:,화물,취소,기타(지연코드 외),
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,06:59,06:51,여객,지연,,
터키항공,TK6544,IST(이스탄불),05:50,11:40,11:32,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ588,BRU(브뤼셀),06:00,07:51,07:46,화물,지연,항공기 연결(도착지연),
대한항공,KE316,PVG(푸동),06:05,06:25,06:20,화물,지연,,
티웨이항공,TW308,SPN(사이판),06:10,06:38,06:31,여객,지연,,
제주항공,7C4206,CNX(치앙마이),06:20,06:40,06:34,여객,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,07:26,07:19,여객,지연,기타(여객 및 위탁수화물 관련),
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,06:54,06:47,여객,지연,,
에어부산,BX742,VTE(비엔티안),06:35,06:52,06:45,여객,지연,,
제주항공,7C3105,GUM(괌),06:40,07:22,07:14,여객,지연,,
티웨이항공,TW118,HKG(홍콩),06:40,07:56,07:49,여객,지연,,
제주항공,7C4304,VTE(비엔티안),06:45,07:51,07:43,여객,지연,,
아시아나항공,OZ3943,SIN(싱가포르),06:55,23:01,22:42,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ736,SGN(호찌민),07:00,07:18,07:12,여객,지연,,
아메리제트,M61030,RFD(시카고 록퍼드 국제공항),07:00,08:17,08:11,화물,지연,기타(접속 관련),
아시아나항공,OZ710,CEB(세부),07:10,08:06,07:56,여객,지연,,
이스타항공,ZE594,DAD(다낭),07:10,07:34,07:27,여객,지연,항공기 연결(도착지연),
진에어,LJ006,HKT(푸껫),07:15,07:37,07:30,여객,지연,"공항, 관제 사유 접속 지연",
페덱스화물항공,FX5926,MEM(멤피스),07:20,07:57,07:48,화물,지연,화물 연결,
대한항공,KE690,PNH(프놈펜),07:20,07:44,07:35,여객,지연,,
진에어,LJ028,CEB(세부),07:20,08:03,07:55,여객,지연,기타(접속 관련),
에어서울,RS528,CXR(깜라인(나트랑)),07:25,08:57,08:49,여객,지연,,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,08:21,08:14,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ283,SFO(샌프란시스코),07:45,10:33,10:21,화물,지연,항공기 연결(도착지연),
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:11,08:03,화물,지연,,
유피에스화물항공,5X11,SDF(루이즈빌),07:50,09:37,09:22,화물,지연,항공기 연결(도착지연),
티웨이항공,TW176,CEB(세부),07:50,08:27,08:20,여객,지연,,
대한항공,KE634,DPS(덴파사(응우라 라이)),07:55,07:49,07:40,여객,지연,,
아시아나항공,OZ7443,BKK(수안나폼(방콕)),08:00,08:11,08:05,여객,지연,,
칼리타항공,K4967,NGB(닝보),08:00,08:43,08:30,,지연,,
티웨이항공,TW9116,HKG(홍콩),08:10,08:50,08:42,여객,지연,,
에어서울,RS530,CXR(깜라인(나트랑)),08:20,12:57,12:46,여객,지연,정비 사유 접속 지연,
티웨이항공,TW128,DAD(다낭),08:20,09:18,09:10,여객,지연,,
제주항공,7C2904,DAD(다낭),08:25,08:44,08:37,여객,지연,,
에어부산,BX7145,TAG(팡라로),08:25,09:06,08:59,여객,지연,,
대한항공,KE336,PVG(푸동),08:35,15:25,15:14,화물,지연,,
제주항공,7C3403,SPN(사이판),08:35,09:36,09:28,여객,지연,,
칼리타항공,K4969,NGB(닝보),08:45,10:03,09:49,,지연,,
티웨이항공,TW102,BKK(수안나폼(방콕)),08:50,09:12,09:03,여객,지연,,
대한항공,KE262,SEA(시애틀),09:05,11:02,10:47,화물,지연,기타(지연코드 외),
제주항공,7C2472,CEB(세부),09:10,09:36,09:30,여객,지연,,
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:20,09:44,09:33,여객,지연,,
제주항공,7C2312,DLI(달랏),09:40,09:55,09:45,여객,지연,,
제주항공,7C4908,CXR(깜라인(나트랑)),09:45,10:08,10:00,여객,지연,,
대한항공,KE362,HAN(노이바이(하노이)),10:10,11:17,11:10,화물,지연,,
원통화물항공,YG9051,WNZ(원저우),10:25,10:51,10:35,화물,지연,항공기 연결(도착지연),
