항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
마스에어,M73228,WUX(수난 슈오팡 국제공항),00:05,00:41,00:32,NaN,지연,[기상]기타 기상 악화,NaN
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),01:00,23:31,23:42,화물,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO927,LAX(로스앤젤레스),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
아시아나항공,OZ203,LAX(로스앤젤레스),04:20,05:06,04:56,여객,지연,NaN,NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,05:11,05:00,여객,지연,기상 사유 접속 지연,NaN
아틀라스화물항공,5Y8196,MIA(마이애미),04:55,21:55,:,NaN,취소,기타(지연코드 외),NaN
대한항공,KE012,LAX(로스앤젤레스),05:00,05:17,05:08,여객,지연,기타(지연코드 외),NaN
티웨이항공,TW616,WUH(우한),05:05,05:30,05:22,여객,지연,NaN,NaN
티웨이항공,TW114,HKG(홍콩),05:20,05:54,05:46,여객,지연,NaN,NaN
필리핀항공,PR466,MNL(마닐라),05:20,05:59,05:49,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE462,DAD(다낭),05:30,06:24,06:17,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:19,06:09,여객,지연,항공기 연결(도착지연),NaN
아에로멕시코,AM090,MEX(멕시코시티),06:00,06:19,06:11,여객,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:37,06:26,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO325,CVG(신시내티),06:05,06:32,06:25,화물,지연,항공기 연결(도착지연),NaN
폴란드항공,LO97,WAW(바르샤바),06:20,06:42,06:31,여객,지연,NaN,NaN
제주항공,7C4104,PQC(푸꾸옥),06:25,07:01,06:51,여객,지연,NaN,NaN
대한항공,KE616,CEB(세부),06:30,06:50,06:45,여객,지연,NaN,NaN
이스타항공,ZE594,DAD(다낭),06:55,07:26,07:16,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE672,KUL(쿠알라룸푸르),07:00,07:31,07:23,여객,지연,NaN,NaN
아시아나항공,OZ776,FRA(프랑크푸르트),07:05,15:14,15:04,화물,지연,정비 사유 접속 지연,NaN
에어서울,RS512,DAD(다낭),07:05,08:18,08:06,여객,지연,NaN,NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:45,07:34,여객,지연,NaN,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,08:00,07:47,여객,지연,NaN,NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:44,08:32,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:08,08:00,화물,지연,NaN,NaN
아시아나항공,OZ398,SIN(싱가포르),07:45,10:52,10:38,화물,지연,정비 사유 접속 지연,NaN
세부퍼시픽항공,5J186,MNL(마닐라),07:55,10:09,10:02,여객,지연,항공기 결함,NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,09:02,08:54,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ082,DAD(다낭),08:00,09:06,08:57,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2904,DAD(다낭),08:05,09:14,09:07,여객,지연,NaN,NaN
진에어,LJ044,TAG(팡라로),08:15,08:47,08:35,여객,지연,항공기 연결(도착지연),NaN
순풍항공,O3364,EHU(어저우화후),08:25,08:27,08:22,화물,지연,NaN,NaN
티웨이항공,TW128,DAD(다낭),08:35,09:31,09:22,여객,지연,NaN,NaN
진에어,LJ002,BKK(수안나폼(방콕)),08:35,09:09,08:59,여객,지연,"공항, 관제 사유 접속 지연",NaN
프랑스항공,AF264,CDG(파리),08:40,09:19,09:09,여객,지연,[기상]출발공항 시정 악화(운고 포함),NaN
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:21,09:13,여객,지연,NaN,NaN
대한항공,KE646,SIN(싱가포르),08:45,09:20,09:11,여객,지연,NaN,NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,09:27,09:18,여객,지연,NaN,NaN
유피에스화물항공,5X11,SDF(루이즈빌),08:55,10:07,09:52,화물,지연,"공항, 관제 사유 접속 지연",NaN
에어부산,BX788,CXR(깜라인(나트랑)),09:15,09:57,09:49,여객,지연,NaN,NaN
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,09:34,09:26,여객,지연,NaN,NaN
페덱스화물항공,FX5434,MEM(멤피스),09:20,09:34,09:25,화물,지연,[기상]기타 기상 악화,NaN
에어인천,KJ5144,HAN(노이바이(하노이)),10:35,10:55,10:40,화물,지연,"공항, 관제 사유 접속 지연",NaN
아틀라스화물항공,5Y8468,JFK(뉴욕),11:00,21:00,:,화물,취소,기타(지연코드 외),NaN
원통화물항공,YG9021,NGB(닝보),11:10,23:03,22:51,화물,지연,정비 사유 접속 지연,NaN
아틀라스화물항공,5Y8185,ORD(시카고),11:10,15:18,15:11,화물,지연,항공기 연결(도착지연),NaN
유피에스화물항공,5X64,ANC(앵커리지),11:15,11:49,11:41,화물,지연,"공항, 관제 사유 접속 지연",NaN
중국국제항공,CA123,PEK(베이징),11:35,12:11,12:11,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ970,HKG(홍콩),11:40,22:27,22:17,화물,지연,정비 사유 접속 지연,NaN
폴라에어카고,PO947,CVG(신시내티),11:45,12:26,12:18,화물,지연,항공기 연결(도착지연),NaN
중국국제항공,CA171,TSN(천진),11:45,12:24,12:17,여객,지연,"공항, 관제 사유 접속 지연",NaN
티웨이항공,TW276,KMJ(구마모토),11:55,12:28,12:20,여객,지연,NaN,NaN
중국동방항공,MU5041,PVG(푸동),11:55,13:23,13:12,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
대한항공,KE896,PVG(푸동),11:55,12:18,12:09,여객,지연,NaN,NaN
에어서울,RS728,FUK(후쿠오카),12:05,12:57,12:49,여객,지연,NaN,NaN
대한항공,KE8284,ORD(시카고),12:40,13:12,13:03,화물,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
아시아나항공,OZ111,KIX(간사이),12:40,13:05,12:56,여객,지연,NaN,NaN
폴라에어카고,PO213,CVG(신시내티),13:10,:,:,화물,취소,기타(지연코드 외),NaN
중국국제항공,CA739,WNZ(원저우),13:20,:,:,여객,취소,문서(오류 등),NaN
아틀라스화물항공,5Y8192,DFW(댈러스),13:40,14:44,14:36,화물,지연,항공기 연결(도착지연),NaN
