항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y9315,DNA(카데나),00:15,20:15,:,NaN,취소,기타(지연코드 외),NaN.1
대한항공,KE552D,NRT(도쿄/나리타),00:30,01:26,01:08,화물,지연,기타(접속 관련),
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,01:02,00:51,여객,지연,항공기 연결(도착지연),
대한항공,KE228D,LAX(로스앤젤레스),00:50,01:13,00:56,화물,지연,기타(접속 관련),
아시아나항공,OZ283,SFO(샌프란시스코),01:10,02:55,02:46,화물,지연,기상 사유 접속 지연,
에어로로직,3S580,LEJ(라이프치히),01:10,01:28,01:12,화물,지연,,
대한항공,KE8316,PVG(푸동),01:20,03:09,02:58,화물,지연,,
아시아나항공,OZ948,PVG(푸동),01:35,10:15,10:06,화물,지연,정비 사유 접속 지연,
유피에스화물항공,5X33,SDF(루이즈빌),03:55,05:23,05:12,화물,지연,항공기 연결(도착지연),
폴라에어카고,PO224,CVG(신시내티),04:20,04:57,04:49,화물,지연,,
대한항공,KE624,MNL(마닐라),04:20,05:01,04:53,여객,지연,,
카고룩스항공,CV7223,LUX(룩셈부르크 핀델 공항),04:25,10:58,10:39,화물,지연,항공기 연결(도착지연),
피치항공,MM809,HND(하네다),04:45,05:10,05:01,여객,지연,항공기 연결(도착지연),
진에어,LJ008,CNX(치앙마이),04:55,05:52,05:41,여객,지연,기타(접속 관련),
티웨이항공,TW132,VTE(비엔티안),05:00,05:35,05:23,여객,지연,,
비엣젯항공,VJ864,SGN(호찌민),05:25,05:52,05:44,여객,지연,항공기 연결(도착지연),
대한항공,KE696,KTM(카트만두),05:25,07:02,06:53,여객,지연,,
아틀라스화물항공,5Y8545,ORD(시카고),05:30,08:48,08:31,화물,지연,항공기 연결(도착지연),
베트남항공,VN416,HAN(노이바이(하노이)),05:30,06:22,06:14,여객,지연,항공기 연결(도착지연),
대한항공,KE616,CEB(세부),05:35,07:13,07:02,여객,지연,,
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:04,05:51,여객,지연,,
대한항공,KE490,RGN(양곤),05:50,06:31,06:22,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,07:22,07:14,여객,지연,,
제주항공,7C2108,HKG(홍콩),05:55,06:28,06:16,여객,지연,,
티웨이항공,TW192,DAD(다낭),06:05,06:31,06:22,여객,지연,,
말린도항공,OD820,KUL(쿠알라룸푸르),06:05,06:37,06:28,여객,지연,항공기 연결(도착지연),
진에어,LJ038,PQC(푸꾸옥),06:10,07:59,07:54,여객,지연,정비 사유 접속 지연,
