항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
제주항공,7C1305,KIX(간사이),00:05,00:49,00:40,여객,지연,기타(여객 및 위탁수화물 관련),NaN
칼리타항공,K4614,LAX(로스앤젤레스),00:05,00:09,00:03,화물,지연,NaN,NaN
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:26,00:20,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:25,00:25,00:49,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8472,JFK(뉴욕),00:25,05:45,05:38,NaN,지연,항공기 연결(도착지연),NaN
대한항공,KE176D,HKG(홍콩),00:30,00:48,00:39,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ988,PVG(푸동),00:45,01:34,01:22,화물,지연,항공기 연결(도착지연),NaN
산동항공,SC7683,YNT(연대),00:50,01:27,01:16,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
대한항공,KE9208,LAX(로스앤젤레스),01:20,01:57,01:42,화물,지연,NaN,NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,01:56,01:48,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8948,XMN(샤먼 가오치 국제공항),02:05,02:12,01:56,NaN,지연,NaN,NaN
비엣젯항공,VJ974,PQC(푸꾸옥),02:45,02:45,03:05,여객,지연,항공기 연결(도착지연),NaN
에어로로직,3S634,FRA(프랑크푸르트),03:15,07:01,06:54,화물,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,22:35,:,화물,취소,기타(지연코드 외),NaN
제주항공,7C2306,MNL(마닐라),04:20,07:14,07:10,여객,지연,"공항, 관제 사유 접속 지연",NaN
일본항공,JL6749,NGO(나고야),04:25,05:11,05:04,화물,지연,항공기 연결(도착지연),NaN
제주항공,7C8488,YIH(이창),04:30,06:43,06:37,여객,지연,기타(접속 관련),NaN
델타항공,DL27,ATL(애틀랜타),04:30,05:56,05:45,여객,지연,출발 시스템 오류,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,05:30,05:15,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:35,06:08,05:57,여객,지연,NaN,NaN
대한항공,KE086,JFK(뉴욕),04:45,05:10,04:58,여객,지연,NaN,NaN
아시아나항공,OZ704,MNL(마닐라),04:50,07:49,07:39,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
진에어,LJ132,BKI(코타키나발루),05:10,06:36,06:26,여객,지연,"공항, 관제 사유 접속 지연",NaN
미얀마 항공,UB8301,RGN(양곤),05:20,05:40,05:34,여객,지연,NaN,NaN
비엣젯항공,VJ962,HAN(노이바이(하노이)),05:30,06:00,05:54,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE462,DAD(다낭),05:30,07:03,06:55,여객,지연,영업 사유 접속 지연,NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:45,06:20,06:13,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:20,06:15,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4206,CNX(치앙마이),05:50,08:03,07:53,여객,지연,기타(접속 관련),NaN
에어서울,RS582,TAG(팡라로),05:50,06:25,06:17,여객,지연,NaN,NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:50,06:24,06:18,여객,지연,NaN,NaN
베트남항공,VN416,HAN(노이바이(하노이)),05:50,06:36,06:28,여객,지연,"ATFM(관제, 인접국가 수용능력 저하)",NaN
아시아나항공,OZ756,DAD(다낭),05:55,06:11,06:06,여객,지연,[기상]항공로 또는 대체공항,NaN
제주항공,7C2108,HKG(홍콩),06:00,08:10,07:58,여객,지연,기타(접속 관련),NaN
대한항공,KE170,MFM(마카오),06:00,07:00,06:50,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:36,06:31,여객,지연,항공기 연결(도착지연),NaN
티웨이항공,TW122,SGN(호찌민),06:05,07:01,06:53,여객,지연,NaN,NaN
