항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
비엣젯항공,VJ944,DLI(달랏),00:05,00:27,00:18,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS704,NRT(도쿄/나리타),00:20,00:38,00:28,여객,지연,정비 사유 접속 지연,
델타항공,DL9975,HNL(호놀룰루),00:30,01:26,01:17,,지연,기타(지연코드 외),
칼리타항공,K4250,ANC(앵커리지),00:30,01:02,00:45,화물,지연,,
티웨이항공,TW216,NRT(도쿄/나리타),00:40,00:59,00:51,여객,지연,정비 사유 접속 지연,
대한항공,KE624,MNL(마닐라),04:20,04:35,04:27,여객,지연,,
진에어,LJ762,DAC(다카),05:00,06:19,06:09,여객,지연,기타(지연코드 외),
티웨이항공,TW132,VTE(비엔티안),05:00,05:52,05:43,여객,지연,,
대한항공,KE462,DAD(다낭),05:35,06:07,05:57,여객,지연,항공기 정비(계획되지 않은 정비),
진에어,LJ004,BKK(수안나폼(방콕)),05:40,06:02,05:51,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,07:16,07:09,여객,지연,,
제주항공,7C2108,HKG(홍콩),05:55,06:54,06:47,여객,지연,,
비엣젯항공,VJ926,HPH(카트비),06:00,06:48,06:40,여객,지연,항공기 연결(도착지연),
말린도항공,OD820,KUL(쿠알라룸푸르),06:05,06:33,06:26,여객,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8795,JFK(뉴욕),06:05,06:50,06:43,,지연,항공기 연결(도착지연),
대한항공,KE316,PVG(푸동),06:05,06:27,06:22,화물,지연,,
티웨이항공,TW308,SPN(사이판),06:10,08:12,08:04,여객,지연,,
티웨이항공,TW170,BKI(코타키나발루),06:10,07:41,07:35,여객,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,06:53,06:42,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,07:03,06:55,여객,지연,,
대한항공,KE180,HKG(홍콩),06:35,07:06,06:57,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW118,HKG(홍콩),06:40,07:51,07:43,여객,지연,,
진에어,LJ722,MFM(마카오),06:40,07:16,07:06,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ736,SGN(호찌민),06:55,07:20,07:11,여객,지연,,
에어서울,RS512,DAD(다낭),07:05,07:45,07:37,여객,지연,,
아시아나항공,OZ710,CEB(세부),07:10,07:33,07:29,여객,지연,[기상]항공로 또는 대체공항,
이스타항공,ZE594,DAD(다낭),07:10,08:26,08:21,여객,지연,ATFM(항공로 공표 수용능력 저하),
중국센트럴항공,I99821,WEH(위해),07:15,10:07,10:01,화물,지연,화물 연결,
진에어,LJ006,HKT(푸껫),07:15,07:36,07:24,여객,지연,"공항, 관제 사유 접속 지연",
페덱스화물항공,FX5926,MEM(멤피스),07:20,09:21,09:05,화물,지연,화물 연결,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,09:33,09:26,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ740,PNH(프놈펜),07:30,07:56,07:48,여객,지연,,
