항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8240,JFK(뉴욕),00:35,06:40,06:32,NaN,지연,항공기 연결(도착지연),NaN
대한항공,KE854,PEK(베이징),00:45,01:18,01:10,여객,지연,영업 사유 접속 지연,NaN
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),01:15,03:07,02:56,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE504,LHR(런던히드로),02:50,03:25,03:16,화물,지연,NaN,NaN
아틀라스화물항공,5Y8193,XMN(샤먼 가오치 국제공항),03:55,05:53,05:44,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ880,DAD(다낭),05:00,06:14,06:05,여객,지연,항공기 연결(도착지연),NaN
티웨이항공,TW114,HKG(홍콩),05:20,06:24,06:12,여객,지연,NaN,NaN
대한항공,KE456,HAN(노이바이(하노이)),05:25,05:55,05:43,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:20,06:10,여객,지연,항공기 연결(도착지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:45,07:36,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4206,CNX(치앙마이),05:50,06:19,06:09,여객,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:28,06:17,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),06:00,06:24,06:14,여객,지연,NaN,NaN
아틀라스화물항공,5Y563,MIA(마이애미),06:20,11:07,10:50,화물,지연,항공기 연결(도착지연),NaN
필리핀항공,PR484,CEB(세부),06:25,06:50,06:39,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ247,ATL(애틀랜타),06:30,21:09,21:02,화물,지연,기상 사유 접속 지연,NaN
페덱스화물항공,FX9082,CAN(광저우),06:30,07:39,07:29,NaN,지연,항공기 연결(도착지연),NaN
진에어,LJ702,HKG(홍콩),06:30,07:31,07:19,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE616,CEB(세부),06:30,06:50,06:41,여객,지연,NaN,NaN
티웨이항공,TW170,BKI(코타키나발루),06:30,07:09,06:59,여객,지연,NaN,NaN
진에어,LJ722,MFM(마카오),06:30,07:10,07:01,여객,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ790,MXP(밀라노),06:35,07:04,06:54,화물,지연,NaN,NaN
티웨이항공,TW176,CEB(세부),06:35,07:06,06:53,여객,지연,NaN,NaN
티웨이항공,TW192,DAD(다낭),06:35,07:05,06:57,여객,지연,"공항, 관제 사유 접속 지연",NaN
