항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,03:37,03:25,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE8314,HKG(홍콩),00:05,00:31,00:20,화물,지연,NaN,NaN
대한항공,KE074D,YYZ(토론토),00:25,00:30,00:12,여객,지연,기상 사유 접속 지연,NaN
폴라에어카고,PO927,LAX(로스앤젤레스),00:30,02:54,02:37,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,00:48,00:36,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ970,HKG(홍콩),00:35,02:06,01:47,화물,지연,기상 사유 접속 지연,NaN
칼리타항공,K4614,ORD(시카고),00:40,10:54,10:40,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8192,DFW(댈러스),00:40,00:48,00:32,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,01:09,00:57,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE188D,TPE(타이완 타오위안 국제 공항),00:55,02:35,02:27,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어서울,RS704,NRT(도쿄/나리타),01:10,01:49,01:37,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,02:01,01:51,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE054D,HNL(호놀룰루),01:45,02:02,02:02,여객,지연,승무원 교체(운항 또는 승무원 전체),NaN
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),02:10,03:39,03:20,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ390,HAN(노이바이(하노이)),02:25,03:29,03:11,화물,지연,기상 사유 접속 지연,NaN
아시아나항공,OZ398,SIN(싱가포르),02:40,04:54,04:43,화물,지연,기상 사유 접속 지연,NaN
말레이시아항공,MH6468,KUL(쿠알라룸푸르),02:50,04:16,03:58,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ948,PVG(푸동),03:50,07:47,07:36,화물,지연,"출입국, 세관, 검역(CIQ)",NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:19,04:09,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:10,05:31,05:21,여객,지연,NaN,NaN
아시아나항공,OZ177,HND(하네다),04:10,04:33,04:24,여객,지연,NaN,NaN
대한항공,KE624,MNL(마닐라),04:20,04:44,04:35,여객,지연,NaN,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,04:59,04:59,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE696,KTM(카트만두),04:30,05:29,05:22,여객,지연,NaN,NaN
아시아나항공,OZ562,FCO(로마),04:35,05:02,04:50,여객,지연,기상 사유 접속 지연,NaN
대한항공,KE076,YVR(밴쿠버),04:45,21:45,21:36,여객,지연,기상 사유 접속 지연,NaN
아시아나항공,OZ322,CSX(창사(장사)),04:55,05:49,05:37,여객,지연,NaN,NaN
대한항공,KE454,HAN(노이바이(하노이)),04:55,06:56,06:47,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ746,HKG(홍콩),05:00,05:54,05:45,여객,지연,NaN,NaN
아시아나항공,OZ502,CDG(파리),05:00,06:06,05:49,여객,지연,기상 사유 접속 지연,NaN
아시아나항공,OZ704,MNL(마닐라),05:00,06:16,06:05,여객,지연,NaN,NaN
대한항공,KE486,PQC(푸꾸옥),05:05,05:55,05:47,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE162,KMG(쿤밍),05:05,05:35,05:25,여객,지연,NaN,NaN
대한항공,KE232,ORD(시카고),05:20,09:38,09:24,화물,지연,기타(지연코드 외),NaN
대한항공,KE178,HKG(홍콩),05:20,06:15,06:08,여객,지연,NaN,NaN
천진항공화물,HT3819,WHA(ZSWA),05:30,11:15,11:04,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ756,DAD(다낭),05:30,06:46,06:36,여객,지연,NaN,NaN
베트남항공,VN416,HAN(노이바이(하노이)),05:30,06:26,06:14,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
이스타항공,ZE872,PVG(푸동),05:30,05:51,05:41,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:35,05:52,05:52,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE616,CEB(세부),05:35,07:22,07:12,여객,지연,NaN,NaN
대한항공,KE462,DAD(다낭),05:35,07:38,07:26,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ002,BKK(수안나폼(방콕)),05:40,07:12,07:00,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,08:35,08:29,여객,지연,NaN,NaN
대한항공,KE644,SIN(싱가포르),05:45,08:14,08:07,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE518,CNX(치앙마이),05:45,06:51,06:42,여객,지연,항공기 연결(도착지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:44,06:34,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),05:50,06:49,06:37,여객,지연,NaN,NaN
제주항공,7C2108,HKG(홍콩),05:55,08:42,08:34,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:00,07:25,07:17,여객,지연,기상 사유 접속 지연,NaN
비엣젯항공,VJ926,HPH(카트비),06:00,06:21,06:10,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE498,DEL(델리),06:00,08:20,08:13,여객,지연,기상 사유 접속 지연,NaN
대한항공,KE466,CXR(깜라인(나트랑)),06:05,06:23,06:15,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ092,PQC(푸꾸옥),06:05,07:11,07:03,여객,지연,기상 사유 접속 지연,NaN
