항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:30,00:22,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,00:48,00:39,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4614,ORD(시카고),00:40,03:54,03:45,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8688,ORD(시카고),00:40,02:12,02:02,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,02:56,02:48,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,02:52,02:44,여객,지연,항공기 연결(도착지연),NaN
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),02:10,06:40,06:30,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ2811,LAX(로스앤젤레스),03:45,04:53,04:44,화물,지연,NaN,NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:25,04:16,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:10,04:30,04:22,여객,지연,NaN,NaN
대한항공,KE624,MNL(마닐라),04:20,04:40,04:31,여객,지연,NaN,NaN
대한항공,KE454,HAN(노이바이(하노이)),04:55,05:20,05:15,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ704,MNL(마닐라),05:00,06:43,06:33,여객,지연,NaN,NaN
아틀라스화물항공,5Y8185,ORD(시카고),05:10,05:50,05:43,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE178,HKG(홍콩),05:20,05:41,05:30,여객,지연,NaN,NaN
아시아나항공,OZ203,LAX(로스앤젤레스),05:20,06:01,05:51,여객,지연,NaN,NaN
비엣젯항공,VJ864,SGN(호찌민),05:25,07:17,07:05,여객,지연,항공기 연결(도착지연),NaN
천진항공화물,HT3819,WHA(ZSWA),05:30,06:23,06:14,화물,지연,기타(항공기 정비 관련),NaN
아시아나항공,OZ211,SFO(샌프란시스코),05:30,05:56,05:47,여객,지연,NaN,NaN
대한항공,KE616,CEB(세부),05:35,05:54,05:44,여객,지연,NaN,NaN
진에어,LJ002,BKK(수안나폼(방콕)),05:40,06:59,06:49,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ358,CAN(광저우),05:40,05:56,05:42,여객,지연,NaN,NaN
델타항공,DL27,ATL(애틀랜타),05:45,07:26,07:18,여객,지연,항공기 결함,NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:09,05:57,여객,지연,NaN,NaN
제주항공,7C2108,HKG(홍콩),05:55,07:01,06:51,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:00,06:48,06:37,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ926,HPH(카트비),06:00,06:26,06:16,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:31,06:19,여객,지연,항공기 연결(도착지연),NaN
마스에어,M7362D,HGH(항저우),06:25,07:34,07:25,NaN,지연,NaN,NaN
아틀라스화물항공,5Y563,MIA(마이애미),06:25,21:25,:,화물,취소,기타(지연코드 외),NaN
티웨이항공,TW308,SPN(사이판),06:25,06:53,06:42,여객,지연,NaN,NaN
페덱스화물항공,FX5161,MEM(멤피스),06:30,07:50,07:40,화물,지연,항공기 연결(도착지연),NaN
베트남항공,VN408,SGN(호찌민),06:30,07:19,07:07,여객,지연,항공기 결함,NaN
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,06:48,06:39,여객,지연,NaN,NaN
진에어,LJ702,HKG(홍콩),06:35,07:22,07:17,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE652,BKK(수안나폼(방콕)),06:40,07:06,06:54,여객,지연,NaN,NaN
진에어,LJ038,CRK(클라크 국제공항),06:40,06:57,06:49,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ752,SIN(싱가포르),06:50,07:12,07:02,여객,지연,NaN,NaN
아시아나항공,OZ742,BKK(수안나폼(방콕)),06:55,07:20,07:10,여객,지연,NaN,NaN
대한항공,KE316,PVG(푸동),07:00,09:20,09:02,화물,지연,NaN,NaN
에어서울,RS512,DAD(다낭),07:05,08:16,08:05,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE668,CNX(치앙마이),07:05,07:24,07:19,여객,지연,NaN,NaN
제주항공,7C5304,DPS(덴파사(응우라 라이)),07:10,07:55,07:45,여객,지연,NaN,NaN
진에어,LJ006,HKT(푸껫),07:15,07:45,07:37,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
대한항공,KE620,MNL(마닐라),07:25,07:40,07:34,여객,지연,운송(PO) 사유 접속 지연,NaN
베트남항공,VN430,DAD(다낭),07:25,08:20,08:12,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:25,08:02,07:51,여객,지연,NaN,NaN
이스타항공,ZE594,DAD(다낭),07:25,07:48,07:37,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ740,PNH(프놈펜),07:30,08:06,07:55,여객,지연,NaN,NaN
티웨이항공,TW158,CXR(깜라인(나트랑)),07:35,08:11,08:02,여객,지연,NaN,NaN
스카이 앙코르 항공,ZA215,PNH(프놈펜),07:40,08:13,08:01,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
에어로케이항공(주),RF556,CXR(깜라인(나트랑)),07:40,08:35,08:24,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE634,DPS(덴파사(응우라 라이)),07:45,07:54,07:42,여객,지연,NaN,NaN
대한항공,KE314,HKG(홍콩),07:45,08:05,07:56,화물,지연,NaN,NaN
아틀라스화물항공,5Y9465,RZE(제슈프 야시온카 국제공항),07:55,13:26,13:18,NaN,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ285,SFO(샌프란시스코),07:55,09:05,08:44,화물,지연,NaN,NaN
비엣젯항공,VJ960,HAN(노이바이(하노이)),07:55,08:43,08:33,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE468,CXR(깜라인(나트랑)),08:00,08:48,08:43,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),08:00,09:20,09:10,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ802A,GMP(김포),08:00,09:01,08:50,NaN,지연,NaN,NaN
티웨이항공,TW128,DAD(다낭),08:05,08:59,08:48,여객,지연,NaN,NaN
제주항공,7C4304,VTE(비엔티안),08:05,08:25,08:13,여객,지연,NaN,NaN
에어인천,KJ212,CTU(청두(성도)),08:10,08:40,08:35,화물,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ574,TAS(타슈켄트),08:15,09:09,08:54,여객,지연,NaN,NaN
제주항공,7C2804,HAN(노이바이(하노이)),08:20,08:39,08:26,여객,지연,NaN,NaN
제주항공,7C2204,BKK(수안나폼(방콕)),08:25,09:02,08:52,여객,지연,NaN,NaN
제주항공,7C2904,DAD(다낭),08:25,09:14,09:04,여객,지연,NaN,NaN
가루다인도네시아,GA878,CGK(자카르타(수카르노 하타) 국제 공항),08:30,10:21,10:08,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE654,BKK(수안나폼(방콕)),08:30,08:41,08:36,여객,지연,NaN,NaN
에어홍콩화물항공,LD128,HKG(홍콩),08:40,09:13,08:56,화물,지연,NaN,NaN
아시아나항공,OZ794,FRA(프랑크푸르트),08:45,09:09,08:46,화물,지연,[기상]항공로 또는 대체공항,NaN
대한항공,KE646,SIN(싱가포르),08:50,09:51,09:41,여객,지연,NaN,NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:50,09:40,09:29,여객,지연,NaN,NaN
칼리타항공,K4963,NGB(닝보),09:00,10:54,10:37,NaN,지연,항공기 연결(도착지연),NaN
터키항공,TK20,IST(이스탄불),09:05,12:20,12:10,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE328,CGO(정저우),09:20,10:37,10:19,화물,지연,NaN,NaN
아시아나항공,OZ754,SIN(싱가포르),09:20,10:09,09:54,여객,지연,NaN,NaN
에어인천,KJ252,CGO(정저우),09:20,09:22,09:17,화물,지연,NaN,NaN
제주항공,7C4908,CXR(깜라인(나트랑)),09:45,10:12,10:00,여객,지연,NaN,NaN
티웨이항공,TW172,SIN(싱가포르),09:50,10:35,10:23,여객,지연,NaN,NaN
비엣젯항공,VJ862,SGN(호찌민),09:50,10:38,10:27,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE234,SEA(시애틀),09:55,23:41,23:31,화물,지연,NaN,NaN
