항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:23,00:16,여객,지연,항공기 연결(도착지연),NaN
에티오피안항공,ET673,NRT(도쿄/나리타),00:05,00:38,00:28,여객,지연,항공기 연결(도착지연),NaN
중국남방항공,CZ675,DLC(대련),00:10,12:50,12:42,여객,지연,ATFM(목적공항 기상),NaN
중국남방항공,CZ675,DLC(대련),00:10,12:50,12:42,여객,지연,NaN,NaN
아틀라스화물항공,5Y8474,JFK(뉴욕),00:15,22:15,:,화물,취소,기타(지연코드 외),NaN
산동항공,SC461A,TAO(청도),00:20,11:27,11:15,여객,지연,NaN,NaN
산동항공,SC461A,TAO(청도),00:20,11:27,11:15,여객,지연,[기상]기타 기상 악화,NaN
아시아나항공,OZ191,KIX(간사이),00:30,00:49,00:36,화물,지연,"공항, 관제 사유 접속 지연",NaN
아틀라스화물항공,5Y8254,ORD(시카고),00:30,00:54,00:39,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8240,JFK(뉴욕),00:35,02:08,01:56,NaN,지연,항공기 연결(도착지연),NaN
몽골항공,OM309,UBN(칭기즈 칸(신 울란바토르) 국제공항),00:40,00:33,00:25,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE854,PEK(베이징),00:45,02:22,02:12,여객,지연,기상 사유 접속 지연,NaN
아틀라스화물항공,5Y9460,RZE(제슈프 야시온카 국제공항),01:05,07:47,07:36,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,02:32,02:24,여객,지연,항공기 연결(도착지연),NaN
중국남방항공,CZ671A,SHE(심양),01:30,12:37,12:29,여객,지연,ATFM(목적공항 기상),NaN
중국남방항공,CZ671A,SHE(심양),01:30,12:37,12:29,여객,지연,NaN,NaN
대한항공,KE2902,PQC(푸꾸옥),01:35,01:53,01:44,NaN,지연,NaN,NaN
아틀라스화물항공,5Y8245,ATL(애틀랜타),01:50,04:28,04:14,NaN,지연,항공기 연결(도착지연),NaN
마스에어,M73228,WUX(수난 슈오팡 국제공항),03:00,07:50,07:42,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
이스타항공,ZE872,PVG(푸동),03:30,04:16,04:08,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,23:35,:,화물,취소,기타(지연코드 외),NaN
