항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
칼리타항공,K4612,CVG(신시내티),00:05,00:33,00:26,화물,지연,항공기 연결(도착지연),NaN
에어로로직,3S582,LEJ(라이프치히),00:25,00:39,00:32,화물,지연,NaN,NaN
아틀라스화물항공,5Y8240,JFK(뉴욕),00:35,01:12,01:05,NaN,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ283,SFO(샌프란시스코),01:10,04:42,04:35,화물,지연,항공기 연결(도착지연),NaN
이스타항공,ZE872,PVG(푸동),03:30,04:01,03:56,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,22:35,:,화물,취소,기타(지연코드 외),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,05:09,05:01,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:20,04:49,04:45,여객,지연,NaN,NaN
유나이티드항공,UA805,SFO(샌프란시스코),04:20,04:58,04:50,여객,지연,수화물 조업지연,NaN
아시아나항공,OZ243,SEA(시애틀),04:35,05:30,05:20,화물,지연,정비 사유 접속 지연,NaN
피치항공,MM809,HND(하네다),04:40,05:17,05:10,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ2959,ORD(시카고),05:00,09:01,08:46,화물,지연,정비 사유 접속 지연,NaN
대한항공,KE012,LAX(로스앤젤레스),05:00,05:25,05:15,여객,지연,기타(지연코드 외),NaN
아시아나항공,OZ223,JFK(뉴욕),05:10,05:32,05:24,여객,지연,[기상]항공로 또는 대체공항,NaN
아틀라스화물항공,5Y523,MIA(마이애미),05:10,22:10,:,화물,취소,기타(지연코드 외),NaN
대한항공,KE086,JFK(뉴욕),05:10,05:41,05:31,여객,지연,NaN,NaN
진에어,LJ010,CNX(치앙마이),05:20,05:41,05:30,여객,지연,"공항, 관제 사유 접속 지연",NaN
티웨이항공,TW114,HKG(홍콩),05:20,05:49,05:45,여객,지연,NaN,NaN
필리핀항공,PR466,MNL(마닐라),05:20,06:01,05:53,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ7385,BKI(코타키나발루),05:30,05:49,05:41,여객,지연,NaN,NaN
카고룩스항공,CV7223,LUX(룩셈부르크 핀델 공항),05:30,05:54,05:46,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:05,05:59,여객,지연,항공기 연결(도착지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:51,07:44,여객,지연,항공기 연결(도착지연),NaN
