항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:30,00:26,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,01:04,00:58,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8934,ORD(시카고),00:40,03:05,02:57,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,02:44,02:36,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,05:50,05:39,여객,지연,항공기 연결(도착지연),NaN
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),02:10,04:08,03:57,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y9488,RZE(제슈프 야시온카 국제공항),02:40,06:01,05:52,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:26,04:14,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:20,04:39,04:34,여객,지연,NaN,NaN
대한항공,KE696,KTM(카트만두),04:30,05:12,05:07,여객,지연,NaN,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,07:46,07:39,여객,지연,항공기 연결(도착지연),NaN
피치항공,MM809,HND(하네다),04:40,05:08,04:59,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE454,HAN(노이바이(하노이)),04:55,05:17,05:09,여객,지연,화물 연결,NaN
아시아나항공,OZ704,MNL(마닐라),05:00,06:25,06:15,여객,지연,정비 사유 접속 지연,NaN
비엣젯항공,VJ880,DAD(다낭),05:05,05:55,05:45,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE486,PQC(푸꾸옥),05:05,05:53,05:45,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ962,HAN(노이바이(하노이)),05:25,05:58,05:47,여객,지연,항공기 연결(도착지연),NaN
