항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,00:23,00:19,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8350,MIA(마이애미),00:45,20:45,:,화물,취소,기타(지연코드 외),
칼리타항공,K4887D,EHU(어저우화후),01:00,03:24,03:14,,지연,항공기 연결(도착지연),
중국남방항공,CZ339,HAK(하이커우),01:00,02:51,02:46,여객,지연,[기상]기타 기상 악화,
실크웨이웨스트항공,7L1121,GYD(헤이다르 알리예프),01:00,18:56,18:49,화물,지연,항공기 연결(도착지연),
카타르항공,QR8982,DOH(도하),01:10,02:20,02:11,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ968,HKG(홍콩),01:15,03:17,03:12,화물,지연,영업 사유 접속 지연,
카고룩스 이탈리아,C87736,MXP(밀라노),04:20,04:57,04:51,화물,지연,항공기 연결(도착지연),
유나이티드항공,UA805,SFO(샌프란시스코),04:20,05:28,05:22,여객,지연,[기상]출발공항 지상조업(악기상),
제주항공,7C2306,MNL(마닐라),04:20,05:40,05:32,여객,지연,,
대한항공,KE624,MNL(마닐라),04:35,04:58,04:48,여객,지연,,
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,07:42,07:35,여객,지연,정비 사유 접속 지연,
아시아나항공,OZ746,HKG(홍콩),05:10,05:58,05:50,여객,지연,,
필리핀항공,PR466,MNL(마닐라),05:20,06:05,05:58,여객,지연,항공기 연결(도착지연),
대한항공,KE178,HKG(홍콩),05:25,05:45,05:37,여객,지연,,
제주항공,7C2108,HKG(홍콩),06:00,07:51,07:47,여객,지연,,
대한항공,KE180,HKG(홍콩),06:00,06:31,06:21,여객,지연,"공항, 관제 사유 접속 지연",
아틀라스화물항공,5Y8793,JFK(뉴욕),06:15,21:15,:,,취소,기타(지연코드 외),
대한항공,KE626,MNL(마닐라),06:15,06:38,06:28,여객,지연,,
진에어,LJ038,CRK(클라크 국제공항),06:30,06:57,06:51,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ796,FRA(프랑크푸르트),06:35,07:04,06:54,화물,지연,ATFM(항공로 공표 수용능력 저하),
티웨이항공,TW118,HKG(홍콩),07:05,07:25,07:19,여객,지연,,
에어서울,RS512,DAD(다낭),07:05,08:58,08:51,여객,지연,,
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:25,07:17,여객,지연,,
아시아나항공,OZ740,PNH(프놈펜),07:10,07:57,07:45,여객,지연,,
대한항공,KE690,PNH(프놈펜),07:15,07:34,07:26,여객,지연,,
캐세이퍼시픽항공,CX035,HKG(홍콩),07:20,07:39,07:32,화물,지연,항공기 연결(도착지연),
제주항공,7C4304,VTE(비엔티안),07:20,07:38,07:31,여객,지연,,
폴라에어카고,PO968,CVG(신시내티),07:25,11:57,11:50,화물,지연,항공기 연결(도착지연),
