항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아시아나항공,OZ988,PVG(푸동),00:00,04:07,03:58,화물,지연,기상 사유 접속 지연,NaN
아시아나항공,OZ968,HKG(홍콩),00:05,01:04,00:55,화물,지연,정비 사유 접속 지연,
아틀라스화물항공,5Y555,JFK(뉴욕),00:05,15:43,15:35,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,01:00,00:52,여객,지연,항공기 연결(도착지연),
마스에어,M73926,CGO(정저우),00:40,12:52,12:43,,지연,항공기 정비(계획되지 않은 정비),
카타르항공,QR8982,DOH(도하),00:45,04:27,04:17,화물,지연,기타(접속 관련),
대한항공,KE8242,DFW(댈러스),00:45,04:05,03:55,화물,지연,,
대한항공,KE250,JFK(뉴욕),00:55,03:36,03:25,화물,지연,,
실크웨이웨스트항공,7L128,GYD(헤이다르 알리예프),01:00,07:50,07:42,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ2911,ORD(시카고),01:15,02:13,02:03,화물,지연,정비 사유 접속 지연,
칼리타항공,K4852,CVG(신시내티),01:20,05:31,05:22,화물,지연,항공기 연결(도착지연),
칼리타항공,K4428,ANC(앵커리지),02:15,09:11,08:56,,지연,항공기 연결(도착지연),
아시아나항공,OZ7032,MNL(마닐라),02:40,03:57,03:48,여객,지연,항공기 결함,
유피에스화물항공,5X37,SDF(루이즈빌),03:25,05:11,05:00,화물,지연,항공기 정비(계획되지 않은 정비),
카고룩스 이탈리아,C87112,MXP(밀라노),04:40,05:27,05:17,화물,지연,항공기 연결(도착지연),
대한항공,KE456,HAN(노이바이(하노이)),04:55,06:35,06:25,여객,지연,"공항, 관제 사유 접속 지연",
스리랑칸항공,UL470,CMB(반다라나이케),04:55,05:17,05:07,여객,지연,기타(지연코드 외),
티웨이항공,TW132,VTE(비엔티안),05:00,05:44,05:33,여객,지연,,
아시아나항공,OZ746,HKG(홍콩),05:05,05:42,05:31,여객,지연,,
아시아나항공,OZ203,LAX(로스앤젤레스),05:20,05:56,05:43,여객,지연,[기상]항공로 또는 대체공항,
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),05:30,06:24,06:18,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ211,SFO(샌프란시스코),05:30,06:04,05:54,여객,지연,[기상]항공로 또는 대체공항,
대한항공,KE616,CEB(세부),05:35,05:57,05:50,여객,지연,,
대한항공,KE462,DAD(다낭),05:35,06:43,06:32,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:17,06:07,여객,지연,,
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,07:31,07:23,여객,지연,,
비엣젯항공,VJ878,DAD(다낭),06:00,06:27,06:19,여객,지연,항공기 연결(도착지연),
티웨이항공,TW604,FRU(마나스 국제공항),06:00,14:50,14:42,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ926,HPH(카트비),06:00,06:17,06:17,여객,지연,항공기 연결(도착지연),
대한항공,KE626,MNL(마닐라),06:00,06:28,06:20,여객,지연,,
말린도항공,OD820,KUL(쿠알라룸푸르),06:05,09:54,09:44,여객,지연,항공기 연결(도착지연),
에어부산,BX748,BKK(수안나폼(방콕)),06:10,07:56,07:48,여객,지연,,
대한항공,KE476,SGN(호찌민),06:10,06:52,06:45,여객,지연,운송(PO) 사유 접속 지연,
아틀라스화물항공,5Y8133,LAX(로스앤젤레스),06:10,09:20,09:04,화물,지연,항공기 연결(도착지연),
티웨이항공,TW170,BKI(코타키나발루),06:10,06:50,06:43,여객,지연,,
티웨이항공,TW308,SPN(사이판),06:10,06:42,06:36,여객,지연,,
대한항공,KE8314,HKG(홍콩),06:15,06:33,06:26,화물,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,07:04,06:55,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE086,JFK(뉴욕),06:25,07:02,06:52,여객,지연,,
아시아나항공,OZ6043,MEL(멜버른),06:40,07:26,07:21,여객,지연,,
진에어,LJ722,MFM(마카오),06:40,06:58,06:46,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
티웨이항공,TW118,HKG(홍콩),06:40,07:04,06:57,여객,지연,,
대한항공,KE628,CGK(자카르타(수카르노 하타) 국제 공항),06:50,07:10,07:00,여객,지연,,
아시아나항공,OZ736,SGN(호찌민),06:55,07:09,07:02,여객,지연,,
페덱스화물항공,FX5159,MEM(멤피스),07:00,07:44,07:35,화물,지연,항공기 연결(도착지연),
폴란드항공,LO97,WAW(바르샤바),07:10,07:22,07:15,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,
이스타항공,ZE594,DAD(다낭),07:10,08:39,08:32,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ710,CEB(세부),07:10,07:37,07:29,여객,지연,,
진에어,LJ006,HKT(푸껫),07:15,07:38,07:28,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
중국센트럴항공,I99821,WEH(위해),07:15,11:38,11:22,화물,지연,화물 연결,
대한항공,KE690,PNH(프놈펜),07:20,08:59,08:49,여객,지연,,
진에어,LJ122,VTE(비엔티안),07:20,07:49,07:37,여객,지연,"공항, 관제 사유 접속 지연",
에어인천,KJ2626,CKG(충칭),07:25,08:57,08:44,화물,지연,항공기 연결(도착지연),
에어서울,RS528,CXR(깜라인(나트랑)),07:25,07:42,07:34,여객,지연,,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,08:44,08:35,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ740,PNH(프놈펜),07:30,08:14,08:04,여객,지연,,
스카이 앙코르 항공,ZA215,PNH(프놈펜),07:40,08:02,07:56,여객,지연,,
아메리제트,M61010,GSP(그린빌 스파르탄버그),07:40,13:10,13:08,화물,지연,항공기 연결(도착지연),
대한항공,KE314,HKG(홍콩),07:40,09:06,08:53,화물,지연,,
유피에스화물항공,5X11,SDF(루이즈빌),07:50,08:30,08:16,화물,지연,[기상]목적공항 시정악화,
진에어,LJ070,DAD(다낭),08:05,08:57,08:46,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE8316,PVG(푸동),08:15,10:19,10:02,화물,지연,,
티웨이항공,TW128,DAD(다낭),08:20,08:37,08:30,여객,지연,,
제주항공,7C2904,DAD(다낭),08:25,09:26,09:17,여객,지연,,
대한항공,KE336,PVG(푸동),08:35,12:05,11:46,화물,지연,,
티웨이항공,TW102,BKK(수안나폼(방콕)),08:50,09:07,09:00,여객,지연,,
터키항공,TK20,IST(이스탄불),08:55,09:13,09:06,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대한항공,KE674,BKK(수안나폼(방콕)),08:55,09:07,08:57,여객,지연,,
제주항공,7C4704,SGN(호찌민),09:20,09:42,09:30,여객,지연,,
대한항공,KE542,OSL(오슬로),09:20,09:43,09:24,화물,지연,기타(접속 관련),
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:20,09:57,09:45,여객,지연,,
대한항공,KE9320,CAN(광저우),09:25,11:08,10:50,화물,지연,,
아시아나항공,OZ588,BRU(브뤼셀),09:45,16:55,16:37,화물,지연,기상 사유 접속 지연,
제주항공,7C4908,CXR(깜라인(나트랑)),09:45,10:06,09:54,여객,지연,,
에어아스타나항공,KC909,ALA(알마티),09:55,10:10,09:59,여객,지연,,
제주항공,7C2206,BKK(수안나폼(방콕)),10:00,10:28,10:16,여객,지연,,
대한항공,KE234,SEA(시애틀),10:15,10:30,10:12,화물,지연,,
원통화물항공,YG9021,NGB(닝보),10:25,11:20,11:00,화물,지연,항공기 연결(도착지연),
페덱스화물항공,FX5434,MEM(멤피스),10:30,10:57,10:38,화물,지연,,
독일항공,LH712,FRA(프랑크푸르트),10:40,11:12,11:02,여객,지연,ATFM(항공로 공표 수용능력 저하),
에어인천,KJ512,HAN(노이바이(하노이)),10:45,12:59,12:47,화물,지연,항공기 문제로 돌아옴(RETURN),
원통화물항공,YG9051,WNZ(원저우),11:00,11:15,10:56,화물,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y515,BNA(내슈빌),11:10,13:41,13:24,화물,지연,항공기 연결(도착지연),
중화항공,CI160,TPE(타이완 타오위안 국제 공항),11:20,11:18,11:38,여객,지연,항공기 연결(도착지연),
에어부산,BX155,FUK(후쿠오카),11:25,11:48,11:36,여객,지연,,
중국남방항공,CZ681,SHE(심양),11:35,12:19,12:08,여객,지연,[기상]출발공항 제방빙(항공기),
대한항공,KE592,MAD(마드리드),11:35,13:49,13:31,화물,지연,,
내셔널 항공,N8595,HKG(홍콩),11:40,:,:,,취소,항공기 정비(계획되지 않은 정비),
내셔널 항공,N8593,HKG(홍콩),11:40,10:35,:,,취소,항공기 정비(계획되지 않은 정비),
유피에스화물항공,5X64,ANC(앵커리지),11:45,12:35,12:25,화물,지연,[기상]출발공항 제방빙(항공기),
아시아나항공,OZ384,SIN(싱가포르),11:50,13:58,13:49,화물,지연,기상 사유 접속 지연,
중국동방항공,MU5041,PVG(푸동),11:55,13:03,12:54,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
폴라에어카고,PO977,CVG(신시내티),12:05,21:04,20:56,화물,지연,항공기 연결(도착지연),
제주항공,7C8402,TAO(청도),12:20,12:41,12:31,여객,지연,,
핀란드항공,AY41,HEL(헬싱키),12:20,13:12,13:00,여객,지연,수화물 조업지연,
전일본공수 주식회사,NH8475,NRT(도쿄/나리타),12:35,13:30,13:20,화물,지연,항공기 교체(기술적 결함),
