항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,02:21,02:13,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4614,CVG(신시내티),00:30,03:24,03:15,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,01:11,01:03,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y515,ORD(시카고),01:05,02:02,01:54,화물,지연,항공기 연결(도착지연),NaN
에어서울,RS704,NRT(도쿄/나리타),01:10,01:34,01:25,여객,지연,NaN,NaN
대한항공,KE8204,LAX(로스앤젤레스),01:20,01:39,01:28,화물,지연,NaN,NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,01:43,01:35,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO916,CVG(신시내티),01:30,01:57,01:46,화물,지연,NaN,NaN
칼리타항공,K4935,HFE(허페이),02:10,12:05,11:47,NaN,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y360,IND(인디애나폴리스),02:10,03:03,02:56,화물,지연,NaN,NaN
칼리타항공,K4865,EHU(어저우화후),02:30,15:44,15:35,NaN,지연,항공기 연결(도착지연),NaN
베트남항공,VN440,CXR(깜라인(나트랑)),04:25,07:49,07:38,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE696,KTM(카트만두),04:30,04:59,04:51,여객,지연,NaN,NaN
티웨이항공,TW190,KLO(칼리보),04:45,05:38,05:26,여객,지연,NaN,NaN
대한항공,KE486,PQC(푸꾸옥),05:05,05:45,05:35,여객,지연,항공기 연결(도착지연),NaN
말레이시아항공,MH6460,KUL(쿠알라룸푸르),05:15,09:39,09:21,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ864,SGN(호찌민),05:25,06:40,06:33,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8795,JFK(뉴욕),05:30,06:57,06:49,NaN,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y9163,JFK(뉴욕),05:35,06:22,06:17,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:07,05:57,여객,지연,NaN,NaN
아틀라스화물항공,5Y8244,ORD(시카고),05:50,20:50,:,화물,취소,기타(지연코드 외),NaN
제주항공,7C2108,HKG(홍콩),05:55,06:25,06:15,여객,지연,NaN,NaN
비엣젯항공,VJ926,HPH(카트비),06:00,07:12,07:02,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:30,06:19,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),06:05,07:12,07:01,여객,지연,NaN,NaN
대한항공,KE170,MFM(마카오),06:20,06:39,06:31,여객,지연,NaN,NaN
티웨이항공,TW308,SPN(사이판),06:25,06:45,06:36,여객,지연,NaN,NaN
진에어,LJ044,TAG(팡라로),06:25,07:42,07:35,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,07:34,07:26,여객,지연,NaN,NaN
진에어,LJ702,HKG(홍콩),06:35,07:31,07:19,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ722,MFM(마카오),06:50,07:34,07:27,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ742,BKK(수안나폼(방콕)),06:55,07:22,07:12,여객,지연,NaN,NaN
제주항공,7C5304,DPS(덴파사(응우라 라이)),07:10,07:27,07:17,여객,지연,NaN,NaN
대한항공,KE672,KUL(쿠알라룸푸르),07:15,07:36,07:28,여객,지연,NaN,NaN
아시아나항공,OZ736,SGN(호찌민),07:15,07:58,07:49,여객,지연,운송(PO) 사유 접속 지연,NaN
진에어,LJ006,HKT(푸껫),07:15,07:35,07:23,여객,지연,"공항, 관제 사유 접속 지연",NaN
마스에어,M73228,WUX(수난 슈오팡 국제공항),07:20,08:00,07:51,NaN,지연,항공기 연결(도착지연),NaN
에어인천,KJ252,CGO(정저우),07:20,07:42,07:37,화물,지연,NaN,NaN
이스타항공,ZE594,DAD(다낭),07:25,07:57,07:44,여객,지연,항공기 연결(도착지연),NaN
싱가폴항공,SQ608,SIN(싱가포르),07:25,07:41,07:30,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:25,07:49,07:40,여객,지연,NaN,NaN
베트남항공,VN430,DAD(다낭),07:25,08:17,08:09,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
아시아나항공,OZ740,PNH(프놈펜),07:30,08:24,08:15,여객,지연,NaN,NaN
티웨이항공,TW158,CXR(깜라인(나트랑)),07:35,08:04,07:56,여객,지연,NaN,NaN
유피에스화물항공,5X11,SDF(루이즈빌),07:40,08:32,08:20,화물,지연,항공기 연결(도착지연),NaN
에어로케이항공(주),RF556,CXR(깜라인(나트랑)),07:40,08:10,08:01,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:19,08:11,화물,지연,NaN,NaN
아시아나항공,OZ798,MXP(밀라노),07:45,10:43,10:34,화물,지연,지상조업 사유 접속 지연,NaN
유피에스화물항공,5X196,ANC(앵커리지),07:50,08:07,07:57,화물,지연,항공기 연결(도착지연),NaN
페덱스화물항공,FX5926,MEM(멤피스),07:50,13:01,12:51,화물,지연,객실 승무원 연결,NaN
대한항공,KE468,CXR(깜라인(나트랑)),08:00,08:47,08:38,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),08:00,08:19,08:08,여객,지연,항공기 연결(도착지연),NaN
티웨이항공,TW128,DAD(다낭),08:05,08:50,08:40,여객,지연,NaN,NaN
아시아나항공,OZ574,TAS(타슈켄트),08:15,08:22,08:12,여객,지연,[기상]항공로 또는 대체공항,NaN
페덱스화물항공,FX5432,MEM(멤피스),08:20,08:43,08:21,화물,지연,화물 연결,NaN
