항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어로로직,3S580,LEJ(라이프치히),00:25,00:42,00:33,화물,지연,NaN,NaN
대한항공,KE9204,LAX(로스앤젤레스),00:55,02:37,02:27,화물,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,01:46,01:38,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),02:00,02:01,02:59,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ988,PVG(푸동),02:25,04:47,04:38,화물,지연,정비 사유 접속 지연,NaN
아틀라스화물항공,5Y8130,EMA(이스트 미들),03:20,04:04,03:54,NaN,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8472,MIA(마이애미),03:25,05:09,04:59,NaN,지연,항공기 연결(도착지연),NaN
이스타항공,ZE872,PVG(푸동),03:30,03:59,03:51,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:28,04:20,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE164,DYG(장가계),04:05,04:50,04:42,여객,지연,"공항, 관제 사유 접속 지연",NaN
카고룩스 이탈리아,C87112,MXP(밀라노),04:20,08:49,08:28,화물,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:20,05:48,05:40,여객,지연,NaN,NaN
제주항공,7C8488,YIH(이창),04:30,05:51,05:43,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:35,05:21,05:12,여객,지연,"공항, 관제 사유 접속 지연",NaN
피치항공,MM809,HND(하네다),04:40,05:01,04:49,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ704,MNL(마닐라),04:50,05:16,05:02,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,05:31,05:23,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
티웨이항공,TW616,WUH(우한),05:05,05:39,05:29,여객,지연,NaN,NaN
대한항공,KE086,JFK(뉴욕),05:10,05:33,05:27,여객,지연,"객실승무원 지연 탑승, 출발절차",NaN
티웨이항공,TW114,HKG(홍콩),05:20,06:20,06:09,여객,지연,NaN,NaN
아시아나항공,OZ358,CAN(광저우),05:45,06:16,06:07,여객,지연,NaN,NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:11,06:02,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4206,CNX(치앙마이),05:50,06:16,06:05,여객,지연,NaN,NaN
에어서울,RS582,TAG(팡라로),05:50,07:51,07:43,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:42,06:31,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),06:00,07:17,07:05,여객,지연,항공기 연결(도착지연),NaN
이스타항공,ZE512,BKK(수안나폼(방콕)),06:00,06:22,06:12,여객,지연,항공기 연결(도착지연),NaN
에어부산,BX748,BKK(수안나폼(방콕)),06:05,10:46,10:34,여객,지연,정비 사유 접속 지연,NaN
대한항공,KE626,MNL(마닐라),06:15,07:24,07:16,여객,지연,"공항, 관제 사유 접속 지연",NaN
폴란드항공,LO97,WAW(바르샤바),06:20,06:49,06:39,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE616,CEB(세부),06:30,07:31,07:23,여객,지연,NaN,NaN
진에어,LJ702,HKG(홍콩),06:30,06:57,06:51,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
베트남항공,VN430,DAD(다낭),06:40,07:06,06:55,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2508,BKI(코타키나발루),06:45,07:28,07:19,여객,지연,NaN,NaN
이스타항공,ZE594,DAD(다낭),06:55,07:43,07:32,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2406,CEB(세부),06:55,07:36,07:28,여객,지연,NaN,NaN
아메리제트,M61040,RFD(시카고 록퍼드 국제공항),07:00,09:10,08:44,NaN,지연,기타(접속 관련),NaN
대한항공,KE690,PNH(프놈펜),07:00,08:04,07:52,여객,지연,NaN,NaN
아시아나항공,OZ708,CRK(클라크 국제공항),07:05,07:38,07:24,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어서울,RS512,DAD(다낭),07:05,09:17,09:07,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:54,07:44,여객,지연,NaN,NaN
아시아나항공,OZ736,SGN(호찌민),07:10,08:36,08:22,여객,지연,운송(PO) 사유 접속 지연,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,07:46,07:38,여객,지연,NaN,NaN
제주항공,7C4304,VTE(비엔티안),07:20,07:40,07:30,여객,지연,NaN,NaN
아시아나항공,OZ948,PVG(푸동),07:25,07:50,07:40,화물,지연,NaN,NaN
아틀라스화물항공,5Y8924,ORD(시카고),07:25,08:15,08:07,NaN,지연,항공기 연결(도착지연),NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:59,08:50,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2408,CEB(세부),07:40,08:36,08:24,여객,지연,NaN,NaN
아시아나항공,OZ710,CEB(세부),07:45,08:53,08:42,여객,지연,"공항, 관제 사유 접속 지연",NaN
제주항공,7C4410,TAG(팡라로),07:50,08:30,08:19,여객,지연,NaN,NaN
마스에어,M73629,HGH(항저우),07:55,21:06,20:57,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
유피에스화물항공,5X196,ANC(앵커리지),07:55,08:23,08:12,화물,지연,항공기 연결(도착지연),NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,09:27,09:17,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ082,DAD(다낭),08:00,09:17,09:10,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8251,ORD(시카고),08:00,15:54,15:46,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE8316,PVG(푸동),08:05,09:05,08:48,화물,지연,NaN,NaN
대한항공,KE214,LAX(로스앤젤레스),08:10,09:10,08:52,화물,지연,NaN,NaN
순풍항공,O3364,EHU(어저우화후),08:25,08:36,08:31,화물,지연,NaN,NaN
가루다인도네시아,GA878,CGK(자카르타(수카르노 하타) 국제 공항),08:30,08:47,08:35,여객,지연,기타(접속 관련),NaN
진에어,LJ002,BKK(수안나폼(방콕)),08:35,09:32,09:21,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어부산,BX7145,TAG(팡라로),08:35,10:06,09:55,여객,지연,정비 사유 접속 지연,NaN
제주항공,7C3403,SPN(사이판),08:35,08:56,08:46,여객,지연,NaN,NaN
대한항공,KE336,PVG(푸동),08:35,09:49,09:38,화물,지연,NaN,NaN
티웨이항공,TW128,DAD(다낭),08:35,09:37,09:26,여객,지연,NaN,NaN
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,10:08,09:57,여객,지연,NaN,NaN
제주항공,7C2904,DAD(다낭),08:40,09:55,09:43,여객,지연,NaN,NaN
프랑스항공,AF264,CDG(파리),08:40,09:11,09:02,여객,지연,NaN,NaN
대한항공,KE646,SIN(싱가포르),08:45,09:27,09:18,여객,지연,NaN,NaN
터키항공,TK20,IST(이스탄불),08:45,09:08,08:58,여객,지연,항공기 연결(도착지연),NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,09:35,09:24,여객,지연,NaN,NaN
에어인천,KJ2626,CKG(충칭),09:05,09:27,09:22,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
대한항공,KE320,CAN(광저우),09:05,12:46,12:28,화물,지연,NaN,NaN
대한항공,KE542,OSL(오슬로),09:05,09:31,09:12,화물,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
아시아나항공,OZ390,HAN(노이바이(하노이)),09:15,10:12,10:02,화물,지연,영업 사유 접속 지연,NaN
에어부산,BX788,CXR(깜라인(나트랑)),09:15,10:01,09:50,여객,지연,기상 사유 접속 지연,NaN
아시아나항공,OZ552,IST(이스탄불),09:20,00:56,09:34,여객,지연,[기상]항공로 또는 대체공항,NaN
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,09:54,09:44,여객,지연,NaN,NaN
