항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
칼리타항공,K4226,CVG(신시내티),00:05,00:19,00:02,화물,지연,NaN,NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,01:36,01:28,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4616,ORD(시카고),00:40,01:39,01:30,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,01:43,01:34,여객,지연,항공기 연결(도착지연),NaN
에어로로직,3S580,LEJ(라이프치히),01:25,01:53,01:42,화물,지연,NaN,NaN
폴라에어카고,PO916,CVG(신시내티),01:30,01:47,01:40,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE9204,LAX(로스앤젤레스),01:35,02:26,02:16,화물,지연,NaN,NaN
아틀라스화물항공,5Y9460,RZE(제슈프 야시온카 국제공항),03:25,09:00,08:43,NaN,지연,항공기 연결(도착지연),NaN
유피에스화물항공,5X37,SDF(루이즈빌),03:25,03:45,03:34,화물,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE624,MNL(마닐라),04:20,04:34,04:26,여객,지연,NaN,NaN
베트남항공,VN440,CXR(깜라인(나트랑)),04:25,04:57,04:46,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,NaN
카고룩스 이탈리아,C87112,MXP(밀라노),04:40,18:12,18:03,화물,지연,항공기 연결(도착지연),NaN
칼리타항공,K4626,LAX(로스앤젤레스),04:40,04:57,04:49,화물,지연,NaN,NaN
대한항공,KE076,YVR(밴쿠버),04:45,05:11,05:02,여객,지연,NaN,NaN
이스타항공,ZE854,CGO(정저우),04:45,05:00,04:49,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
베트남항공,VN416,HAN(노이바이(하노이)),05:30,05:59,05:50,여객,지연,"운항통제(항로변경, 회항, 항공기 교체)",NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:35,06:21,06:11,여객,지연,항공기 연결(도착지연),NaN
델타항공,DL27,ATL(애틀랜타),05:45,18:13,:,여객,취소,NaN,NaN
델타항공,DL27,ATL(애틀랜타),05:45,18:13,:,여객,취소,기타(운항기준 및 승무원 관련),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:28,07:17,여객,지연,항공기 연결(도착지연),NaN
아에로멕시코,AM090,MEX(멕시코시티),06:00,06:17,06:12,여객,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:37,06:28,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ926,HPH(카트비),06:00,06:28,06:17,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE466,CXR(깜라인(나트랑)),06:05,06:25,06:18,여객,지연,"공항, 관제 사유 접속 지연",NaN
티웨이항공,TW308,SPN(사이판),06:25,06:51,06:43,여객,지연,NaN,NaN
진에어,LJ702,HKG(홍콩),06:35,07:17,07:12,여객,지연,기타(접속 관련),NaN
대한항공,KE690,PNH(프놈펜),06:55,07:44,07:33,여객,지연,NaN,NaN
에어서울,RS512,DAD(다낭),07:05,07:44,07:36,여객,지연,NaN,NaN
제주항공,7C5304,DPS(덴파사(응우라 라이)),07:10,08:02,07:53,여객,지연,NaN,NaN
아시아나항공,OZ736,SGN(호찌민),07:15,07:38,07:29,여객,지연,NaN,NaN
진에어,LJ006,HKT(푸껫),07:15,07:54,07:44,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE672,KUL(쿠알라룸푸르),07:15,07:43,07:38,여객,지연,NaN,NaN
싱가폴항공,SQ608,SIN(싱가포르),07:25,07:45,07:35,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE620,MNL(마닐라),07:25,07:51,07:43,여객,지연,기타(접속 관련),NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:25,08:01,07:51,여객,지연,NaN,NaN
