항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8360,SUU(트레비스),00:05,00:31,00:23,NaN,지연,항공기 연결(도착지연),NaN.1
아시아나항공,OZ952,HAN(노이바이(하노이)),00:10,01:15,00:59,화물,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8474,JFK(뉴욕),00:15,21:15,:,화물,취소,기타(지연코드 외),
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),
제주항공,7C2306,MNL(마닐라),04:20,04:48,04:36,여객,지연,,
아틀라스화물항공,5Y523,MIA(마이애미),05:10,21:10,:,화물,취소,기타(지연코드 외),
카고룩스항공,CV7223,LUX(룩셈부르크 핀델 공항),05:30,16:14,15:54,화물,지연,항공기 연결(도착지연),
대한항공,KE316,PVG(푸동),05:55,06:45,06:36,화물,지연,,
제주항공,7C2108,HKG(홍콩),06:00,06:21,06:10,여객,지연,,
비엣젯항공,VJ878,DAD(다낭),06:00,06:27,06:18,여객,지연,항공기 연결(도착지연),
제주항공,7C4104,PQC(푸꾸옥),06:25,07:04,06:54,여객,지연,,
아시아나항공,OZ796,FRA(프랑크푸르트),06:35,07:29,07:20,화물,지연,,
제주항공,7C2406,CEB(세부),06:55,07:21,07:09,여객,지연,,
이스타항공,ZE594,DAD(다낭),06:55,07:24,07:14,여객,지연,ATFM(항공로 공표 수용능력 저하),
마스에어,M73926,WUX(수난 슈오팡 국제공항),06:55,07:10,07:10,,지연,항공기 연결(도착지연),
대한항공,KE690,PNH(프놈펜),07:00,07:22,07:15,여객,지연,,
에어서울,RS512,DAD(다낭),07:05,08:15,08:04,여객,지연,,
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:39,07:27,여객,지연,,
아시아나항공,OZ988,PVG(푸동),07:25,08:27,08:09,화물,지연,,
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:05,07:58,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE314,HKG(홍콩),07:35,08:34,08:15,화물,지연,,
제주항공,7C2408,CEB(세부),07:40,08:05,07:57,여객,지연,,
칼리타항공,K4961,NGB(닝보),07:45,08:09,07:59,,지연,항공기 연결(도착지연),
에어홍콩화물항공,LD128,HKG(홍콩),07:45,10:15,09:59,화물,지연,항공기 연결(도착지연),
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:31,08:20,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ960,HAN(노이바이(하노이)),07:55,08:36,08:25,여객,지연,항공기 연결(도착지연),
세부퍼시픽항공,5J186,MNL(마닐라),07:55,09:12,09:00,여객,지연,"승객편의, 홍보, VIP, 언론",
제주항공,7C2904,DAD(다낭),08:05,09:20,09:09,여객,지연,,
에어인천,KJ212,CTU(청두(성도)),08:05,09:06,08:46,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대한항공,KE320,CAN(광저우),08:25,09:07,08:48,화물,지연,,
에티오피안항공,ET3672,OSL(오슬로),08:35,09:38,09:29,화물,지연,항공기 연결(도착지연),
대한항공,KE9984,TBS(조지아),08:45,09:29,09:19,여객,지연,,
아틀라스화물항공,5Y8227,JFK(뉴욕),08:50,21:25,21:15,화물,지연,항공기 연결(도착지연),
칼리타항공,K4881,EHU(어저우화후),09:00,11:34,11:23,,지연,항공기 연결(도착지연),
롱하오 항공,GI420W,WEH(위해),09:10,10:11,09:50,화물,지연,,
에어부산,BX788,CXR(깜라인(나트랑)),09:15,09:38,09:27,여객,지연,,
아시아나항공,OZ552,IST(이스탄불),09:20,10:19,10:07,여객,지연,,
폴란드항공,LO2001,BUD(부다페스트),09:30,09:47,09:37,여객,지연,기타(지연코드 외),
에어인천,KJ512,HAN(노이바이(하노이)),09:50,11:21,11:10,화물,지연,"공항, 관제 사유 접속 지연",
독일항공,LH718,MUC(뮌헨),09:55,10:29,10:18,여객,지연,항공기 연결(도착지연),
독일항공,LH712,FRA(프랑크푸르트),09:55,10:42,10:27,여객,지연,항공기 연결(도착지연),
원통화물항공,YG9021,NGB(닝보),10:10,11:14,10:55,화물,지연,항공기 연결(도착지연),
에어인천,KJ5144,HAN(노이바이(하노이)),10:35,11:30,11:19,화물,지연,"공항, 관제 사유 접속 지연",
중국동방항공,MU5071,HGH(항저우),11:25,11:43,11:33,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
폴라에어카고,PO947,CVG(신시내티),11:45,12:26,12:09,화물,지연,항공기 연결(도착지연),
롱하오 항공,GI4203,WEH(위해),11:50,12:55,12:43,화물,지연,,
중국동방항공,MU5041,PVG(푸동),11:55,13:39,13:29,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대한항공,KE896,PVG(푸동),11:55,12:25,12:16,여객,지연,,
필리핀에어아시아,Z2884,MNL(마닐라),12:10,12:35,12:23,여객,지연,항공기 연결(도착지연),
제주항공,7C8402,TAO(청도),12:20,12:40,12:29,여객,지연,,
에어재팬,NQ021,NRT(도쿄/나리타),12:25,12:50,12:36,여객,지연,항공기 연결(도착지연),
대한항공,KE938,VIE(비엔나),12:30,12:46,12:38,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
이스타항공,ZE612,KIX(간사이),13:00,13:50,13:39,여객,지연,항공기 연결(도착지연),
대한항공,KE9506,FRA(프랑크푸르트),13:05,13:43,13:21,화물,지연,,
티웨이항공,TW614,SHE(심양),13:10,13:54,13:43,여객,지연,,
아시아나항공,OZ542,FRA(프랑크푸르트),13:20,13:37,13:23,여객,지연,,
심천항공,ZH633,SZX(선전(심천)),13:40,14:31,14:21,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ588,BRU(브뤼셀),13:50,14:33,14:24,화물,지연,,
대한항공,KE9576,MXP(밀라노),14:05,15:21,15:11,화물,지연,,
캐세이퍼시픽항공,CX410,HKG(홍콩),14:10,14:30,14:18,여객,지연,[기상]출발공항 시정 악화(운고 포함),
에어서울,RS706,NRT(도쿄/나리타),14:10,15:26,15:14,여객,지연,,
아시아나항공,OZ934,HAN(노이바이(하노이)),14:25,14:50,14:40,화물,지연,,
아시아나항공,OZ362,PVG(푸동),14:30,14:59,14:44,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대만구항공,HB760,HKG(홍콩),14:35,14:53,14:45,여객,지연,ATFM(항공로 공표 수용능력 저하),
대한항공,KE262,SEA(시애틀),14:50,15:59,15:49,화물,지연,,
제주항공,7C2602,TPE(타이완 타오위안 국제 공항),15:15,15:44,15:32,여객,지연,,
홍콩익스프레스,UO630,HKG(홍콩),15:20,15:47,15:38,여객,지연,항공기 연결(도착지연),
대한항공,KE756,OKA(오키나와),15:20,15:51,15:43,여객,지연,ATFM(항공로 공표 수용능력 저하),
대한항공,KE9208,LAX(로스앤젤레스),15:25,16:58,16:46,화물,지연,,
대한항공,KE510,AMS(암스테르담),15:35,15:56,15:46,화물,지연,,
에어인천,KJ232,YNT(연대),15:35,16:08,15:48,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
중국동방항공,MU559,TAO(청도),15:35,17:51,17:40,여객,지연,항공기 연결(도착지연),
대한항공,KE742,NGO(나고야),15:45,16:03,15:57,여객,지연,기타(접속 관련),
대한항공,KE916,BCN(바르셀로나),16:10,16:39,16:28,여객,지연,,
에어서울,RS702,NRT(도쿄/나리타),16:10,16:43,16:33,여객,지연,,
샤먼항공,MF877,FOC(푸저우(복주)),16:20,16:59,16:54,여객,지연,항공기 연결(도착지연),
베트남항공,VN402,SGN(호찌민),16:25,16:44,16:36,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대한항공,KE704,NRT(도쿄/나리타),16:30,17:18,17:12,여객,지연,,
아틀라스화물항공,5Y9110,GUM(괌),16:30,17:37,17:29,,지연,항공기 연결(도착지연),
베트남항공,VN414,HAN(노이바이(하노이)),16:35,17:06,16:55,여객,지연,"운항통제(항로변경, 회항, 항공기 교체)",
중국국제항공,CA125,PEK(베이징),16:35,17:16,17:01,여객,지연,"공항, 관제 사유 접속 지연",
제주항공,7C1105,NRT(도쿄/나리타),16:35,17:25,17:15,여객,지연,,
대한항공,KE898,PVG(푸동),16:45,17:19,17:07,여객,지연,,
대만구항공,HB2762,HKG(홍콩),16:45,17:21,17:11,여객,지연,ATFM(항공로 공표 수용능력 저하),
아시아나항공,OZ702,MNL(마닐라),16:55,17:17,17:05,여객,지연,[기상]항공로 또는 대체공항,
티웨이항공,TW252,CTS(삿포로),17:00,17:34,17:26,여객,지연,,
대한항공,KE172,HKG(홍콩),17:00,17:55,17:43,여객,지연,기타(지연코드 외),
대한항공,KE766,CTS(삿포로),17:05,17:39,17:32,여객,지연,,
상해항공,FM827,PVG(푸동),17:25,17:46,17:38,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
아시아나항공,OZ722,HKG(홍콩),17:30,18:54,18:42,여객,지연,,
대한항공,KE828,SZX(선전(심천)),17:35,18:03,17:53,여객,지연,,
터키항공,TK90,IST(이스탄불),17:40,18:04,17:52,여객,지연,ATFM(항공로 공표 수용능력 저하),
아시아나항공,OZ271,SEA(시애틀),17:45,18:09,18:00,여객,지연,,
대한항공,KE402,SYD(시드니),17:45,18:06,17:56,여객,지연,ATFM(항공로 공표 수용능력 저하),
티웨이항공,TW116,HKG(홍콩),17:55,19:04,18:54,여객,지연,,
티웨이항공,TW274,HSG(사가),18:05,18:27,18:20,여객,지연,,
아시아나항공,OZ360,HGH(항저우),18:10,18:29,18:18,여객,지연,[기상]항공로 또는 대체공항,
제주항공,7C2102,HKG(홍콩),18:15,19:13,19:03,여객,지연,,
티웨이항공,TW294,FUK(후쿠오카),18:35,18:58,18:49,여객,지연,,
중국동방항공,MU2989,WUX(수난 슈오팡 국제공항),18:40,18:50,18:48,여객,지연,항공기 연결(도착지연),
내셔널 항공,N8818,BKK(수안나폼(방콕)),18:40,19:54,19:44,,지연,항공기 연결(도착지연),
대한항공,KE174,HKG(홍콩),18:50,19:27,19:20,여객,지연,,
제주항공,7C1801,OKA(오키나와),18:55,19:18,19:07,여객,지연,,
아시아나항공,OZ602,SYD(시드니),19:05,19:10,19:12,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
제주항공,7C1403,FUK(후쿠오카),19:05,19:24,19:15,여객,지연,,
캐세이퍼시픽항공,CX418,HKG(홍콩),19:15,19:39,19:27,여객,지연,[기상]출발공항 강한 바람,
아시아나항공,OZ366,PVG(푸동),19:20,20:05,19:53,여객,지연,,
진에어,LJ238,KIX(간사이),19:20,19:38,19:30,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ732,SGN(호찌민),19:25,20:02,19:52,여객,지연,[기상]항공로 또는 대체공항,
비엣젯항공,VJ860,SGN(호찌민),19:25,20:35,20:24,여객,지연,항공기 연결(도착지연),
대한항공,KE8386,HAN(노이바이(하노이)),19:25,19:49,19:38,화물,지연,,
유피에스화물항공,5X505,TPE(타이완 타오위안 국제 공항),19:30,19:59,19:48,화물,지연,"공항, 관제 사유 접속 지연",
진에어,LJ266,FUK(후쿠오카),19:40,20:11,20:04,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
에어서울,RS812,DYG(장가계),19:55,21:19,21:12,여객,지연,,
피치항공,MM709,KIX(간사이),20:05,20:24,20:13,여객,지연,항공기 연결(도착지연),
제주항공,7C1281,FSZ(시즈오카),20:10,20:46,20:35,여객,지연,,
에어부산,BX187,CTS(삿포로),20:20,20:50,20:39,여객,지연,,
티웨이항공,TW286,KIX(간사이),20:20,21:07,20:55,여객,지연,,
콴타스항공,QF87,SYD(시드니),20:25,20:48,20:32,여객,지연,ATFM(항공로 공표 수용능력 저하),
중국동방항공,MU2043,TAO(청도),20:40,22:31,22:20,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ714,TPE(타이완 타오위안 국제 공항),20:40,20:58,20:43,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
산동항공,SC4621,TAO(청도),20:45,21:58,21:46,여객,지연,항공기 연결(도착지연),
에어인천,KJ518,SIN(싱가포르),20:45,21:09,20:58,화물,지연,"공항, 관제 사유 접속 지연",
진에어,LJ268,FUK(후쿠오카),20:55,21:13,21:06,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
에어서울,RS716,KIX(간사이),21:00,21:31,21:21,여객,지연,,
진에어,LJ240,KIX(간사이),21:00,21:18,21:10,여객,지연,"공항, 관제 사유 접속 지연",
제주항공,7C1103,NRT(도쿄/나리타),21:10,21:42,21:32,여객,지연,,
캐세이퍼시픽항공,CX416,HKG(홍콩),21:15,21:32,21:20,여객,지연,항공기 연결(도착지연),
산동항공,SC7683,YNT(연대),21:15,22:12,22:05,여객,지연,항공기 연결(도착지연),
이스타항공,ZE604,NRT(도쿄/나리타),21:15,21:35,21:29,여객,지연,항공기 연결(도착지연),
티웨이항공,TW502,SYD(시드니),21:30,22:58,22:47,여객,지연,,
아틀라스화물항공,5Y654,HKG(홍콩),21:35,22:16,22:08,화물,지연,항공기 연결(도착지연),
홍콩익스프레스,UO626,HKG(홍콩),21:35,23:08,23:00,여객,지연,항공기 연결(도착지연),
중국국제항공,CA709,PEK(베이징),21:45,23:05,22:48,여객,지연,[기상]기타 기상 악화,
중국남방항공,CZ339,HAK(하이커우),21:45,22:03,21:52,여객,지연,,
제주항공,7C1107,NRT(도쿄/나리타),22:00,22:34,22:25,여객,지연,,
싱가폴항공,SQ606,SIN(싱가포르),22:20,22:44,22:27,여객,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8107,ORD(시카고),22:35,22:53,22:44,화물,지연,항공기 연결(도착지연),
산동항공,SC4617,TAO(청도),22:45,23:03,22:45,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ838,CXR(깜라인(나트랑)),22:45,23:03,22:55,여객,지연,,
아틀라스화물항공,5Y537,CVG(신시내티),23:05,:,:,화물,취소,기타(지연코드 외),
에어서울,RS704,NRT(도쿄/나리타),23:10,23:27,23:20,여객,지연,,
아틀라스화물항공,5Y8933,JFK(뉴욕),23:30,:,:,화물,취소,기타(지연코드 외),
