항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
실크웨이웨스트항공,7L128,GYD(헤이다르 알리예프),00:05,05:00,04:50,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,01:09,01:01,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y515,ORD(시카고),01:05,03:16,03:07,화물,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO916,CVG(신시내티),01:30,01:48,01:36,화물,지연,항공기 연결(도착지연),NaN
내셔널 항공,N8662,CAN(광저우),04:05,:,:,NaN,취소,기타(화물 관련),NaN
피치항공,MM809,HND(하네다),04:40,05:13,05:06,여객,지연,항공기 연결(도착지연),NaN
티웨이항공,TW190,KLO(칼리보),04:45,05:09,04:59,여객,지연,NaN,NaN
대한항공,KE454,HAN(노이바이(하노이)),04:55,05:29,05:21,여객,지연,영업 사유 접속 지연,NaN
아틀라스화물항공,5Y9491,LAX(로스앤젤레스),04:55,21:55,:,화물,취소,기타(지연코드 외),NaN
아시아나항공,OZ322,CSX(창사(장사)),04:55,05:11,04:58,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE486,PQC(푸꾸옥),05:05,05:29,05:21,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
대한항공,KE616,CEB(세부),05:35,05:54,05:47,여객,지연,NaN,NaN
대한항공,KE462,DAD(다낭),05:35,05:56,05:48,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ002,BKK(수안나폼(방콕)),05:40,06:03,05:53,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),05:40,06:31,06:21,여객,지연,보안 사유 접속 지연,NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:32,06:23,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE518,CNX(치앙마이),05:45,06:40,06:30,여객,지연,항공기 연결(도착지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:23,06:14,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),05:50,06:14,06:05,여객,지연,NaN,NaN
