항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8474,JFK(뉴욕),00:15,22:15,:,화물,취소,기타(지연코드 외),NaN
에어로로직,3S582,LEJ(라이프치히),00:25,00:43,00:36,화물,지연,항공기 연결(도착지연),
이스타항공,ZE872,PVG(푸동),03:30,04:12,04:04,여객,지연,항공기 연결(도착지연),
폴라에어카고,PO224,CVG(신시내티),03:35,23:35,:,화물,취소,기타(지연코드 외),
대한항공,KE696,KTM(카트만두),04:45,05:56,05:48,여객,지연,급유 및 배유,
아틀라스화물항공,5Y523,MIA(마이애미),05:10,22:10,:,화물,취소,기타(지연코드 외),
칼리타항공,K4626,LAX(로스앤젤레스),05:20,08:54,08:39,화물,지연,항공기 연결(도착지연),
카고룩스항공,CV7223,LUX(룩셈부르크 핀델 공항),05:30,06:17,06:11,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ864,SGN(호찌민),05:45,06:52,06:44,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ358,CAN(광저우),05:45,06:57,06:52,여객,지연,,
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:38,07:29,여객,지연,항공기 연결(도착지연),
제주항공,7C4206,CNX(치앙마이),05:50,06:09,06:02,여객,지연,,
대한항공,KE316,PVG(푸동),05:55,07:47,07:41,화물,지연,,
제주항공,7C2108,HKG(홍콩),06:00,06:47,06:40,여객,지연,,
아틀라스화물항공,5Y8791,JFK(뉴욕),06:15,06:43,06:36,,지연,,
대한항공,KE626,MNL(마닐라),06:15,06:38,06:30,여객,지연,,
폴란드항공,LO97,WAW(바르샤바),06:20,06:45,06:38,여객,지연,"탑승(승객 불일치, 승객 수속오류, 수속 완료된 승객 소재불명)",
진에어,LJ722,MFM(마카오),06:25,06:47,06:35,여객,지연,"공항, 관제 사유 접속 지연",
타이항공,TG658,BKK(수안나폼(방콕)),06:35,06:53,06:47,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ796,FRA(프랑크푸르트),06:35,11:14,11:08,화물,지연,정비 사유 접속 지연,
페덱스화물항공,FX5159,MEM(멤피스),06:45,07:04,06:55,화물,지연,기타(화물 관련),
이스타항공,ZE594,DAD(다낭),06:55,07:17,07:11,여객,지연,ATFM(항공로 공표 수용능력 저하),
제주항공,7C2406,CEB(세부),06:55,07:27,07:18,여객,지연,,
마스에어,M73926,WUX(수난 슈오팡 국제공항),07:00,07:29,07:21,,지연,항공기 연결(도착지연),
에어서울,RS512,DAD(다낭),07:05,07:43,07:35,여객,지연,,
티웨이항공,TW118,HKG(홍콩),07:05,07:28,07:20,여객,지연,,
아시아나항공,OZ740,PNH(프놈펜),07:10,08:09,08:04,여객,지연,,
대한항공,KE690,PNH(프놈펜),07:15,07:33,07:23,여객,지연,,
제주항공,7C4304,VTE(비엔티안),07:20,07:39,07:32,여객,지연,,
진에어,LJ092,PQC(푸꾸옥),07:20,07:52,07:47,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ032,CEB(세부),07:25,07:48,07:36,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:04,07:52,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
티웨이항공,TW624,HAK(하이커우),07:40,08:05,07:58,여객,지연,,
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:04,07:56,화물,지연,,
유피에스화물항공,5X196,ANC(앵커리지),07:55,08:14,08:07,화물,지연,항공기 연결(도착지연),
