항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
에어아시아버하드,AK1623,BKI(코타키나발루),00:05,06:07,05:59,여객,지연,기타(지연코드 외),NaN
폴라에어카고,PO963,CVG(신시내티),00:35,22:35,:,화물,취소,기타(지연코드 외),NaN
대한항공,KE854,PEK(베이징),00:45,03:40,03:32,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C1107,NRT(도쿄/나리타),01:10,01:44,01:39,여객,지연,항공사 시스템 사유 접속 지연,NaN
산동항공,SC8003,TNA(지난),01:20,02:30,02:25,여객,지연,항공기 연결(도착지연),NaN
중국국제항공,CA709,PEK(베이징),01:35,03:50,03:45,여객,지연,"공항, 관제 사유 접속 지연",NaN
말레이시아항공,MH034,KUL(쿠알라룸푸르),01:40,01:56,01:51,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C062,CJU(제주),01:50,02:23,02:08,여객,지연,NaN,NaN
이스타항공,ZE152,CJU(제주),01:50,03:43,03:36,여객,지연,항공기 정비(계획되지 않은 정비),NaN
아틀라스화물항공,5Y8523,HKG(홍콩),02:10,03:13,03:06,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8065,ORD(시카고),03:00,04:19,04:11,화물,지연,항공기 연결(도착지연),NaN
이스타항공,ZE872,PVG(푸동),03:30,07:30,07:22,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8196,JFK(뉴욕),04:00,04:23,04:16,NaN,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:20,07:08,07:02,여객,지연,항공사 시스템 사유 접속 지연,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,07:04,06:58,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:35,05:16,05:08,여객,지연,NaN,NaN
아시아나항공,OZ322,CSX(창사(장사)),04:45,05:12,05:04,여객,지연,항공기 연결(도착지연),NaN
이스타항공,ZE582,PQC(푸꾸옥),04:55,06:24,06:17,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ880,DAD(다낭),05:00,05:22,05:17,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE696,KTM(카트만두),05:15,05:41,05:30,여객,지연,NaN,NaN
필리핀항공,PR466,MNL(마닐라),05:20,06:59,06:53,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE178,HKG(홍콩),05:25,05:48,05:37,여객,지연,NaN,NaN
대한항공,KE456,HAN(노이바이(하노이)),05:25,05:42,05:34,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE462,DAD(다낭),05:30,05:54,05:48,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
비엣젯항공,VJ962,HAN(노이바이(하노이)),05:30,05:59,05:51,여객,지연,항공기 연결(도착지연),NaN
내셔널 항공,N8834,ALA(알마티),05:40,08:00,07:48,화물,지연,[기상]기타 기상 악화,NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,07:58,07:50,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:45,06:49,06:44,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4206,CNX(치앙마이),05:50,06:58,06:51,여객,지연,항공사 시스템 사유 접속 지연,NaN
에어서울,RS582,TAG(팡라로),05:50,08:01,07:52,여객,지연,기상 사유 접속 지연,NaN
대한항공,KE316,PVG(푸동),05:55,08:08,08:03,화물,지연,NaN,NaN
이스타항공,ZE512,BKK(수안나폼(방콕)),06:00,11:18,11:10,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),06:00,10:19,10:12,여객,지연,항공사 시스템 사유 접속 지연,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:43,06:36,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE170,MFM(마카오),06:00,06:27,06:19,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ926,HPH(카트비),06:15,07:13,07:05,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y529,MIA(마이애미),06:20,22:20,:,화물,취소,기타(지연코드 외),NaN
제주항공,7C4104,PQC(푸꾸옥),06:25,08:07,07:59,여객,지연,항공사 시스템 사유 접속 지연,NaN
