
항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고에어아시아버하드,AK1623,BKI(코타키나발루),00:05,01:02,00:56,여객,지연,항공기 연결(도착지연),NaN
폴란드항공,LO2005,WRO(코페르니쿠스 공항 브로츠와프),10:50,11:14,11:07,여객,지연,항공기 정비(계획되지 않은 정비),
진에어,LJ350,KKJ(기타규슈),10:55,11:11,11:01,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ115,KIX(간사이),11:00,11:17,11:12,여객,지연,,
진에어,LJ262,FUK(후쿠오카),11:10,11:32,11:26,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
중국남방항공,CZ313,PVG(푸동),11:20,13:07,13:00,여객,지연,항공기 연결(도착지연),
대한항공,KE788,FUK(후쿠오카),12:00,12:19,12:07,여객,지연,,
전일본공수 주식회사,NH8475,NRT(도쿄/나리타),12:35,12:58,12:44,화물,지연,항공기 정비(계획되지 않은 정비),
진에어,LJ232,KIX(간사이),12:35,12:57,12:52,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ111,KIX(간사이),12:40,13:49,13:41,여객,지연,,
대한항공,KE8592,MAD(마드리드),12:40,14:22,14:16,화물,지연,,
내셔널 항공,N8520,HKG(홍콩),12:45,13:12,13:03,,지연,항공기 연결(도착지연),
이스타항공,ZE612,KIX(간사이),13:00,14:07,14:01,여객,지연,항공기 연결(도착지연),
대한항공,KE9934,ATH(아테네),13:05,13:21,13:10,여객,지연,,
중국남방항공,CZ6073,YNJ(연길),13:25,15:06,14:58,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ328,TSN(천진),13:30,14:41,14:33,여객,지연,,
아시아나항공,OZ952,HAN(노이바이(하노이)),13:30,14:31,14:25,화물,지연,,
아틀라스화물항공,5Y9554,ORD(시카고),13:30,14:31,14:22,화물,지연,항공기 연결(도착지연),
중국남방항공,CZ3089,SZX(선전(심천)),13:40,16:06,15:59,여객,지연,"공항시설(주기장 부족, 혼잡 등)",
심천항공,ZH9033,SZX(선전(심천)),13:40,17:31,17:25,여객,지연,[기상]기타 기상 악화,
페덱스화물항공,FX5432,MEM(멤피스),13:40,14:07,13:50,화물,지연,화물 연결,
대한항공,KE256,DFW(댈러스),14:00,21:26,21:21,화물,지연,기타(접속 관련),
대한항공,KE9576,MXP(밀라노),14:05,14:35,14:28,화물,지연,,
진에어,LJ732,TPE(타이완 타오위안 국제 공항),14:05,14:28,14:20,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
몽골항공,OM7303,UBN(칭기즈 칸(신 울란바토르) 국제공항),14:15,14:50,14:44,화물,지연,화물 연결,
대한항공,KE234D,SEA(시애틀),14:30,16:33,16:25,화물,지연,기타(지연코드 외),
아시아나항공,OZ562,FCO(로마),14:40,14:58,14:47,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
제주항공,7C2602,TPE(타이완 타오위안 국제 공항),15:15,15:34,15:27,여객,지연,,
아틀라스화물항공,5Y8709,LAX(로스앤젤레스),15:25,21:45,21:38,화물,지연,항공기 연결(도착지연),
타이항공,TG652,BKK(수안나폼(방콕)),15:25,15:47,15:41,여객,지연,ATFM(항공로 공표 수용능력 저하),
대한항공,KE742,NGO(나고야),15:45,16:04,15:56,여객,지연,운송(PO) 사유 접속 지연,
에어프레미아,YP102,LAX(로스앤젤레스),15:45,16:06,16:00,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
진에어,LJ206,NRT(도쿄/나리타),15:45,16:01,15:52,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
진에어,LJ264,FUK(후쿠오카),15:50,16:55,16:46,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE902,CDG(파리),15:55,16:24,16:12,여객,지연,,
대한항공,KE916,BCN(바르셀로나),16:10,16:32,16:23,여객,지연,,
진에어,LJ342,OKA(오키나와),16:15,16:36,16:29,여객,지연,"공항, 관제 사유 접속 지연",
중국남방항공,CZ695,DLC(대련),16:15,16:48,16:41,여객,지연,항공기 연결(도착지연),
베트남항공,VN402,SGN(호찌민),16:25,17:06,16:58,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
대한항공,KE704,NRT(도쿄/나리타),16:30,17:11,17:01,여객,지연,,
제주항공,7C1105,NRT(도쿄/나리타),16:35,17:11,17:06,여객,지연,,
중국국제항공,CA125,PEK(베이징),16:35,19:17,19:11,여객,지연,기타(지연코드 외),
대한항공,KE508,ARN(스톡홀름),16:40,19:09,19:03,화물,지연,"공항, 관제 사유 접속 지연",
대한항공,KE928,MXP(밀라노),16:45,17:05,16:57,여객,지연,,
제주항공,7C1703,MYJ(마쓰야마),16:55,17:26,17:19,여객,지연,,
에미레이트항공,EK322,DXB(두바이),17:00,17:32,17:17,여객,지연,[기상]기타 기상 악화,
아시아나항공,OZ370,CAN(광저우),17:00,17:48,17:43,여객,지연,[기상]기타 기상 악화,
티웨이항공,TW252,CTS(삿포로),17:00,17:32,17:28,여객,지연,,
대한항공,KE766,CTS(삿포로),17:05,17:41,17:30,여객,지연,기타(지연코드 외),
대한항공,KE866,CAN(광저우),17:15,17:42,17:35,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ722,HKG(홍콩),17:30,18:13,17:48,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE844,TAO(청도),17:30,17:47,17:37,여객,지연,,
터키항공,TK90,IST(이스탄불),17:40,18:04,17:57,여객,지연,항공기 연결(도착지연),
대한항공,KE402,SYD(시드니),17:45,18:01,17:53,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
대한항공,KE408,BNE(브리즈번),17:45,18:04,17:56,여객,지연,항공기 연결(도착지연),
티웨이항공,TW214,NRT(도쿄/나리타),17:50,18:40,18:32,여객,지연,,
아시아나항공,OZ360,HGH(항저우),18:10,18:29,18:24,여객,지연,,
아시아나항공,OZ340,HRB(하얼빈),18:15,18:35,18:29,여객,지연,,
아시아나항공,OZ103,NRT(도쿄/나리타),18:35,18:52,18:45,여객,지연,,
중국동방항공,MU2989,WUX(수난 슈오팡 국제공항),18:40,19:36,19:29,여객,지연,항공기 연결(도착지연),
제주항공,7C1111,NRT(도쿄/나리타),18:45,19:00,18:53,여객,지연,,
아시아나항공,OZ602,SYD(시드니),19:05,19:52,19:46,여객,지연,[기상]항공로 또는 대체공항,
제주항공,7C1403,FUK(후쿠오카),19:05,19:27,19:21,여객,지연,,
아틀라스화물항공,5Y9787,LAX(로스앤젤레스),19:10,20:10,:,화물,취소,기타(지연코드 외),
아시아나항공,OZ366,PVG(푸동),19:20,20:02,19:57,여객,지연,,
비엣젯항공,VJ860,SGN(호찌민),19:25,19:44,19:36,여객,지연,항공기 연결(도착지연),
