항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),02:00,05:23,05:13,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8630,CVG(신시내티),03:45,04:23,04:16,화물,지연,항공기 연결(도착지연),
대한항공,KE456,HAN(노이바이(하노이)),04:55,05:20,05:11,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
진에어,LJ008,CNX(치앙마이),04:55,05:38,05:27,여객,지연,"공항, 관제 사유 접속 지연",
스리랑칸항공,UL470,CMB(반다라나이케),04:55,10:07,09:55,여객,지연,항공기 연결(도착지연),
티웨이항공,TW132,VTE(비엔티안),05:00,05:57,05:45,여객,지연,,
아시아나항공,OZ948,PVG(푸동),05:00,06:11,06:02,화물,지연,항공기 연결(도착지연),
에어로로직,3S580,LEJ(라이프치히),05:10,06:30,06:22,화물,지연,항공기 연결(도착지연),
대한항공,KE696,KTM(카트만두),05:25,05:42,05:32,여객,지연,,
진에어,LJ004,BKK(수안나폼(방콕)),05:40,06:03,05:53,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:22,06:10,여객,지연,,
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,08:41,08:29,여객,지연,항공기 연결(도착지연),
제주항공,7C2108,HKG(홍콩),05:55,06:26,06:16,여객,지연,,
대한항공,KE498,DEL(델리),06:00,14:52,14:44,여객,지연,기체손상(비행 중),
진에어,LJ038,PQC(푸꾸옥),06:10,06:31,06:26,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW170,BKI(코타키나발루),06:10,07:00,06:52,여객,지연,,
대한항공,KE476,SGN(호찌민),06:10,06:50,06:40,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE668,CNX(치앙마이),06:15,06:33,06:24,여객,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,07:09,06:57,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
티웨이항공,TW118,HKG(홍콩),06:40,07:32,07:22,여객,지연,,
진에어,LJ722,MFM(마카오),06:40,07:06,06:54,여객,지연,"공항, 관제 사유 접속 지연",
필리핀항공,PR492,CRK(클라크 국제공항),06:55,07:37,07:27,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ742,BKK(수안나폼(방콕)),06:55,07:12,07:01,여객,지연,,
아시아나항공,OZ736,SGN(호찌민),06:55,07:09,06:59,여객,지연,,
에어서울,RS512,DAD(다낭),07:05,07:18,07:07,여객,지연,,
이스타항공,ZE594,DAD(다낭),07:10,07:45,07:34,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ710,CEB(세부),07:10,08:02,07:53,여객,지연,정비 사유 접속 지연,
중국센트럴항공,I99821,WEH(위해),07:15,10:41,10:25,화물,지연,화물 연결,
대한항공,KE690,PNH(프놈펜),07:20,08:09,08:01,여객,지연,,
진에어,LJ122,VTE(비엔티안),07:20,07:36,07:31,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ740,PNH(프놈펜),07:30,08:06,07:55,여객,지연,,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,09:54,09:43,여객,지연,항공기 연결(도착지연),
스카이 앙코르 항공,ZA215,PNH(프놈펜),07:40,08:03,07:52,여객,지연,[기상]목적공항 강한바람,
대한항공,KE992,TAS(타슈켄트),07:40,07:48,07:40,여객,지연,,
