항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8240,JFK(뉴욕),00:35,01:06,01:01,NaN,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y515,ORD(시카고),01:05,01:21,01:16,화물,지연,항공기 연결(도착지연),NaN
티웨이항공,TW9730,CJU(제주),01:15,01:39,01:29,여객,지연,NaN,NaN
폴라에어카고,PO916,CVG(신시내티),01:30,22:30,:,화물,취소,기타(지연코드 외),NaN
대한항공,KE208,LAX(로스앤젤레스),04:05,05:40,05:31,화물,지연,NaN,NaN
대한항공,KE624,MNL(마닐라),04:20,04:54,04:47,여객,지연,NaN,NaN
대한항공,KE012,LAX(로스앤젤레스),05:10,05:33,05:24,여객,지연,NaN,NaN
아시아나항공,OZ203,LAX(로스앤젤레스),05:20,06:22,06:12,여객,지연,[기상]항공로 또는 대체공항,NaN
미얀마 항공,UB8301,RGN(양곤),05:20,05:50,05:40,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE006,LAS(라스베이거스),05:20,06:06,05:58,여객,지연,기타(지연코드 외),NaN
비엣젯항공,VJ864,SGN(호찌민),05:25,06:31,06:22,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ211,SFO(샌프란시스코),05:30,06:04,05:54,여객,지연,[기상]항공로 또는 대체공항,NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),05:40,06:34,06:25,여객,지연,보안검색(의무),NaN
델타항공,DL27,ATL(애틀랜타),05:45,06:45,06:35,여객,지연,항공기 정비(정비 스케줄 지연),NaN
에어서울,RS582,TAG(팡라로),05:50,06:58,06:50,여객,지연,NaN,NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:28,06:18,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE316,PVG(푸동),06:05,06:20,06:09,화물,지연,NaN,NaN
아시아나항공,OZ281,LAX(로스앤젤레스),06:05,15:03,14:52,화물,지연,정비 사유 접속 지연,NaN
이스타항공,ZE512,BKK(수안나폼(방콕)),06:20,09:37,09:27,여객,지연,항공기 연결(도착지연),NaN
