항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
대한항공,KE9208,LAX(로스앤젤레스),01:15,02:13,02:04,화물,지연,NaN,NaN.1
아틀라스화물항공,5Y654,HKG(홍콩),01:20,01:35,01:27,화물,지연,항공기 연결(도착지연),
폴라에어카고,PO224,CVG(신시내티),03:35,20:35,:,화물,취소,기타(지연코드 외),
유나이티드항공,UA805,SFO(샌프란시스코),04:20,04:42,04:36,여객,지연,기타(접속 관련),
제주항공,7C2306,MNL(마닐라),04:20,04:52,04:44,여객,지연,,
카고룩스 이탈리아,C87112,MXP(밀라노),04:20,07:35,07:25,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,04:52,04:41,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ880,DAD(다낭),05:00,05:27,05:19,여객,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8709,LAX(로스앤젤레스),05:15,18:09,18:01,화물,지연,항공기 연결(도착지연),
미얀마 항공,UB8301,RGN(양곤),05:20,05:34,05:24,여객,지연,,
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,07:25,07:15,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ878,DAD(다낭),06:00,06:24,06:13,여객,지연,항공기 연결(도착지연),
대한항공,KE626,MNL(마닐라),06:15,08:04,07:53,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
아틀라스화물항공,5Y8086,ORD(시카고),06:25,10:52,10:35,화물,지연,항공기 연결(도착지연),
대한항공,KE652,BKK(수안나폼(방콕)),06:55,07:06,06:59,여객,지연,기타(지연코드 외),
에어서울,RS512,DAD(다낭),07:05,08:59,08:48,여객,지연,"공항, 관제 사유 접속 지연",
마스에어,M73629,HGH(항저우),07:05,08:14,08:05,,지연,항공기 연결(도착지연),
아시아나항공,OZ740,PNH(프놈펜),07:10,07:50,07:38,여객,지연,,
말레이시아항공,MH066,KUL(쿠알라룸푸르),07:10,07:31,07:18,여객,지연,항공기 결함,
아시아나항공,OZ736,SGN(호찌민),07:10,07:47,07:35,여객,지연,,
아시아나항공,OZ948,PVG(푸동),07:25,08:33,08:15,화물,지연,,
진에어,LJ088,CXR(깜라인(나트랑)),07:30,07:57,07:45,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:29,08:17,여객,지연,항공기 연결(도착지연),
진에어,LJ082,DAD(다낭),08:00,08:17,08:12,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE320,CAN(광저우),08:25,11:20,11:10,화물,지연,,
진에어,LJ002,BKK(수안나폼(방콕)),08:25,09:13,09:01,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE336,PVG(푸동),08:35,09:25,09:07,화물,지연,,
프랑스항공,AF264,CDG(파리),08:40,09:01,08:52,여객,지연,,
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:13,09:03,여객,지연,,
터키항공,TK20,IST(이스탄불),08:45,08:56,08:46,여객,지연,기타(접속 관련),
페덱스화물항공,FX5434,MEM(멤피스),08:55,09:36,09:17,화물,지연,항공기 연결(도착지연),
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,09:10,08:58,여객,지연,,
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,10:25,10:12,여객,지연,,
