항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8675,JFK(뉴욕),00:05,00:30,00:31,화물,지연,항공기 연결(도착지연),NaN
에어프레미아,YP102,LAX(로스앤젤레스),00:45,01:38,01:29,여객,지연,항공기 정비(계획되지 않은 정비),
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),01:00,17:51,17:41,화물,지연,항공기 연결(도착지연),
칼리타항공,K4626,LAX(로스앤젤레스),01:20,01:43,01:24,화물,지연,,
칼리타항공,K4614,CVG(신시내티),01:40,11:50,11:42,화물,지연,항공기 연결(도착지연),
폴라에어카고,PO212,CVG(신시내티),03:00,18:45,18:29,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ241,SEA(시애틀),03:25,04:01,03:55,화물,지연,기타(접속 관련),
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),
제주항공,7C2306,MNL(마닐라),04:20,04:52,04:47,여객,지연,,
대한항공,KE316,PVG(푸동),05:55,07:02,06:55,화물,지연,[기상]출발공항 지상조업(악기상),
대한항공,KE498,DEL(델리),06:20,06:52,06:44,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW176,CEB(세부),06:35,07:12,07:05,여객,지연,,
아시아나항공,OZ398,SIN(싱가포르),06:50,10:35,10:23,화물,지연,기타(접속 관련),
아시아나항공,OZ283,SFO(샌프란시스코),06:50,09:28,09:22,화물,지연,,
이스타항공,ZE594,DAD(다낭),06:55,07:26,07:18,여객,지연,ATFM(항공로 공표 수용능력 저하),
에어서울,RS512,DAD(다낭),07:05,09:47,09:38,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ740,PNH(프놈펜),07:10,07:56,07:51,여객,지연,,
대한항공,KE690,PNH(프놈펜),07:15,07:43,07:35,여객,지연,항공기 연결(도착지연),
진에어,LJ032,CEB(세부),07:25,09:27,07:47,여객,지연,"공항시설(주기장 부족, 혼잡 등)",
진에어,LJ088,CXR(깜라인(나트랑)),07:30,07:52,07:38,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ776,FRA(프랑크푸르트),07:40,09:54,09:42,화물,지연,정비 사유 접속 지연,
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:25,08:12,화물,지연,,
아시아나항공,OZ802A,GMP(김포),07:45,:,:,,취소,기타(항공기 정비 관련),
진에어,LJ082,DAD(다낭),08:00,09:08,08:55,여객,지연,ATFM(항공로 공표 수용능력 저하),
제주항공,7C2904,DAD(다낭),08:05,09:32,09:24,여객,지연,,
아시아나항공,OZ5645,ATH(아테네),08:10,08:58,08:50,여객,지연,,
대한항공,KE214,LAX(로스앤젤레스),08:10,12:50,12:45,화물,지연,항공기 연결(도착지연),
티웨이항공,TW128,DAD(다낭),08:35,09:17,09:10,여객,지연,,
제주항공,7C2204,BKK(수안나폼(방콕)),08:40,09:08,09:00,여객,지연,,
칼리타항공,K4963,NGB(닝보),08:45,09:03,08:46,,지연,,
페덱스화물항공,FX5434,MEM(멤피스),08:55,09:48,09:39,화물,지연,[기상]출발공항 시정 악화(운고 포함),
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:35,09:57,09:46,여객,지연,,
내셔널 항공,N84810,ANC(앵커리지),09:35,:,:,화물,취소,항공기 정비(계획되지 않은 정비),
독일항공,LH712,FRA(프랑크푸르트),09:55,10:42,10:35,여객,지연,항공기 연결(도착지연),
