항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
내셔널 항공,N8521,HKG(홍콩),00:05,:,:.1,NaN,취소,항공기 정비(계획되지 않은 정비),NaN.1
아시아나항공,OZ954,HAN(노이바이(하노이)),00:05,00:34,00:25,화물,지연,항공기 연결(도착지연),
내셔널 항공,N8808,ANC(앵커리지),00:10,02:36,02:17,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ247,ATL(애틀랜타),00:25,01:04,00:46,화물,지연,[기상]출발공항 제방빙(항공기),
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,01:04,00:54,여객,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8476,LAX(로스앤젤레스),01:20,21:20,:,화물,취소,기타(지연코드 외),
카고룩스 이탈리아,C87117,MXP(밀라노),02:10,02:58,02:39,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ283,SFO(샌프란시스코),02:45,03:27,02:58,화물,지연,기상 사유 접속 지연,
아시아나항공,OZ988,PVG(푸동),03:05,03:34,03:16,화물,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y654,HKG(홍콩),04:05,04:37,04:30,화물,지연,항공기 연결(도착지연),
스리랑칸항공,UL470,CMB(반다라나이케),04:55,06:44,06:33,여객,지연,기타(지연코드 외),
비엣젯항공,VJ880,DAD(다낭),05:05,05:39,05:28,여객,지연,항공기 연결(도착지연),
대한항공,KE178,HKG(홍콩),05:20,05:45,05:36,여객,지연,,
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,06:37,06:25,여객,지연,,
폴라에어카고,PO9698,LAX(로스앤젤레스),05:55,21:55,:,화물,취소,기타(지연코드 외),
필리핀항공,PR484,CEB(세부),06:00,09:00,08:58,여객,지연,항공기 연결(도착지연),
필리핀항공,PR466,MNL(마닐라),06:00,06:23,06:12,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ878,DAD(다낭),06:00,08:07,07:59,여객,지연,항공기 연결(도착지연),
말린도항공,OD820,KUL(쿠알라룸푸르),06:05,07:56,07:50,여객,지연,항공기 연결(도착지연),
티웨이항공,TW308,SPN(사이판),06:10,06:28,06:18,여객,지연,,
아틀라스화물항공,5Y9159,MIA(마이애미),06:20,07:52,07:45,화물,지연,항공기 연결(도착지연),
진에어,LJ030,CRK(클라크 국제공항),06:25,06:44,06:39,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,06:42,06:34,여객,지연,기타(접속 관련),
티웨이항공,TW118,HKG(홍콩),06:40,06:57,06:49,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ7043,CEB(세부),06:50,07:10,07:04,여객,지연,,
