항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8936,JFK(뉴욕),00:05,00:33,00:26,NaN,지연,항공기 연결(도착지연),NaN.1
대한항공,KE154P,CJU(제주),00:05,00:24,00:13,,지연,운송(PO) 사유 접속 지연,
아시아나항공,OZ8496,CJU(제주),00:05,00:25,00:15,여객,지연,정비 사유 접속 지연,
아시아나항공,OZ3625,SHA(상해/홍차우),00:10,00:33,00:24,여객,지연,항공기 연결(도착지연),
칼리타항공,K4612,CVG(신시내티),00:20,01:00,00:52,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,01:08,01:02,여객,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y515,BNA(내슈빌),00:55,08:48,08:29,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ281,LAX(로스앤젤레스),01:40,23:51,23:41,화물,지연,기상 사유 접속 지연,
대한항공,KE9232,ORD(시카고),01:45,02:04,01:53,화물,지연,기타(지연코드 외),
비엣젯항공,VJ944,DLI(달랏),04:15,04:35,04:35,여객,지연,항공기 연결(도착지연),
대한항공,KE624,MNL(마닐라),04:20,04:35,04:27,여객,지연,,
에어로로직,3S582,LEJ(라이프치히),04:25,04:52,04:44,화물,지연,항공기 연결(도착지연),
아시아나항공,OZ2911,ORD(시카고),04:50,05:59,05:50,화물,지연,기상 사유 접속 지연,
아시아나항공,OZ322,CSX(창사(장사)),04:55,05:50,05:38,여객,지연,,
대한항공,KE456,HAN(노이바이(하노이)),04:55,06:03,05:51,여객,지연,기타(접속 관련),
진에어,LJ008,CNX(치앙마이),04:55,05:45,05:39,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ762,DAC(다카),05:00,07:19,07:07,여객,지연,보안점검 요청(기장),
대한항공,KE208,LAX(로스앤젤레스),05:00,06:44,06:34,화물,지연,,
티웨이항공,TW132,VTE(비엔티안),05:00,06:39,06:26,여객,지연,,
비엣젯항공,VJ864,SGN(호찌민),05:25,05:52,05:44,여객,지연,항공기 연결(도착지연),
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),05:30,06:07,05:56,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
베트남항공,VN416,HAN(노이바이(하노이)),05:30,06:15,06:03,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ756,DAD(다낭),05:40,06:09,05:55,여객,지연,,
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:27,06:13,여객,지연,,
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,07:05,06:53,여객,지연,,
제주항공,7C2108,HKG(홍콩),05:55,06:17,06:06,여객,지연,,
에어서울,RS532,KLO(칼리보),05:55,09:18,09:06,여객,지연,"항공기 결함(DF, DG) 사유 접속 지연",
아틀라스화물항공,5Y8795,JFK(뉴욕),06:05,06:38,06:31,,지연,항공기 연결(도착지연),
티웨이항공,TW192,DAD(다낭),06:05,06:35,06:24,여객,지연,,
대한항공,KE316,PVG(푸동),06:05,06:28,06:18,화물,지연,,
에어부산,BX748,BKK(수안나폼(방콕)),06:10,07:33,07:21,여객,지연,,
진에어,LJ038,PQC(푸꾸옥),06:10,06:31,06:23,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW170,BKI(코타키나발루),06:10,07:25,07:17,여객,지연,,
대한항공,KE476,SGN(호찌민),06:10,06:38,06:28,여객,지연,기타(접속 관련),
제주항공,7C4206,CNX(치앙마이),06:20,06:49,06:38,여객,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,06:47,06:39,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ722,MFM(마카오),06:40,08:17,08:12,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW118,HKG(홍콩),06:40,07:49,07:42,여객,지연,,
제주항공,7C3105,GUM(괌),06:40,07:17,07:08,여객,지연,,
아시아나항공,OZ802A,GMP(김포),06:45,07:11,07:00,,지연,,
에어인천,KJ252,CGO(정저우),06:50,07:21,07:10,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
아시아나항공,OZ742,BKK(수안나폼(방콕)),06:55,07:10,07:01,여객,지연,ATFM(항공로 공표 수용능력 저하),
아시아나항공,OZ736,SGN(호찌민),06:55,07:36,07:26,여객,지연,,
에어서울,RS512,DAD(다낭),07:05,09:25,09:13,여객,지연,정비 사유 접속 지연,
이스타항공,ZE594,DAD(다낭),07:10,08:01,07:50,여객,지연,항공기 연결(도착지연),
진에어,LJ006,HKT(푸껫),07:15,08:04,07:52,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
중국센트럴항공,I99821,WEH(위해),07:15,10:42,10:26,화물,지연,화물 연결,
대한항공,KE690,PNH(프놈펜),07:20,08:17,08:06,여객,지연,,
페덱스화물항공,FX5926,MEM(멤피스),07:20,08:59,08:40,화물,지연,화물 연결,
진에어,LJ028,CEB(세부),07:20,08:08,08:00,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ122,VTE(비엔티안),07:20,08:37,08:26,여객,지연,"공항, 관제 사유 접속 지연",
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,08:31,08:19,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ740,PNH(프놈펜),07:30,09:15,09:04,여객,지연,"공항, 관제 사유 접속 지연",
대한항공,KE314,HKG(홍콩),07:40,09:46,09:28,화물,지연,,
아시아나항공,OZ798,MXP(밀라노),07:40,08:04,07:54,화물,지연,항공기 연결(도착지연),
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:10,08:02,화물,지연,,
유피에스화물항공,5X11,SDF(루이즈빌),07:50,08:08,07:57,화물,지연,항공기 연결(도착지연),
티웨이항공,TW176,CEB(세부),07:50,08:14,08:03,여객,지연,,
칼리타항공,K4935,HFE(허페이),08:00,11:05,10:46,,지연,항공기 연결(도착지연),
진에어,LJ070,DAD(다낭),08:05,08:27,08:16,여객,지연,"공항, 관제 사유 접속 지연",
아시아나항공,OZ574,TAS(타슈켄트),08:15,08:55,08:43,여객,지연,[기상]항공로 또는 대체공항,
티웨이항공,TW128,DAD(다낭),08:20,09:09,08:59,여객,지연,,
제주항공,7C2904,DAD(다낭),08:25,08:48,08:37,여객,지연,,
에어부산,BX7145,TAG(팡라로),08:25,09:04,08:53,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,
대한항공,KE654,BKK(수안나폼(방콕)),08:30,08:47,08:35,여객,지연,,
티웨이항공,TW122,SGN(호찌민),08:30,09:42,09:31,여객,지연,,
대한항공,KE336,PVG(푸동),08:35,17:16,17:05,화물,지연,,
대한항공,KE320,CAN(광저우),08:45,13:04,12:47,화물,지연,,
티웨이항공,TW102,BKK(수안나폼(방콕)),08:50,09:13,09:02,여객,지연,,
대한항공,KE646,SIN(싱가포르),08:50,09:25,09:15,여객,지연,,
