항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
대한항공,KE714,NRT(도쿄/나리타),00:05,00:22,00:14,여객,지연,NaN,NaN
대한항공,KE854,PEK(베이징),00:45,01:38,01:28,여객,지연,영업 사유 접속 지연,NaN
산동항공,SC4621,TAO(청도),01:04,01:40,01:26,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,04:30,04:22,여객,지연,항공기 연결(도착지연),NaN
중국남방항공,CZ315,PKX(베이징 다싱 국제공항),01:30,04:03,03:51,여객,지연,[기상]기타 기상 악화,NaN
이스타항공,ZE872,PVG(푸동),03:30,04:29,04:23,여객,지연,항공기 연결(도착지연),NaN
카고룩스 이탈리아,C87112,MXP(밀라노),03:35,05:12,05:06,화물,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
아틀라스화물항공,5Y8193,XMN(샤먼 가오치 국제공항),03:55,15:33,15:26,NaN,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:55,04:48,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2306,MNL(마닐라),04:20,05:54,05:50,여객,지연,NaN,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,05:01,04:55,여객,지연,항공기 연결(도착지연),NaN
델타항공,DL27,ATL(애틀랜타),04:30,05:21,05:11,여객,지연,출발 시스템 오류,NaN
대한항공,KE624,MNL(마닐라),04:35,05:46,05:37,여객,지연,NaN,NaN
아시아나항공,OZ324,TFU(청두 티안푸국제공항),04:50,05:20,05:15,여객,지연,NaN,NaN
진에어,LJ842,HET(후허하오터),05:00,05:24,05:17,여객,지연,"출입국, 세관, 검역(CIQ)",NaN
비엣젯항공,VJ880,DAD(다낭),05:00,05:27,05:20,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE658,BKK(수안나폼(방콕)),05:05,05:50,05:42,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
아시아나항공,OZ7583,DAD(다낭),05:10,05:56,05:48,여객,지연,NaN,NaN
대한항공,KE178,HKG(홍콩),05:25,06:34,06:26,여객,지연,NaN,NaN
대한항공,KE462,DAD(다낭),05:30,06:07,05:56,여객,지연,영업 사유 접속 지연,NaN
