항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y555,JFK(뉴욕),00:05,00:54,00:37,화물,지연,"출입국, 세관, 검역(CIQ)",NaN
에어서울,RS704,NRT(도쿄/나리타),00:20,00:54,00:45,여객,지연,,
마스에어,M73926,WUX(수난 슈오팡 국제공항),00:20,01:06,01:06,,지연,항공기 정비(계획되지 않은 정비),
폴라에어카고,PO213,CVG(신시내티),00:35,21:35,:,화물,취소,기타(지연코드 외),
아시아나항공,OZ221,JFK(뉴욕),00:50,01:13,01:03,여객,지연,[기상]항공로 또는 대체공항,
아시아나항공,OZ954,HAN(노이바이(하노이)),00:55,01:36,01:24,화물,지연,항공기 연결(도착지연),
실크웨이웨스트항공,7L128,GYD(헤이다르 알리예프),01:00,07:28,07:18,화물,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8373,HKG(홍콩),02:30,03:34,03:21,화물,지연,항공기 연결(도착지연),
카고룩스 이탈리아,C87117,MXP(밀라노),03:20,03:41,03:27,화물,지연,항공기 연결(도착지연),
이스타항공,ZE872,PVG(푸동),03:30,04:06,03:58,여객,지연,항공기 연결(도착지연),
칼리타항공,K4961,NGB(닝보),04:15,14:11,14:03,,지연,항공기 연결(도착지연),
제주항공,7C2306,MNL(마닐라),04:20,05:09,04:57,여객,지연,,
아시아나항공,OZ203,LAX(로스앤젤레스),04:20,04:36,04:30,여객,지연,,
델타항공,DL27,ATL(애틀랜타),04:30,05:17,05:08,여객,지연,기타(지연코드 외),
대한항공,KE086,JFK(뉴욕),04:45,05:10,05:05,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
아시아나항공,OZ322,CSX(창사(장사)),04:45,05:26,05:11,여객,지연,,
비엣젯항공,VJ880,DAD(다낭),05:00,05:15,05:04,여객,지연,항공기 연결(도착지연),
대한항공,KE012,LAX(로스앤젤레스),05:00,05:43,05:34,여객,지연,"공항시설(주기장 부족, 혼잡 등)",
아시아나항공,OZ223,JFK(뉴욕),05:10,05:37,05:25,여객,지연,[기상]항공로 또는 대체공항,
필리핀항공,PR466,MNL(마닐라),05:20,05:56,05:45,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ864,SGN(호찌민),05:45,06:35,06:25,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ834,CXR(깜라인(나트랑)),05:45,07:19,07:07,여객,지연,항공기 연결(도착지연),
제주항공,7C4206,CNX(치앙마이),05:50,06:23,06:13,여객,지연,,
스리랑칸항공,UL470,CMB(반다라나이케),06:00,09:49,09:37,여객,지연,항공기 연결(도착지연),
제주항공,7C2108,HKG(홍콩),06:00,06:34,06:22,여객,지연,,
대한항공,KE180,HKG(홍콩),06:00,06:19,06:08,여객,지연,"공항, 관제 사유 접속 지연",
비엣젯항공,VJ878,DAD(다낭),06:00,08:55,08:42,여객,지연,항공기 연결(도착지연),
진에어,LJ132,BKI(코타키나발루),06:10,08:00,07:55,여객,지연,"공항, 관제 사유 접속 지연",
폴란드항공,LO97,WAW(바르샤바),06:20,07:14,07:05,여객,지연,ATFM(항공로 공표 수용능력 저하),
에어부산,BX742,VTE(비엔티안),06:20,07:01,06:51,여객,지연,,
대한항공,KE616,CEB(세부),06:30,09:04,08:52,여객,지연,승무원 탑승 및 출발수속 지연,
진에어,LJ038,CRK(클라크 국제공항),06:30,06:58,06:52,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ722,MFM(마카오),06:30,07:05,06:53,여객,지연,"공항, 관제 사유 접속 지연",
티웨이항공,TW176,CEB(세부),06:35,07:38,07:28,여객,지연,,
타이항공,TG658,BKK(수안나폼(방콕)),06:35,07:35,07:24,여객,지연,항공기 연결(도착지연),
제주항공,7C2508,BKI(코타키나발루),06:45,07:09,07:00,여객,지연,,
제주항공,7C3105,GUM(괌),06:55,07:19,07:11,여객,지연,,
