항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y8240,JFK(뉴욕),00:35,00:58,00:50,NaN,지연,NaN,NaN
카고룩스항공,CV9005,LUX(룩셈부르크 핀델 공항),01:15,08:37,08:15,화물,지연,항공기 연결(도착지연),NaN
이스타항공,ZE872,PVG(푸동),03:30,03:49,:,여객,지연,NaN,NaN
폴라에어카고,PO947,CVG(신시내티),03:55,23:55,:,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8193,XMN(샤먼 가오치 국제공항),03:55,04:24,04:17,NaN,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ211,SFO(샌프란시스코),04:00,04:17,04:08,여객,지연,NaN,NaN
제주항공,7C2306,MNL(마닐라),04:20,05:18,05:06,여객,지연,NaN,NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,04:46,:,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:35,05:57,05:50,여객,지연,NaN,NaN
대한항공,KE086,JFK(뉴욕),04:45,05:06,:,여객,지연,NaN,NaN
아시아나항공,OZ704,MNL(마닐라),04:50,05:27,05:15,여객,지연,NaN,NaN
아시아나항공,OZ223,JFK(뉴욕),05:10,06:30,:,여객,지연,NaN,NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,07:13,07:04,여객,지연,항공기 연결(도착지연),NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:48,06:39,여객,지연,항공기 연결(도착지연),NaN
천진항공화물,HT3819,WHA(ZSWA),05:55,11:44,:,화물,지연,화물 연결,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:36,06:25,여객,지연,항공기 연결(도착지연),NaN
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),06:00,07:11,:,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE626,MNL(마닐라),06:15,06:34,:,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ926,HPH(카트비),06:15,07:02,06:50,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y563,MIA(마이애미),06:20,06:54,06:37,화물,지연,NaN,NaN
티웨이항공,TW170,BKI(코타키나발루),06:30,06:55,:,여객,지연,NaN,NaN
타이항공,TG658,BKK(수안나폼(방콕)),06:35,06:57,:,여객,지연,NaN,NaN
티웨이항공,TW176,CEB(세부),06:35,06:57,:,여객,지연,"공항, 관제 사유 접속 지연",NaN
베트남항공,VN430,DAD(다낭),06:40,07:02,:,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
제주항공,7C2406,CEB(세부),06:55,07:18,07:08,여객,지연,NaN,NaN
대한항공,KE476,SGN(호찌민),07:00,07:24,07:14,여객,지연,[기상]출발공항 시정 악화(운고 포함),NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:28,07:17,여객,지연,NaN,NaN
아시아나항공,OZ736,SGN(호찌민),07:10,07:56,:,여객,지연,NaN,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,09:04,:,여객,지연,정비 사유 접속 지연,NaN
티웨이항공,TW158,CXR(깜라인(나트랑)),07:30,08:20,08:09,여객,지연,NaN,NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:05,07:55,여객,지연,NaN,NaN
제주항공,7C2408,CEB(세부),07:40,08:08,:,여객,지연,NaN,NaN
마스에어,M73629,HGH(항저우),07:40,18:04,:,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,09:11,:,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
유피에스화물항공,5X196,ANC(앵커리지),07:55,08:52,:,화물,지연,NaN,NaN
진에어,LJ082,DAD(다낭),08:00,08:57,08:45,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE488,PQC(푸꾸옥),08:00,08:21,08:11,여객,지연,"공항, 관제 사유 접속 지연",NaN
제주항공,7C2904,DAD(다낭),08:05,09:08,:,여객,지연,NaN,NaN
티웨이항공,TW128,DAD(다낭),08:35,09:28,09:16,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
프랑스항공,AF264,CDG(파리),08:40,09:22,09:12,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
아시아나항공,OZ742,BKK(수안나폼(방콕)),08:50,09:03,:,여객,지연,NaN,NaN
티웨이항공,TW102,BKK(수안나폼(방콕)),08:55,10:15,:,여객,지연,"공항, 관제 사유 접속 지연",NaN
칼리타항공,K4963,NGB(닝보),09:00,09:30,:,NaN,지연,항공기 연결(도착지연),NaN
페덱스화물항공,FX5926,MEM(멤피스),09:05,09:21,09:02,화물,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
가루다인도네시아,GA870,DPS(덴파사(응우라 라이)),09:15,09:33,09:20,여객,지연,"공항, 관제 사유 접속 지연",NaN
스쿠트타이거,TR842,SIN(싱가포르),09:15,09:59,09:49,여객,지연,NaN,NaN
아시아나항공,OZ744,BKK(수안나폼(방콕)),09:35,09:54,09:42,여객,지연,NaN,NaN
에어아스타나항공,KC909,ALA(알마티),09:40,10:01,09:51,여객,지연,NaN,NaN
비엣젯항공,VJ862,SGN(호찌민),09:40,10:45,10:34,여객,지연,항공기 연결(도착지연),NaN
싱가폴항공,SQ612,SIN(싱가포르),09:50,10:07,:,여객,지연,NaN,NaN
에어인천,KJ512,HAN(노이바이(하노이)),09:50,09:56,09:38,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
티웨이항공,TW172,SIN(싱가포르),09:55,10:19,:,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
독일항공,LH712,FRA(프랑크푸르트),09:55,10:24,10:13,여객,지연,항공기 연결(도착지연),NaN
독일항공,LH718,MUC(뮌헨),09:55,10:20,:,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE362,HAN(노이바이(하노이)),10:00,10:16,09:59,화물,지연,NaN,NaN
아시아나항공,OZ388,HAN(노이바이(하노이)),10:00,11:10,:,화물,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ262,FUK(후쿠오카),10:55,11:11,:,여객,지연,NaN,NaN
칼리타항공,K4937,HFE(허페이),11:00,12:51,12:34,NaN,지연,항공기 연결(도착지연),NaN
에어인디아,AI312,DEL(델리),11:00,11:23,11:11,여객,지연,NaN,NaN
원통화물항공,YG9021,NGB(닝보),11:10,11:35,11:24,화물,지연,항공기 연결(도착지연),NaN
중국동방항공,MU579,NKG(남경),11:15,11:34,11:24,여객,지연,NaN,NaN
중국동방항공,MU5071,HGH(항저우),11:25,11:52,:,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
아시아나항공,OZ368,PVG(푸동),11:30,11:48,11:34,여객,지연,NaN,NaN
