항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
칼리타항공,K4226,CVG(신시내티),00:05,00:26,00:16,화물,지연,NaN,NaN
실크웨이웨스트항공,7L1121,GYD(헤이다르 알리예프),00:05,13:01,12:44,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,00:51,00:43,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,01:48,01:40,여객,지연,항공기 연결(도착지연),NaN
칼리타항공,K4509,HKG(홍콩),01:00,18:03,17:58,NaN,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO916,CVG(신시내티),01:30,21:30,:,화물,취소,기타(지연코드 외),NaN
아틀라스화물항공,5Y8903,ORD(시카고),02:10,03:02,02:54,화물,지연,항공기 연결(도착지연),NaN
일본항공,JL6749,NGO(나고야),04:10,04:31,04:21,화물,지연,항공기 연결(도착지연),NaN
카고룩스 이탈리아,C87112,MXP(밀라노),04:40,05:18,05:08,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE076,YVR(밴쿠버),04:45,05:14,05:04,여객,지연,NaN,NaN
스리랑칸항공,UL470,CMB(반다라나이케),05:15,06:49,06:36,여객,지연,항공기 정비(정비 스케줄 지연),NaN
미얀마 항공,UB8301,RGN(양곤),05:20,06:13,06:03,여객,지연,화물 연결,NaN
아틀라스화물항공,5Y8472,ORD(시카고),05:25,06:55,06:48,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ211,SFO(샌프란시스코),05:30,07:20,07:10,여객,지연,NaN,NaN
이스타항공,ZE872,PVG(푸동),05:30,05:59,05:48,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
아시아나항공,OZ756,DAD(다낭),05:30,06:18,06:06,여객,지연,NaN,NaN
대한항공,KE462,DAD(다낭),05:35,06:30,06:21,여객,지연,항공기 연결(도착지연),NaN
유나이티드항공,UA805,SFO(샌프란시스코),05:40,06:30,06:19,여객,지연,항공기 연결(도착지연),NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),05:40,05:58,05:49,여객,지연,보안 사유 접속 지연,NaN
말린도항공,OD820,KUL(쿠알라룸푸르),05:50,06:54,06:44,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),05:55,06:36,06:26,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:00,07:00,06:54,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE466,CXR(깜라인(나트랑)),06:05,06:28,06:17,여객,지연,기장 요청에 따른 정비,NaN
이스타항공,ZE512,BKK(수안나폼(방콕)),06:20,07:02,06:50,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C4104,PQC(푸꾸옥),06:20,06:39,06:29,여객,지연,NaN,NaN
말레이시아항공,MH066,KUL(쿠알라룸푸르),06:30,07:01,06:46,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
대한항공,KE476,SGN(호찌민),06:35,07:43,07:34,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ702,HKG(홍콩),06:35,07:04,06:57,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
