항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아시아나항공,OZ247,ATL(애틀랜타),00:25,15:04,14:58,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,02:25,02:17,여객,지연,항공기 연결(도착지연),
타이거 에어 타이완(스마트캣),IT602,TPE(타이완 타오위안 국제 공항),00:45,02:00,01:52,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
실크웨이웨스트항공,7L128,GYD(헤이다르 알리예프),01:00,19:51,19:41,화물,지연,항공기 연결(도착지연),
칼리타항공,K4961,NGB(닝보),01:00,01:30,01:21,,지연,항공기 연결(도착지연),
아틀라스화물항공,5Y8476,LAX(로스앤젤레스),01:20,21:20,:,화물,취소,기타(지연코드 외),
스쿠트타이거,TR896,SIN(싱가포르),01:35,01:56,01:47,여객,지연,항공기 연결(도착지연),
카고룩스 이탈리아,C87117,MXP(밀라노),02:10,02:52,02:42,화물,지연,항공기 연결(도착지연),
칼리타항공,K4969,NGB(닝보),03:45,19:36,19:25,,지연,항공기 연결(도착지연),
유피에스화물항공,5X37,SDF(루이즈빌),04:30,05:04,04:54,화물,지연,항공기 연결(도착지연),
피치항공,MM809,HND(하네다),04:45,08:40,08:18,여객,지연,항공기 연결(도착지연),
이스타항공,ZE884,TPE(타이완 타오위안 국제 공항),04:50,05:40,05:31,여객,지연,항공기 연결(도착지연),
진에어,LJ008,CNX(치앙마이),04:55,05:22,05:14,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
대한항공,KE456,HAN(노이바이(하노이)),04:55,05:26,05:16,여객,지연,항공기 연결(도착지연),
티웨이항공,TW132,VTE(비엔티안),05:00,06:41,06:33,여객,지연,,
대한항공,KE178,HKG(홍콩),05:20,05:44,05:34,여객,지연,,
아시아나항공,OZ211,SFO(샌프란시스코),05:30,06:03,05:53,여객,지연,,
진에어,LJ004,BKK(수안나폼(방콕)),05:40,06:08,05:57,여객,지연,ULD(컨테이너 등),
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,07:55,07:44,여객,지연,항공기 연결(도착지연),
폴라에어카고,PO9698,LAX(로스앤젤레스),05:55,21:55,:,화물,취소,기타(지연코드 외),
비엣젯항공,VJ926,HPH(카트비),06:00,07:33,07:21,여객,지연,항공기 연결(도착지연),
말린도항공,OD820,KUL(쿠알라룸푸르),06:05,08:02,07:49,여객,지연,항공기 연결(도착지연),
대한항공,KE316,PVG(푸동),06:05,07:01,06:51,화물,지연,,
진에어,LJ030,CRK(클라크 국제공항),06:25,07:10,07:05,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
말레이시아항공,MH066,KUL(쿠알라룸푸르),06:30,11:50,11:43,여객,지연,항공기 결함,
제주항공,7C3105,GUM(괌),06:40,07:06,06:56,여객,지연,,
티웨이항공,TW118,HKG(홍콩),06:40,07:06,06:59,여객,지연,,
타이항공,TG656,BKK(수안나폼(방콕)),06:55,07:50,07:39,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ742,BKK(수안나폼(방콕)),06:55,07:40,07:28,여객,지연,,
이스타항공,ZE594,DAD(다낭),07:10,08:20,08:12,여객,지연,항공기 연결(도착지연),
진에어,LJ028,CEB(세부),07:20,07:31,07:26,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,
