항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
카타르항공,QR8982,DOH(도하),00:05,00:25,00:17,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ954,VCA(껀터 국제공항),00:10,02:56,02:46,여객,지연,항공기 연결(도착지연),
비엣젯항공,VJ978,PQC(푸꾸옥),00:30,00:59,00:47,여객,지연,항공기 연결(도착지연),
대한항공,KE8242,DFW(댈러스),00:45,01:30,01:11,화물,지연,항공기 연결(도착지연),
에어로로직,3S580,LEJ(라이프치히),01:10,01:35,01:18,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ944,DLI(달랏),02:05,02:19,02:09,여객,지연,항공기 연결(도착지연),
에어로로직,3S634,FRA(프랑크푸르트),03:05,03:20,03:00,화물,지연,[기상]항공로 또는 대체공항,
유피에스화물항공,5X37,SDF(루이즈빌),03:25,04:02,03:40,화물,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",
아시아나항공,OZ988,PVG(푸동),04:25,09:56,09:38,화물,지연,항공기 연결(도착지연),
카고룩스 이탈리아,C87112,MXP(밀라노),04:40,05:39,05:29,화물,지연,항공기 연결(도착지연),
스리랑칸항공,UL470,CMB(반다라나이케),04:55,09:41,09:31,여객,지연,대체 항공기 부족,
아시아나항공,OZ203,LAX(로스앤젤레스),05:20,05:40,05:27,여객,지연,,
티웨이항공,TW158,CXR(깜라인(나트랑)),05:50,06:41,06:30,여객,지연,,
아시아나항공,OZ384,SIN(싱가포르),05:55,06:42,06:33,화물,지연,항공기 연결(도착지연),
티웨이항공,TW604,FRU(마나스 국제공항),06:00,06:32,06:20,여객,지연,,
티웨이항공,TW308,SPN(사이판),06:10,06:39,06:31,여객,지연,,
아시아나항공,OZ247,ATL(애틀랜타),06:15,06:38,06:29,화물,지연,정비 사유 접속 지연,
아틀라스화물항공,5Y8230,LAX(로스앤젤레스),06:30,22:30,:,화물,취소,기타(지연코드 외),
타이항공,TG656,BKK(수안나폼(방콕)),06:55,08:08,07:58,여객,지연,항공기 연결(도착지연),
아메리제트,M61030,RFD(시카고 록퍼드 국제공항),07:00,:,:,화물,취소,기타(접속 관련),
대한항공,KE690,PNH(프놈펜),07:20,07:50,07:43,여객,지연,,
아시아나항공,OZ948,PVG(푸동),07:25,14:17,14:08,화물,지연,항공기 연결(도착지연),
이스타항공,ZE562,CXR(깜라인(나트랑)),07:30,07:48,07:38,여객,지연,ATFM(항공로 공표 수용능력 저하),
아시아나항공,OZ740,PNH(프놈펜),07:30,07:43,07:34,여객,지연,[기상]항공로 또는 대체공항,
대한항공,KE314,HKG(홍콩),07:40,08:24,08:12,화물,지연,,
스카이 앙코르 항공,ZA215,PNH(프놈펜),07:40,08:06,07:55,여객,지연,,
