항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
폴라에어카고,PO749,CVG(신시내티),00:35,00:52,00:43,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y555,JFK(뉴욕),00:50,:,:,화물,취소,기타(지연코드 외),NaN
실크웨이웨스트항공,7L128,GYD(헤이다르 알리예프),01:00,05:42,05:35,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8476,LAX(로스앤젤레스),01:20,21:20,:,화물,취소,기타(지연코드 외),NaN
카고룩스 이탈리아,C87117,MXP(밀라노),03:20,03:48,03:41,화물,지연,항공기 연결(도착지연),NaN
에어서울,RS814,DYG(장가계),03:50,04:35,04:30,여객,지연,NaN,NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:40,04:34,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ880,DAD(다낭),05:00,05:52,05:44,여객,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8081,KWI(쿠웨이트),05:20,05:32,05:25,NaN,지연,항공기 연결(도착지연),NaN
티웨이항공,TW114,HKG(홍콩),05:20,05:45,05:37,여객,지연,NaN,NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:16,06:10,여객,지연,항공기 연결(도착지연),NaN
에어서울,RS582,TAG(팡라로),05:50,06:15,06:08,여객,지연,정비 사유 접속 지연,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:42,06:34,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ247,ATL(애틀랜타),06:15,06:57,06:50,화물,지연,정비 사유 접속 지연,NaN
베트남항공,VN408,SGN(호찌민),06:40,07:07,06:59,여객,지연,항공기 연결(도착지연),NaN
이스타항공,ZE594,DAD(다낭),06:55,07:14,07:07,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
제주항공,7C2406,CEB(세부),06:55,07:24,07:17,여객,지연,NaN,NaN
대한항공,KE690,PNH(프놈펜),07:00,07:05,06:54,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
진에어,LJ006,HKT(푸껫),07:00,07:42,07:33,여객,지연,[기상]출발공항 지상조업(악기상),NaN
에어서울,RS512,DAD(다낭),07:05,09:49,09:41,여객,지연,정비 사유 접속 지연,NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:40,07:36,여객,지연,NaN,NaN
대한항공,KE258,JFK(뉴욕),07:15,09:16,09:02,화물,지연,기타(접속 관련),NaN
아시아나항공,OZ285,SFO(샌프란시스코),07:20,12:46,12:39,화물,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ740,PNH(프놈펜),07:20,07:45,07:38,여객,지연,NaN,NaN
진에어,LJ032,CEB(세부),07:25,08:25,08:13,여객,지연,"공항, 관제 사유 접속 지연",NaN
에어로케이항공(주),RF556,CXR(깜라인(나트랑)),07:25,08:08,08:01,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,10:32,11:10,여객,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ988,PVG(푸동),07:45,22:35,22:27,화물,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ776,FRA(프랑크푸르트),07:50,09:26,09:12,화물,지연,항공기 연결(도착지연),NaN
마스에어,M73629,HGH(항저우),07:55,12:06,11:59,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
대한항공,KE468,CXR(깜라인(나트랑)),07:55,08:30,08:19,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:42,08:33,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2904,DAD(다낭),08:05,08:34,08:26,여객,지연,NaN,NaN
진에어,LJ044,TAG(팡라로),08:15,08:49,08:39,여객,지연,항공기 연결(도착지연),NaN
에티오피안항공,ET3640,OSL(오슬로),08:35,10:38,10:22,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8251,ORD(시카고),08:40,21:40,:,화물,취소,기타(지연코드 외),NaN
대한항공,KE646,SIN(싱가포르),08:45,10:05,09:56,여객,지연,NaN,NaN
터키항공,TK20,IST(이스탄불),08:45,09:11,09:04,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,NaN
카놋샤크항공,HH3303,TAS(타슈켄트),09:10,09:34,09:28,여객,지연,NaN,NaN
제주항공,7C2206,BKK(수안나폼(방콕)),09:20,09:54,09:45,여객,지연,NaN,NaN
아틀라스화물항공,5Y8187,ORD(시카고),09:25,10:31,10:17,화물,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO751,CVG(신시내티),09:30,18:30,:,화물,취소,기타(지연코드 외),NaN
티웨이항공,TW172,SIN(싱가포르),09:55,10:11,10:04,여객,지연,NaN,NaN
아시아나항공,OZ388,HAN(노이바이(하노이)),10:05,10:58,10:42,화물,지연,정비 사유 접속 지연,NaN
천진항공화물,HT3843,LYI(린이),10:30,11:13,11:13,화물,지연,화물 연결,NaN
진에어,LJ262,FUK(후쿠오카),10:55,11:11,11:01,여객,지연,기타(접속 관련),NaN
원통화물항공,YG9021,NGB(닝보),11:10,11:34,11:26,화물,지연,항공기 연결(도착지연),NaN
중국동방항공,MU5071,HGH(항저우),11:25,11:57,11:50,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
에어서울,RS712,KIX(간사이),11:55,13:07,13:02,여객,지연,정비 사유 접속 지연,NaN
중국동방항공,MU5041,PVG(푸동),11:55,13:15,13:08,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
