항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
폴라에어카고,PO958,CVG(신시내티),00:05,00:23,00:03,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ197,NRT(도쿄/나리타),00:15,00:56,00:47,화물,지연,지상조업 사유 접속 지연,NaN
비엣젯항공,VJ974,PQC(푸꾸옥),00:30,01:42,01:33,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ838,CXR(깜라인(나트랑)),00:50,01:51,01:42,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:20,03:27,03:18,여객,지연,항공기 연결(도착지연),NaN
카고룩스 이탈리아,C87117,MXP(밀라노),02:10,07:39,07:18,화물,지연,항공기 연결(도착지연),NaN
아틀라스화물항공,5Y8242,ORD(시카고),02:25,18:47,18:42,화물,지연,항공기 연결(도착지연),NaN
칼리타항공,K4616,CVG(신시내티),02:25,02:45,02:35,화물,지연,NaN,NaN
아시아나항공,OZ7374,SGN(호찌민),02:40,03:14,03:04,NaN,지연,NaN,NaN
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,04:24,04:16,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ177,HND(하네다),04:10,04:35,04:27,여객,지연,항공기 연결(도착지연),NaN
베트남항공,VN440,CXR(깜라인(나트랑)),04:25,04:45,04:34,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
피치항공,MM809,HND(하네다),04:40,05:27,05:20,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE658,BKK(수안나폼(방콕)),04:45,05:05,04:55,여객,지연,NaN,NaN
폴라에어카고,PO979,LAX(로스앤젤레스),04:55,17:20,17:12,화물,지연,항공기 연결(도착지연),NaN
대한항공,KE454,HAN(노이바이(하노이)),04:55,05:58,05:42,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ880,DAD(다낭),05:05,05:47,05:37,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE486,PQC(푸꾸옥),05:05,07:37,07:27,여객,지연,정비 사유 접속 지연,NaN
아시아나항공,OZ398,SIN(싱가포르),05:15,07:55,07:44,화물,지연,NaN,NaN
마스에어,M73228,WUX(수난 슈오팡 국제공항),05:20,09:29,09:12,NaN,지연,항공기 정비(계획되지 않은 정비),NaN
미얀마 항공,UB8301,RGN(양곤),05:20,05:20,:,여객,취소,기타(여객 및 위탁수화물 관련),NaN
대한항공,KE178,HKG(홍콩),05:20,05:41,05:34,여객,지연,NaN,NaN
대한항공,KE374,PEN(페낭),05:25,08:06,07:55,화물,지연,NaN,NaN
아시아나항공,OZ211,SFO(샌프란시스코),05:30,06:00,05:50,여객,지연,NaN,NaN
대한항공,KE462,DAD(다낭),05:35,06:30,06:23,여객,지연,항공기 연결(도착지연),NaN
유나이티드항공,UA805,SFO(샌프란시스코),05:40,06:10,06:01,여객,지연,기타(접속 관련),NaN
아시아나항공,OZ734,HAN(노이바이(하노이)),05:45,06:59,06:44,여객,지연,NaN,NaN
이스타항공,ZE518,CNX(치앙마이),05:45,06:17,06:09,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),05:55,06:46,06:36,여객,지연,NaN,NaN
대한항공,KE626,MNL(마닐라),06:00,06:29,06:21,여객,지연,"공항, 관제 사유 접속 지연",NaN
비엣젯항공,VJ878,DAD(다낭),06:00,08:06,07:54,여객,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ926,HPH(카트비),06:00,06:35,06:24,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE466,CXR(깜라인(나트랑)),06:05,06:25,06:19,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE316,PVG(푸동),06:10,06:56,06:47,화물,지연,NaN,NaN
아틀라스화물항공,5Y9484,RZE(제슈프 야시온카 국제공항),06:25,07:16,07:05,NaN,지연,항공기 연결(도착지연),NaN
진에어,LJ044,TAG(팡라로),06:25,06:44,06:37,여객,지연,"공항, 관제 사유 접속 지연",NaN
아시아나항공,OZ708,CRK(클라크 국제공항),06:30,07:02,06:54,여객,지연,NaN,NaN
대한항공,KE476,SGN(호찌민),06:35,06:59,06:50,여객,지연,기타(접속 관련),NaN
티웨이항공,TW174,SIN(싱가포르),06:35,06:51,06:43,여객,지연,NaN,NaN
진에어,LJ038,CRK(클라크 국제공항),06:40,07:09,07:02,여객,지연,"공항, 관제 사유 접속 지연",NaN
대한항공,KE628,CGK(자카르타(수카르노 하타) 국제 공항),06:50,07:38,07:30,여객,지연,NaN,NaN
