항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아시아나항공,OZ2913,ORD(시카고),00:35,02:43,02:29,화물,지연,정비 사유 접속 지연,NaN
내셔널 항공,N8815,PEN(페낭),00:40,03:40,03:38,NaN,지연,항공기 연결(도착지연),NaN
실크웨이웨스트항공,7L121,GYD(헤이다르 알리예프),01:00,17:36,17:28,화물,지연,항공기 연결(도착지연),NaN
비엣젯항공,VJ978,PQC(푸꾸옥),01:25,01:58,01:50,여객,지연,항공기 연결(도착지연),NaN
폴라에어카고,PO927,LAX(로스앤젤레스),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),NaN
유나이티드항공,UA805,SFO(샌프란시스코),04:20,04:42,04:36,여객,지연,기타(접속 관련),NaN
비엣젯항공,VJ836,CXR(깜라인(나트랑)),04:30,06:38,06:30,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE624,MNL(마닐라),04:35,05:00,04:50,여객,지연,NaN,NaN
에어프레미아,YP132,EWR(뉴어크 리버티 국제공항),04:55,05:30,05:22,여객,지연,"공항, 관제 사유 접속 지연",NaN
아틀라스화물항공,5Y8196,MIA(마이애미),04:55,05:17,05:10,NaN,지연,항공기 연결(도착지연),NaN
티웨이항공,TW114,HKG(홍콩),05:20,05:50,05:43,여객,지연,NaN,NaN
비엣젯항공,VJ864,SGN(호찌민),05:45,06:07,05:59,여객,지연,항공기 연결(도착지연),NaN
대한항공,KE316,PVG(푸동),05:55,06:12,06:06,화물,지연,NaN,NaN
비엣젯항공,VJ878,DAD(다낭),06:00,06:29,06:21,여객,지연,항공기 연결(도착지연),NaN
제주항공,7C2108,HKG(홍콩),06:00,07:08,07:02,여객,지연,NaN,NaN
폴라에어카고,PO325,CVG(신시내티),06:05,21:05,:,화물,취소,기타(지연코드 외),NaN
티웨이항공,TW122,SGN(호찌민),06:05,06:30,06:23,여객,지연,NaN,NaN
폴란드항공,LO97,WAW(바르샤바),06:20,06:46,06:40,여객,지연,NaN,NaN
에어아시아 엑스,D7504,KUL(쿠알라룸푸르),06:30,07:26,07:20,여객,지연,항공기 연결(도착지연),NaN
진에어,LJ702,HKG(홍콩),06:30,06:47,06:36,여객,지연,공표된 최소지상시간(GT) 대비 운항스케줄 상 GT 부족,NaN
대한항공,KE616,CEB(세부),06:30,06:56,06:48,여객,지연,NaN,NaN
아시아나항공,OZ776,FRA(프랑크푸르트),06:30,07:34,07:27,화물,지연,NaN,NaN
베트남항공,VN430,DAD(다낭),06:40,07:01,06:52,여객,지연,"출발공항 제한사항(관제, 활주로폐쇄 등)",NaN
제주항공,7C2508,BKI(코타키나발루),06:45,07:03,06:56,여객,지연,NaN,NaN
제주항공,7C2406,CEB(세부),06:55,09:43,09:36,여객,지연,항공기 연결(도착지연),NaN
이스타항공,ZE594,DAD(다낭),06:55,07:25,07:18,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
아메리제트,M61040,RFD(시카고 록퍼드 국제공항),07:00,08:35,08:14,NaN,지연,기타(접속 관련),NaN
대한항공,KE476,SGN(호찌민),07:00,07:20,07:06,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
에어서울,RS512,DAD(다낭),07:05,07:51,07:43,여객,지연,NaN,NaN
아틀라스화물항공,5Y654,HKG(홍콩),07:10,21:10,21:00,화물,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ736,SGN(호찌민),07:10,07:31,07:23,여객,지연,NaN,NaN
에어서울,RS528,CXR(깜라인(나트랑)),07:10,07:40,07:32,여객,지연,NaN,NaN
진에어,LJ092,PQC(푸꾸옥),07:20,08:12,08:03,여객,지연,ATFM(항공로 공표 수용능력 저하),NaN
아시아나항공,OZ948,PVG(푸동),07:25,07:56,07:48,화물,지연,NaN,NaN
진에어,LJ032,CEB(세부),07:25,07:54,07:42,여객,지연,"공항, 관제 사유 접속 지연",NaN
진에어,LJ088,CXR(깜라인(나트랑)),07:30,08:06,07:54,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,NaN
대한항공,KE314,HKG(홍콩),07:35,08:01,07:55,화물,지연,NaN,NaN
제주항공,7C2408,CEB(세부),07:40,09:15,09:07,여객,지연,항공기 연결(도착지연),NaN
아시아나항공,OZ398,SIN(싱가포르),07:45,11:53,11:45,화물,지연,항공기 연결(도착지연),NaN
에어홍콩화물항공,LD128,HKG(홍콩),07:45,08:00,07:52,화물,지연,NaN,NaN
대한항공,KE468,CXR(깜라인(나트랑)),07:55,08:13,08:05,여객,지연,"공항, 관제 사유 접속 지연",NaN
이스타항공,ZE562,CXR(깜라인(나트랑)),07:55,08:19,08:11,여객,지연,항공기 연결(도착지연),NaN
