항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고
아틀라스화물항공,5Y555,JFK(뉴욕),00:05,00:26,00:17,화물,지연,NaN,NaN.1
마스에어,M73946,WUX(수난 슈오팡 국제공항),00:10,18:06,17:57,,지연,항공기 연결(도착지연),
몽골항공,OM309,UBN(칭기즈 칸(신 울란바토르) 국제공항),00:40,00:58,00:46,여객,지연,항공기 연결(도착지연),
대한항공,KE9204,LAX(로스앤젤레스),00:50,07:39,07:25,화물,지연,,
대한항공,KE9204,LAX(로스앤젤레스),00:50,07:39,07:25,화물,지연,,
내셔널 항공,N8575,HKG(홍콩),01:00,:,:,,취소,항공기 정비(계획되지 않은 정비),
아틀라스화물항공,5Y8105,ORD(시카고),01:05,00:50,01:01,화물,지연,항공기 연결(도착지연),
에어인천,KJ812,UBN(칭기즈 칸(신 울란바토르) 국제공항),01:05,01:21,01:03,화물,지연,,
대한항공,KE9208,LAX(로스앤젤레스),01:15,04:09,03:59,화물,지연,,
유피에스화물항공,5X37,SDF(루이즈빌),01:20,01:36,01:16,화물,지연,항공기 연결(도착지연),
비엣젯항공,VJ874,DAD(다낭),01:35,01:56,01:46,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ988,PVG(푸동),02:35,04:05,03:55,화물,지연,,
중국화물항공,CK257,PVG(푸동),03:05,10:59,10:45,화물,지연,"운항통제(항로변경, 회항, 항공기 교체)",
중국화물항공,CK257,PVG(푸동),03:05,10:59,10:45,화물,지연,,
제주항공,7C302M,TNA(지난),03:30,03:56,06:21,,지연,,
제주항공,7C302M,TNA(지난),03:30,03:56,06:21,,지연,목적공항 제한사항(ATFM 외),
폴라에어카고,PO224,CVG(신시내티),03:35,21:35,:,화물,취소,기타(지연코드 외),
비엣젯항공,VJ976,PQC(푸꾸옥),04:00,06:55,06:47,여객,지연,항공기 연결(도착지연),
대한항공,KE164,DYG(장가계),04:05,06:21,06:14,여객,지연,,
대한항공,KE164,DYG(장가계),04:05,06:21,06:14,여객,지연,,
제주항공,7C2306,MNL(마닐라),04:20,05:24,05:16,여객,지연,,
아시아나항공,OZ203,LAX(로스앤젤레스),04:20,03:21,07:00,여객,지연,기타(지연코드 외),
대한항공,KE8076,YVR(밴쿠버),04:20,04:36,08:49,여객,지연,,
아시아나항공,OZ203,LAX(로스앤젤레스),04:20,03:21,07:00,여객,지연,,
대한항공,KE8076,YVR(밴쿠버),04:20,04:36,08:49,여객,지연,ATFM(목적공항 제한사항),
유나이티드항공,UA805,SFO(샌프란시스코),04:20,04:48,04:38,여객,지연,[기상]항공로 또는 대체공항,
