,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
현황,4479,4474,4018,3787,3940,5454,7621,6324,5271,5102,5515,6008
항공건수,17572,16538,17353,16731,17464,17215,18499,18706,17906,18494,17493,18625
